BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
IID,09Jul2022,Pacific,N,"15,852","15,648","21,525","5,773",,"5,394",,,865,"5,145",,"10,121",,"1,177","3,930",666,,1.03,,,"2,529",,107,"2,637",36,659,"2,014","21,525","15,752",0.27,0.28
IID,10Jul2022,Pacific,N,"16,061","16,206","21,865","5,545",,"5,466",,,780,"5,447",,"10,172",,"1,399","3,549",597,,1.04,,,"2,567",,109,"2,676",61,647,"2,090","21,865","16,320",0.27,0.28
IID,11Jul2022,Pacific,N,"17,273","17,807","22,475","4,553",,"5,651",,,825,"5,335",,"10,664",,"1,258","2,730",565,,1.04,,,"2,654",,112,"2,766",156,597,"2,325","22,475","17,922",0.27,0.29
IID,12Jul2022,Pacific,N,"17,536","17,400","22,780","5,380",,484,,,789,"5,293",,"16,214",,"1,194","3,303",883,,1.03,,,227,,149,375,79,64,391,"22,780","17,400",0.04,0.05
IID,13Jul2022,Pacific,N,"17,216","17,661","23,190","5,407",,"5,940",,,701,"5,241",,"11,308",,875,"3,725",807,,1.03,,,"2,788",,115,"2,903",88,645,"2,346","23,190","17,783",0.28,0.29
IID,14Jul2022,Pacific,N,"17,923","17,255","22,443","5,049",,"5,928",,,716,"4,354",,"11,445",,"1,148","2,961",940,,1.04,,,"2,784",,110,"2,894",63,649,"2,308","22,443","17,394",0.28,0.29
IID,15Jul2022,Pacific,N,"18,312","17,993","23,402","5,294",,"5,866",,,683,"5,371",,"11,482",,"1,322","3,459",513,,1.03,,,"2,754",,117,"2,871",129,639,"2,360","23,402","18,108",0.27,0.29
IID,16Jul2022,Pacific,N,"18,303","18,518","23,070","4,450",,"5,876",,,660,"5,338",,"11,196",,"1,351","2,652",447,,1.04,,,"2,759",,115,"2,873",207,586,"2,495","23,070","18,620",0.27,0.30
IID,17Jul2022,Pacific,N,"18,352","18,200","21,504","3,199",,"4,692",,,634,"4,987",,"11,191",,"1,244","1,640",315,,1.03,,,"2,199",,112,"2,311",282,426,"2,167","21,504","18,305",0.24,0.26
IID,18Jul2022,Pacific,N,"18,096","18,443","22,175","3,633",,"5,165",,,645,"5,189",,"11,176",,"1,404","2,152",77,,1.03,,,"2,422",,113,"2,535",249,507,"2,278","22,175","18,542",0.25,0.27
