BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,23Oct2020,Eastern,N,"1,871","1,734",0,"-1,734",,0,,,,,,,,"-1,734",,,,,0,,,0,484,0,484,0,"1,734",,0.62
HST,24Oct2020,Eastern,N,"1,880","1,575",0,"-1,575",,0,,,,,,,,"-1,575",,,,,0,,,0,432,0,432,0,"1,575",,0.61
HST,25Oct2020,Eastern,N,"1,745","1,633",0,"-1,633",,0,,,,,,,,"-1,633",,,,,0,,,0,451,0,451,0,"1,633",,0.61
HST,26Oct2020,Eastern,N,"1,923","1,744",0,"-1,744",,0,,,,,,,,"-1,744",,,,,0,,,0,493,0,493,0,"1,744",,0.62
HST,27Oct2020,Eastern,N,"1,848","1,884",0,"-1,884",,0,,,,,,,,"-1,884",,,,,0,,,0,542,0,542,0,"1,884",,0.63
HST,28Oct2020,Eastern,N,"1,967","1,894",0,"-1,894",,0,,,,,,,,"-1,894",,,,,0,,,0,546,0,546,0,"1,894",,0.64
HST,29Oct2020,Eastern,N,"1,989","1,906",0,"-1,906",,0,,,,,,,,"-1,906",,,,,0,,,0,553,0,553,0,"1,906",,0.64
HST,30Oct2020,Eastern,N,"1,989","1,831",0,"-1,831",,0,,,,,,,,"-1,831",,,,,0,,,0,505,0,505,0,"1,831",,0.61
HST,31Oct2020,Eastern,N,"1,955","1,803",0,"-1,803",,0,,,,,,,,"-1,803",,,,,0,,,0,499,0,499,0,"1,803",,0.61
HST,01Nov2020,Eastern,N,"1,950","1,889",0,"-1,889",,0,,,,,,,,"-1,889",,,,,0,,,0,453,0,453,0,"1,889",,0.53
HST,02Nov2020,Eastern,N,"1,875","1,588",0,"-1,588",,0,,,,,,,,"-1,588",,,,,0,,,0,420,0,420,0,"1,588",,0.58
HST,03Nov2020,Eastern,N,"1,558","1,437",0,"-1,437",,0,,,,,,,,"-1,437",,,,,0,,,0,377,0,377,0,"1,437",,0.58
HST,04Nov2020,Eastern,N,"1,665","1,523",0,"-1,523",,0,,,,,,,,"-1,523",,,,,0,,,0,411,0,411,0,"1,523",,0.60
HST,05Nov2020,Eastern,N,"1,630","1,654",0,"-1,654",,0,,,,,,,,"-1,654",,,,,0,,,0,458,0,458,0,"1,654",,0.61
HST,06Nov2020,Eastern,N,"1,731","1,664",0,"-1,664",,0,,,,,,,,"-1,664",,,,,0,,,0,465,0,465,0,"1,664",,0.62
HST,07Nov2020,Eastern,N,"1,718","1,505",0,"-1,505",,0,,,,,,,,"-1,505",,,,,0,,,0,415,0,415,0,"1,505",,0.61
HST,08Nov2020,Eastern,N,"1,574","1,496",0,"-1,496",,0,,,,,,,,"-1,496",,,,,0,,,0,404,0,404,0,"1,496",,0.60
HST,09Nov2020,Eastern,N,"1,556","1,673",0,"-1,673",,0,,,,,,,,"-1,673",,,,,0,,,0,474,0,474,0,"1,673",,0.62
HST,10Nov2020,Eastern,N,"1,823","1,717",0,"-1,717",,0,,,,,,,,"-1,717",,,,,0,,,0,488,0,488,0,"1,717",,0.63
HST,11Nov2020,Eastern,N,"1,723","1,696",0,"-1,696",,0,,,,,,,,"-1,696",,,,,0,,,0,486,0,486,0,"1,696",,0.63
HST,12Nov2020,Eastern,N,"1,871","1,679",0,"-1,679",,0,,,,,,,,"-1,679",,,,,0,,,0,471,0,471,0,"1,679",,0.62
HST,13Nov2020,Eastern,N,"1,823","1,622",0,"-1,622",,0,,,,,,,,"-1,622",,,,,0,,,0,450,0,450,0,"1,622",,0.61
HST,14Nov2020,Eastern,N,"1,816","1,630",0,"-1,630",,0,,,,,,,,"-1,630",,,,,0,,,0,435,0,435,0,"1,630",,0.59
HST,15Nov2020,Eastern,N,"1,697","1,690",0,"-1,690",,0,,,,,,,,"-1,690",,,,,0,,,0,463,0,463,0,"1,690",,0.60
HST,16Nov2020,Eastern,N,"1,766","1,649",0,"-1,649",,0,,,,,,,,"-1,649",,,,,0,,,0,449,0,449,0,"1,649",,0.60
HST,17Nov2020,Eastern,N,"1,725","1,556",0,"-1,556",,0,,,,,,,,"-1,556",,,,,0,,,0,399,0,399,0,"1,556",,0.57
HST,18Nov2020,Eastern,N,"1,644","1,402",0,"-1,402",,0,,,,,,,,"-1,402",,,,,0,,,0,358,0,358,0,"1,402",,0.56
HST,19Nov2020,Eastern,N,"1,442","1,426",0,"-1,426",,0,,,,,,,,"-1,426",,,,,0,,,0,366,0,366,0,"1,426",,0.57
HST,20Nov2020,Eastern,N,"1,513","1,454",0,"-1,454",,0,,,,,,,,"-1,454",,,,,0,,,0,364,0,364,0,"1,454",,0.55
HST,21Nov2020,Eastern,N,"1,526","1,443",0,"-1,443",,0,,,,,,,,"-1,443",,,,,0,,,0,368,0,368,0,"1,443",,0.56
HST,22Nov2020,Eastern,N,"1,538","1,444",0,"-1,444",,0,,,,,,,,"-1,444",,,,,0,,,0,378,0,378,0,"1,444",,0.58
HST,23Nov2020,Eastern,N,"1,580","1,461",0,"-1,461",,0,,,,,,,,"-1,461",,,,,0,,,0,364,0,364,0,"1,461",,0.55
HST,24Nov2020,Eastern,N,"1,535","1,431",0,"-1,431",,0,,,,,,,,"-1,431",,,,,0,,,0,345,0,345,0,"1,431",,0.53
HST,25Nov2020,Eastern,N,"1,509","1,422",0,"-1,422",,0,,,,,,,,"-1,422",,,,,0,,,0,348,0,348,0,"1,422",,0.54
HST,26Nov2020,Eastern,N,"1,500","1,484",0,"-1,484",,0,,,,,,,,"-1,484",,,,,0,,,0,369,0,369,0,"1,484",,0.55
HST,27Nov2020,Eastern,N,"1,532","1,426",0,"-1,426",,0,,,,,,,,"-1,426",,,,,0,,,0,344,0,344,0,"1,426",,0.53
HST,28Nov2020,Eastern,N,,"1,371",0,"-1,371",,0,,,,,,,,"-1,371",,,,,0,,,0,317,0,317,0,"1,371",,0.51
HST,29Nov2020,Eastern,N,,"1,460",0,"-1,460",,0,,,,,,,,"-1,460",,,,,0,,,0,348,0,348,0,"1,460",,0.52
HST,30Nov2020,Eastern,N,,"1,437",0,"-1,437",,0,,,,,,,,"-1,437",,,,,0,,,0,346,0,346,0,"1,437",,0.53
HST,01Dec2020,Eastern,N,,"1,137",0,"-1,137",,0,,,,,,,,"-1,137",,,,,0,,,0,241,0,241,0,"1,137",,0.47
HST,02Dec2020,Eastern,N,,"1,113",0,"-1,113",,0,,,,,,,,"-1,113",,,,,0,,,0,262,0,262,0,"1,113",,0.52
HST,03Dec2020,Eastern,N,"1,275","1,161",0,"-1,161",,0,,,,,,,,"-1,161",,,,,0,,,0,277,0,277,0,"1,161",,0.53
HST,04Dec2020,Eastern,N,"1,256","1,223",0,"-1,223",,0,,,,,,,,"-1,223",,,,,0,,,0,296,0,296,0,"1,223",,0.53
HST,05Dec2020,Eastern,N,"1,305","1,371",0,"-1,371",,0,,,,,,,,"-1,371",,,,,0,,,0,311,0,311,0,"1,371",,0.50
HST,06Dec2020,Eastern,N,"1,468","1,434",0,"-1,434",,0,,,,,,,,"-1,434",,,,,0,,,0,333,0,333,0,"1,434",,0.51
HST,07Dec2020,Eastern,N,"1,579","1,368",0,"-1,368",,0,,,,,,,,"-1,368",,,,,0,,,0,324,0,324,0,"1,368",,0.52
