BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,01Jul2015,Eastern,N,,"1,869",10,"-1,858",,,,,,,,,,,,,,,,,,,,,,,,,
HST,02Jul2015,Eastern,N,"1,754","1,754",10,,,,,,,,,,,"-1,951",,,,,,,,,,,,,,,
HST,03Jul2015,Eastern,N,,"1,870",0,"-1,870",,,,,,,,,,"-1,870",,,,,,,,,,,,,,,
HST,04Jul2015,Eastern,N,"1,828","1,812",0,"-1,812",,,,,,,,,,"-1,812",,,,,,,,,,,,,,,
HST,05Jul2015,Eastern,N,"1,788","1,921",0,"-1,921",,,,,,,,,,"-1,921",,,,,,,,,,,,,,,
HST,06Jul2015,Eastern,N,"1,850","1,834",0,"-1,834",,,,,,,,,,"-1,834",,,,,,,,,,,,,,,
HST,07Jul2015,Eastern,N,"1,772","1,744",0,"-1,744",,,,,,,,,,"-1,744",,,,,,,,,,,,,,,
HST,08Jul2015,Eastern,N,"1,689","1,816",11,"-1,805",,,,,,,,,,"-1,800",,,,,,,,,,,,,,,
HST,09Jul2015,Eastern,N,"1,819","1,886",24,"-1,862",,,,,,,,,,"-1,831",,,,,,,,,,,,,,,
HST,10Jul2015,Eastern,N,"1,776","1,865",46,"-1,818",,,,,,,,,,"-1,818",,,,,,,,,,,,,,,
HST,11Jul2015,Eastern,N,"1,745","1,803",21,"-1,782",,,,,,,,,,"-1,782",,,,,,,,,,,,,,,
HST,12Jul2015,Eastern,N,"1,749","1,818",0,"-1,818",,,,,,,,,,"-1,818",,,,,,,,,,,,,,,
HST,13Jul2015,Eastern,N,"1,752","1,712",0,"-1,712",,,,,,,,,,"-1,712",,,,,,,,,,,,,,,
HST,14Jul2015,Eastern,N,"1,753","1,712",0,"-1,712",,,,,,,,,,"-1,712",,,,,,,,,,,,,,,
HST,15Jul2015,Eastern,N,"1,730","1,620",0,"-1,620",,,,,,,,,,"-1,620",,,,,,,,,,,,,,,
HST,16Jul2015,Eastern,N,"1,613","1,586",4,"-1,582",,,,,,,,,,"-1,582",,,,,,,,,,,,,,,
HST,17Jul2015,Eastern,N,"1,630","1,519",0,"-1,519",,,,,,,,,,"-1,519",,,,,,,,,,,,,,,
HST,18Jul2015,Eastern,N,"1,639","1,570",6,"-1,565",,,,,,,,,,"-1,565",,,,,,,,,,,,,,,
HST,19Jul2015,Eastern,N,"1,649","1,701",17,"-1,682",,,,,,,,,,"-1,682",,,,,,,,,,,,,,,
HST,20Jul2015,Eastern,N,"1,639","1,780",38,"-1,738",,,,,,,,,,"-1,738",,,,,,,,,,,,,,,
HST,21Jul2015,Eastern,N,"1,660","1,812",39,"-1,773",,,,,,,,,,"-1,773",,,,,,,,,,,,,,,
HST,22Jul2015,Eastern,N,"1,660","1,708",28,"-1,681",,,,,,,,,,"-1,681",,,,,,,,,,,,,,,
HST,23Jul2015,Eastern,N,"1,661","1,739",37,"-1,699",,,,,,,,,,"-1,699",,,,,,,,,,,,,,,
HST,24Jul2015,Eastern,N,"1,617","1,791",59,"-1,735",,,,,,,,,,"-1,735",,,,,,,,,,,,,,,
HST,25Jul2015,Eastern,N,"1,679","1,579",16,"-1,563",,,,,,,,,,"-1,563",,,,,,,,,,,,,,,
HST,26Jul2015,Eastern,N,"1,679","1,432",0,"-1,432",,,,,,,,,,"-1,432",,,,,,,,,,,,,,,
HST,27Jul2015,Eastern,N,"1,680","1,738",29,"-1,708",,,,,,,,,,"-1,708",,,,,,,,,,,,,,,
HST,28Jul2015,Eastern,N,"1,721","1,878",77,"-1,806",,,,,,,,,,"-1,806",,,,,,,,,,,,,,,
HST,29Jul2015,Eastern,N,"1,786","1,873",42,"-1,832",,,,,,,,,,"-1,832",,,,,,,,,,,,,,,
HST,30Jul2015,Eastern,N,"1,761","1,896",49,"-1,845",,,,,,,,,,"-1,845",,,,,,,,,,,,,,,
HST,31Jul2015,Eastern,N,"1,761","1,731",22,"-1,706",,,,,,,,,,"-1,706",,,,,,,,,,,,,,,
HST,01Aug2015,Eastern,N,"1,703","1,646",24,"-1,622",,,,,,,,,,"-1,622",,,,,,,,,,,,,,,
HST,02Aug2015,Eastern,N,"1,689","1,713",60,"-1,655",,,,,,,,,,"-1,655",,,,,,,,,,,,,,,
HST,03Aug2015,Eastern,N,"1,639","1,647",34,"-1,614",,,,,,,,,,"-1,614",,,,,,,,,,,,,,,
HST,04Aug2015,Eastern,N,"1,702","1,778",53,"-1,727",,,,,,,,,,"-1,727",,,,,,,,,,,,,,,
HST,05Aug2015,Eastern,N,"1,643","1,915",80,"-1,838",,,,,,,,,,"-1,838",,,,,,,,,,,,,,,
HST,06Aug2015,Eastern,N,"1,776","1,901",68,"-1,834",,,,,,,,,,"-1,834",,,,,,,,,,,,,,,
HST,07Aug2015,Eastern,N,"1,823","1,877",26,"-1,850",,,,,,,,,,"-1,850",,,,,,,,,,,,,,,
HST,08Aug2015,Eastern,N,"1,791","1,892",24,"-1,868",,,,,,,,,,"-1,868",,,,,,,,,,,,,,,
HST,09Aug2015,Eastern,N,"1,804","1,847",18,"-1,828",,,,,,,,,,"-1,828",,,,,,,,,,,,,,,
HST,10Aug2015,Eastern,N,"1,798","1,742",46,"-1,694",,,,,,,,,,"-1,694",,,,,,,,,,,,,,,
HST,11Aug2015,Eastern,N,"1,798","1,881",29,"-1,852",,,,,,,,,,"-1,670",,,,,,,,,,,,,,,
HST,12Aug2015,Eastern,N,"1,697","1,776",34,"-1,742",,,,,,,,,,"-1,742",,,,,,,,,,,,,,,
HST,13Aug2015,Eastern,N,"1,784","1,808",24,"-1,783",,,,,,,,,,"-1,783",,,,,,,,,,,,,,,
HST,14Aug2015,Eastern,N,"1,788","1,725",46,"-1,678",,,,,,,,,,"-1,678",,,,,,,,,,,,,,,
HST,15Aug2015,Eastern,N,"1,682","1,532",8,"-1,525",,,,,,,,,,"-1,525",,,,,,,,,,,,,,,
HST,16Aug2015,Eastern,N,"1,688","1,705",36,"-1,668",,,,,,,,,,"-1,668",,,,,,,,,,,,,,,
HST,17Aug2015,Eastern,N,"1,685","1,846",37,"-1,806",,,,,,,,,,"-1,806",,,,,,,,,,,,,,,
HST,18Aug2015,Eastern,N,"1,677","1,790",60,"-1,729",,,,,,,,,,"-1,729",,,,,,,,,,,,,,,
HST,19Aug2015,Eastern,N,"1,591","1,893",54,"-1,836",,,,,,,,,,"-1,836",,,,,,,,,,,,,,,
HST,20Aug2015,Eastern,N,"1,751","1,925",33,"-1,885",,,,,,,,,,"-1,885",,,,,,,,,,,,,,,
HST,21Aug2015,Eastern,N,"1,773","1,886",26,"-1,857",,,,,,,,,,"-1,857",,,,,,,,,,,,,,,
HST,22Aug2015,Eastern,N,"1,809","1,887",24,"-1,860",,,,,,,,,,"-1,860",,,,,,,,,,,,,,,
HST,23Aug2015,Eastern,N,"1,818","1,857",24,"-1,831",,,,,,,,,,"-1,831",,,,,,,,,,,,,,,
HST,24Aug2015,Eastern,N,"1,819","1,849",24,"-1,825",,,,,,,,,,"-1,825",,,,,,,,,,,,,,,
HST,25Aug2015,Eastern,N,"1,777","1,865",24,"-1,840",,,,,,,,,,"-1,840",,,,,,,,,,,,,,,
HST,26Aug2015,Eastern,N,"1,774","1,671",27,"-1,644",,,,,,,,,,"-1,644",,,,,,,,,,,,,,,
HST,27Aug2015,Eastern,N,"1,622","1,567",44,"-1,520",,,,,,,,,,"-1,520",,,,,,,,,,,,,,,
HST,28Aug2015,Eastern,N,"1,545","1,791",55,"-1,733",,,,,,,,,,"-1,733",,,,,,,,,,,,,,,
HST,29Aug2015,Eastern,N,"1,716","1,826",68,"-1,750",,,,,,,,,,"-1,750",,,,,,,,,,,,,,,
HST,30Aug2015,Eastern,N,"1,667","1,506",24,"-1,481",,,,,,,,,,"-1,481",,,,,,,,,,,,,,,
HST,31Aug2015,Eastern,N,"1,570","1,756",33,"-1,723",,,,,,,,,,"-1,723",,,,,,,,,,,,,,,
HST,01Sep2015,Eastern,N,"1,712","1,839",52,"-1,785",,,,,,,,,,"-1,785",,,,,,,,,,,,,,,
HST,02Sep2015,Eastern,N,"1,738","1,787",26,"-1,759",,,,,,,,,,"-1,759",,,,,,,,,,,,,,,
HST,03Sep2015,Eastern,N,"1,759","1,792",24,"-1,767",,,,,,,,,,"-1,767",,,,,,,,,,,,,,,
HST,04Sep2015,Eastern,N,"1,760","1,687",24,"-1,663",,,,,,,,,,"-1,663",,,,,,,,,,,,,,,
HST,05Sep2015,Eastern,N,"1,698","1,578",24,"-1,553",,,,,,,,,,"-1,553",,,,,,,,,,,,,,,
HST,06Sep2015,Eastern,N,"1,696","1,523",24,"-1,496",,,,,,,,,,"-1,496",,,,,,,,,,,,,,,
HST,07Sep2015,Eastern,N,"1,488","1,589",24,"-1,564",,,,,,,,,,"-1,564",,,,,,,,,,,,,,,
HST,08Sep2015,Eastern,N,"1,536","1,785",63,"-1,720",,,,,,,,,,"-1,720",,,,,,,,,,,,,,,
HST,09Sep2015,Eastern,N,"1,590","1,768",32,"-1,737",,,,,,,,,,"-1,737",,,,,,,,,,,,,,,
HST,10Sep2015,Eastern,N,"1,723","1,791",51,"-1,739",,,,,,,,,,"-1,739",,,,,,,,,,,,,,,
HST,11Sep2015,Eastern,N,"1,757","1,865",69,"-1,795",,,,,,,,,,"-1,795",,,,,,,,,,,,,,,
HST,12Sep2015,Eastern,N,"1,786","1,881",29,"-1,852",,,,,,,,,,"-1,852",,,,,,,,,,,,,,,
HST,13Sep2015,Eastern,N,"1,802","1,856",24,"-1,832",,,,,,,,,,"-1,832",,,,,,,,,,,,,,,
HST,14Sep2015,Eastern,N,"1,836","1,824",24,"-1,799",,,,,,,,,,"-1,799",,,,,,,,,,,,,,,
HST,15Sep2015,Eastern,N,"1,757","1,682",75,"-1,606",,,,,,,,,,"-1,606",,,,,,,,,,,,,,,
HST,16Sep2015,Eastern,N,"1,777","1,525",41,"-1,484",,,,,,,,,,"-1,484",,,,,,,,,,,,,,,
HST,17Sep2015,Eastern,N,"1,672","1,464",24,"-1,439",,,,,,,,,,"-1,439",,,,,,,,,,,,,,,
HST,18Sep2015,Eastern,N,"1,476","1,565",25,"-1,538",,,,,,,,,,"-1,538",,,,,,,,,,,,,,,
HST,19Sep2015,Eastern,N,"1,503","1,745",78,"-1,666",,,,,,,,,,"-1,666",,,,,,,,,,,,,,,
HST,20Sep2015,Eastern,N,"1,720","1,795",35,"-1,759",,,,,,,,,,"-1,759",,,,,,,,,,,,,,,
HST,21Sep2015,Eastern,N,"1,709","1,624",24,"-1,600",,,,,,,,,,"-1,600",,,,,,,,,,,,,,,
HST,22Sep2015,Eastern,N,"1,714","1,555",25,"-1,533",,,,,,,,,,"-1,533",,,,,,,,,,,,,,,
HST,23Sep2015,Eastern,N,"1,280","1,588",25,"-1,563",,,,,,,,,,"-1,563",,,,,,,,,,,,,,,
HST,24Sep2015,Eastern,N,"1,615","1,574",41,"-1,531",,,,,,,,,,"-1,531",,,,,,,,,,,,,,,
HST,25Sep2015,Eastern,N,"1,718","1,565",57,"-1,507",,,,,,,,,,"-1,507",,,,,,,,,,,,,,,
HST,26Sep2015,Eastern,N,"1,716","1,618",37,"-1,583",,,,,,,,,,"-1,583",,,,,,,,,,,,,,,
HST,27Sep2015,Eastern,N,"1,717","1,562",24,"-1,538",,,,,,,,,,"-1,538",,,,,,,,,,,,,,,
HST,28Sep2015,Eastern,N,"1,690","1,682",62,"-1,618",,,,,,,,,,"-1,618",,,,,,,,,,,,,,,
HST,29Sep2015,Eastern,N,"1,730","1,624",38,"-1,587",,,,,,,,,,"-1,587",,,,,,,,,,,,,,,
HST,30Sep2015,Eastern,N,"1,719","1,738",24,"-1,713",,,,,,,,,,"-1,713",,,,,,,,,,,,,,,
HST,01Oct2015,Eastern,N,"1,719","1,786",79,"-1,701",,,,,,,,,,"-1,701",,,,,,,,,,,,,,,
HST,02Oct2015,Eastern,N,"1,742","1,756",35,"-1,720",,,,,,,,,,"-1,720",,,,,,,,,,,,,,,
HST,03Oct2015,Eastern,N,"1,700","1,634",24,"-1,609",,,,,,,,,,,,,,,,,,,,,,,,,
HST,04Oct2015,Eastern,N,"1,497","1,497",24,,,,,,,,,,,"-1,513",,,,,,,,,,,,,,,
HST,05Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,522",,,,,,,,,,,,,,,
HST,06Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,490",,,,,,,,,,,,,,,
HST,07Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,548",,,,,,,,,,,,,,,
HST,08Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,520",,,,,,,,,,,,,,,
HST,09Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,472",,,,,,,,,,,,,,,
HST,10Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,596",,,,,,,,,,,,,,,
HST,11Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,563",,,,,,,,,,,,,,,
HST,12Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,595",,,,,,,,,,,,,,,
HST,13Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,571",,,,,,,,,,,,,,,
HST,14Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,579",,,,,,,,,,,,,,,
HST,15Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,517",,,,,,,,,,,,,,,
HST,16Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,426",,,,,,,,,,,,,,,
HST,17Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,418",,,,,,,,,,,,,,,
HST,18Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,398",,,,,,,,,,,,,,,
HST,19Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,441",,,,,,,,,,,,,,,
HST,20Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,493",,,,,,,,,,,,,,,
HST,21Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,525",,,,,,,,,,,,,,,
HST,22Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,499",,,,,,,,,,,,,,,
HST,23Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,398",,,,,,,,,,,,,,,
HST,24Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,425",,,,,,,,,,,,,,,
HST,25Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,499",,,,,,,,,,,,,,,
HST,26Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,524",,,,,,,,,,,,,,,
HST,27Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,583",,,,,,,,,,,,,,,
HST,28Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,480",,,,,,,,,,,,,,,
HST,29Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,560",,,,,,,,,,,,,,,
HST,30Oct2015,Eastern,N,,,,,,,,,,,,,,"-1,474",,,,,,,,,,,,,,,
HST,31Oct2015,Eastern,N,,"1,601",24,"-1,577",,,,,,,,,,"-1,321",,,,,,,,,,,,,,,
HST,01Nov2015,Eastern,N,"1,744","1,728",25,"-1,693",,,,,,,,,,"-1,693",,,,,,,,,,,,,,,
HST,02Nov2015,Eastern,N,"1,587","1,623",24,,,,,,,,,,,"-1,701",,,,,,,,,,,,,,,
HST,03Nov2015,Eastern,N,"1,671","1,671",,,,,,,,,,,,"-1,624",,,,,,,,,,,,,,,
HST,04Nov2015,Eastern,N,,"1,721",8,"-1,713",,,,,,,,,,,,,,,,,,,,,,,,,
HST,05Nov2015,Eastern,N,"1,676","1,676",7,,,,,,,,,,,"-1,553",,,,,,,,,,,,,,,
HST,06Nov2015,Eastern,N,,"1,685",24,"-1,659",,,,,,,,,,,,,,,,,,,,,,,,,
HST,07Nov2015,Eastern,N,"1,714","1,714",24,,,,,,,,,,,,,,,,,,,,,,,,,,
HST,08Nov2015,Eastern,N,,,,,,,,,,,,,,"-1,571",,,,,,,,,,,,,,,
HST,09Nov2015,Eastern,N,,"1,703",24,"-1,676",,,,,,,,,,"-1,549",,,,,,,,,,,,,,,
HST,10Nov2015,Eastern,N,"1,707","1,662",24,"-1,636",,,,,,,,,,"-1,511",,,,,,,,,,,,,,,
HST,11Nov2015,Eastern,N,"1,648","1,661",35,"-1,625",,,,,,,,,,"-1,501",,,,,,,,,,,,,,,
HST,12Nov2015,Eastern,N,"1,640","1,632",25,"-1,605",,,,,,,,,,"-1,482",,,,,,,,,,,,,,,
HST,13Nov2015,Eastern,N,"1,640","1,635",24,"-1,610",,,,,,,,,,"-1,485",,,,,,,,,,,,,,,
HST,14Nov2015,Eastern,N,"1,625","1,441",24,"-1,416",,,,,,,,,,"-1,305",,,,,,,,,,,,,,,
HST,15Nov2015,Eastern,N,"1,624","1,399",24,"-1,374",,,,,,,,,,"-1,261",,,,,,,,,,,,,,,
HST,16Nov2015,Eastern,N,"1,527","1,411",17,"-1,393",,,,,,,,,,"-1,288",,,,,,,,,,,,,,,
HST,17Nov2015,Eastern,N,"1,422","1,494",24,"-1,468",,,,,,,,,,"-1,347",,,,,,,,,,,,,,,
HST,18Nov2015,Eastern,N,"1,433","1,604",24,"-1,578",,,,,,,,,,"-1,451",,,,,,,,,,,,,,,
HST,19Nov2015,Eastern,N,"1,612","1,601",24,"-1,576",,,,,,,,,,"-1,457",,,,,,,,,,,,,,,
HST,20Nov2015,Eastern,N,"1,625","1,552",15,"-1,537",,,,,,,,,,"-1,411",,,,,,,,,,,,,,,
HST,21Nov2015,Eastern,N,"1,596","1,464",3,"-1,461",,,,,,,,,,"-1,348",,,,,,,,,,,,,,,
HST,22Nov2015,Eastern,N,"1,503","1,461",24,"-1,437",,,,,,,,,,"-1,328",,,,,,,,,,,,,,,
HST,23Nov2015,Eastern,N,"1,596","1,306",19,"-1,287",,,,,,,,,,"-1,196",,,,,,,,,,,,,,,
HST,24Nov2015,Eastern,N,"1,314","1,187",24,"-1,158",,,,,,,,,,"-1,061",,,,,,,,,,,,,,,
HST,25Nov2015,Eastern,N,"1,316","1,305",24,"-1,279",,,,,,,,,,"-1,170",,,,,,,,,,,,,,,
HST,26Nov2015,Eastern,N,"1,346","1,394",24,"-1,368",,,,,,,,,,"-1,265",,,,,,,,,,,,,,,
HST,27Nov2015,Eastern,N,"1,351","1,297",24,"-1,272",,,,,,,,,,"-1,171",,,,,,,,,,,,,,,
HST,28Nov2015,Eastern,N,"1,283","1,251",24,"-1,226",,,,,,,,,,"-1,127",,,,,,,,,,,,,,,
HST,29Nov2015,Eastern,N,"1,253","1,268",22,"-1,245",,,,,,,,,,"-1,140",,,,,,,,,,,,,,,
HST,30Nov2015,Eastern,N,"1,344","1,428",40,"-1,387",,,,,,,,,,"-1,276",,,,,,,,,,,,,,,
HST,01Dec2015,Eastern,N,"1,349","1,466",24,"-1,440",,,,,,,,,,"-1,321",,,,,,,,,,,,,,,
HST,02Dec2015,Eastern,N,"1,450","1,467",17,"-1,448",,,,,,,,,,"-1,331",,,,,,,,,,,,,,,
HST,03Dec2015,Eastern,N,"1,447","1,431",14,"-1,416",,,,,,,,,,"-1,308",,,,,,,,,,,,,,,
HST,04Dec2015,Eastern,N,"1,453","1,279",8,"-1,270",,,,,,,,,,"-1,167",,,,,,,,,,,,,,,
HST,05Dec2015,Eastern,N,"1,394","1,263",24,"-1,237",,,,,,,,,,"-1,136",,,,,,,,,,,,,,,
HST,06Dec2015,Eastern,N,"1,391","1,428",40,"-1,387",,,,,,,,,,"-1,262",,,,,,,,,,,,,,,
HST,07Dec2015,Eastern,N,"1,349","1,283",0,"-1,283",,,,,,,,,,"-1,187",,,,,,,,,,,,,,,
HST,08Dec2015,Eastern,N,"1,286","1,177",18,"-1,157",,,,,,,,,,"-1,064",,,,,,,,,,,,,,,
HST,09Dec2015,Eastern,N,"1,228","1,296",25,"-1,269",,,,,,,,,,"-1,168",,,,,,,,,,,,,,,
HST,10Dec2015,Eastern,N,"1,172","1,309",33,"-1,275",,,,,,,,,,"-1,172",,,,,,,,,,,,,,,
HST,11Dec2015,Eastern,N,"1,277","1,345",24,"-1,320",,,,,,,,,,"-1,213",,,,,,,,,,,,,,,
HST,12Dec2015,Eastern,N,"1,292","1,347",24,"-1,323",,,,,,,,,,"-1,210",,,,,,,,,,,,,,,
HST,13Dec2015,Eastern,N,"1,361","1,393",24,"-1,369",,,,,,,,,,"-1,260",,,,,,,,,,,,,,,
HST,14Dec2015,Eastern,N,"1,292","1,428",24,"-1,402",,,,,,,,,,"-1,291",,,,,,,,,,,,,,,
HST,15Dec2015,Eastern,N,"1,411","1,488",24,"-1,461",,,,,,,,,,"-1,344",,,,,,,,,,,,,,,
HST,16Dec2015,Eastern,N,"1,419","1,495",24,"-1,469",,,,,,,,,,"-1,352",,,,,,,,,,,,,,,
HST,17Dec2015,Eastern,N,"1,417","1,526",24,"-1,500",,,,,,,,,,"-1,381",,,,,,,,,,,,,,,
HST,18Dec2015,Eastern,N,"1,524","1,478",24,"-1,453",,,,,,,,,,,,,,,,,,,,,,,,,
HST,19Dec2015,Eastern,N,"1,492","1,492",24,,,,,,,,,,,"-1,082",,,,,,,,,,,,,,,
HST,20Dec2015,Eastern,N,,"1,226",25,"-1,200",,,,,,,,,,"-1,093",,,,,,,,,,,,,,,
HST,21Dec2015,Eastern,N,"1,323","1,413",24,"-1,389",,,,,,,,,,"-1,270",,,,,,,,,,,,,,,
HST,22Dec2015,Eastern,N,"1,412","1,408",35,"-1,369",,,,,,,,,,"-1,252",,,,,,,,,,,,,,,
HST,23Dec2015,Eastern,N,"1,411","1,463",30,"-1,434",,,,,,,,,,"-1,309",,,,,,,,,,,,,,,
HST,24Dec2015,Eastern,N,"1,466","1,558",24,"-1,534",,,,,,,,,,"-1,413",,,,,,,,,,,,,,,
HST,25Dec2015,Eastern,N,"1,467","1,477",24,"-1,452",,,,,,,,,,"-1,337",,,,,,,,,,,,,,,
HST,26Dec2015,Eastern,N,"1,465","1,453",24,"-1,427",,,,,,,,,,"-1,306",,,,,,,,,,,,,,,
HST,27Dec2015,Eastern,N,"1,469","1,452",24,"-1,424",,,,,,,,,,"-1,309",,,,,,,,,,,,,,,
HST,28Dec2015,Eastern,N,"1,459","1,485",24,"-1,461",,,,,,,,,,"-1,340",,,,,,,,,,,,,,,
HST,29Dec2015,Eastern,N,"1,455","1,535",24,"-1,510",,,,,,,,,,"-1,387",,,,,,,,,,,,,,,
HST,30Dec2015,Eastern,N,"1,517","1,507",25,"-1,480",,,,,,,,,,"-1,358",,,,,,,,,,,,,,,
HST,31Dec2015,Eastern,N,"1,506","1,538",24,"-1,512",,,,,,,,,,"-1,512",,,,,,,,,,,,,,,
HST,01Jan2016,Eastern,N,"1,479","1,439",24,"-1,417",,,,,,,,,,"-1,417",,,,,,,,,,,,,,,
HST,02Jan2016,Eastern,N,"1,480","1,405",24,"-1,383",,,,,,,,,,"-1,258",,,,,,,,,,,,,,,
HST,03Jan2016,Eastern,N,"1,481","1,306",17,"-1,287",,,,,,,,,,"-1,191",,,,,,,,,,,,,,,
HST,04Jan2016,Eastern,N,"1,304","1,098",5,"-1,091",,,,,,,,,,"-1,012",,,,,,,,,,,,,,,
HST,05Jan2016,Eastern,N,"1,111","1,050",25,"-1,024",,,,,,,,,,-939,,,,,,,,,,,,,,,
HST,06Jan2016,Eastern,N,"1,048","1,103",24,"-1,079",,,,,,,,,,-994,,,,,,,,,,,,,,,
HST,07Jan2016,Eastern,N,"1,100","1,145",24,"-1,119",,,,,,,,,,"-1,030",,,,,,,,,,,,,,,
HST,08Jan2016,Eastern,N,"1,144","1,235",26,"-1,210",,,,,,,,,,"-1,115",,,,,,,,,,,,,,,
HST,09Jan2016,Eastern,N,"1,152","1,262",24,"-1,238",,,,,,,,,,"-1,131",,,,,,,,,,,,,,,
HST,10Jan2016,Eastern,N,"1,282","1,332",24,"-1,305",,,,,,,,,,"-1,206",,,,,,,,,,,,,,,
HST,11Jan2016,Eastern,N,"1,190","1,107",24,"-1,083",,,,,,,,,,"-1,000",,,,,,,,,,,,,,,
HST,12Jan2016,Eastern,N,"1,167","1,035",24,"-1,010",,,,,,,,,,-935,,,,,,,,,,,,,,,
HST,13Jan2016,Eastern,N,"1,049","1,022",24,-997,,,,,,,,,,-920,,,,,,,,,,,,,,,
HST,14Jan2016,Eastern,N,"1,033","1,052",10,"-1,041",,,,,,,,,,-957,,,,,,,,,,,,,,,
HST,15Jan2016,Eastern,N,"1,118","1,109",32,"-1,076",,,,,,,,,,-993,,,,,,,,,,,,,,,
HST,16Jan2016,Eastern,N,"1,119","1,114",24,"-1,087",,,,,,,,,,-992,,,,,,,,,,,,,,,
HST,17Jan2016,Eastern,N,"1,118","1,164",20,"-1,144",,,,,,,,,,"-1,062",,,,,,,,,,,,,,,
HST,18Jan2016,Eastern,N,"1,118","1,021",17,"-1,003",,,,,,,,,,-926,,,,,,,,,,,,,,,
HST,19Jan2016,Eastern,N,"1,026","1,038",24,"-1,011",,,,,,,,,,-932,,,,,,,,,,,,,,,
HST,20Jan2016,Eastern,N,"1,048","1,051",24,"-1,026",,,,,,,,,,-949,,,,,,,,,,,,,,,
HST,21Jan2016,Eastern,N,"1,050","1,054",24,"-1,030",,,,,,,,,,-947,,,,,,,,,,,,,,,
HST,22Jan2016,Eastern,N,"1,038","1,073",18,"-1,055",,,,,,,,,,-974,,,,,,,,,,,,,,,
HST,23Jan2016,Eastern,N,"1,024",994,25,-965,,,,,,,,,,-885,,,,,,,,,,,,,,,
HST,24Jan2016,Eastern,N,997,"1,060",19,"-1,039",,,,,,,,,,-954,,,,,,,,,,,,,,,
HST,25Jan2016,Eastern,N,"1,087","1,114",24,"-1,088",,,,,,,,,,"-1,009",,,,,,,,,,,,,,,
HST,26Jan2016,Eastern,N,"1,032","1,116",24,"-1,092",,,,,,,,,,"-1,003",,,,,,,,,,,,,,,
HST,27Jan2016,Eastern,N,"1,105","1,271",24,"-1,245",,,,,,,,,,"-1,243",,,,,,,,,,,,,,,
HST,28Jan2016,Eastern,N,"1,276","1,178",24,"-1,149",,,,,,,,,,"-1,058",,,,,,,,,,,,,,,
HST,29Jan2016,Eastern,N,"1,043","1,038",24,"-1,014",,,,,,,,,,-935,,,,,,,,,,,,,,,
HST,30Jan2016,Eastern,N,"1,049","1,023",24,-998,,,,,,,,,,-919,,,,,,,,,,,,,,,
HST,31Jan2016,Eastern,N,"1,170","1,081",24,"-1,055",,,,,,,,,,-966,,,,,,,,,,,,,,,
HST,01Feb2016,Eastern,N,"1,170","1,215",24,"-1,188",,,,,,,,,,"-1,093",,,,,,,,,,,,,,,
HST,02Feb2016,Eastern,N,"1,213","1,286",21,"-1,263",,,,,,,,,,"-1,158",,,,,,,,,,,,,,,
HST,03Feb2016,Eastern,N,"1,232","1,346",24,"-1,322",,,,,,,,,,"-1,221",,,,,,,,,,,,,,,
HST,04Feb2016,Eastern,N,"1,263","1,309",24,"-1,287",,,,,,,,,,"-1,186",,,,,,,,,,,,,,,
HST,05Feb2016,Eastern,N,"1,336","1,073",16,"-1,058",,,,,,,,,,-976,,,,,,,,,,,,,,,
HST,06Feb2016,Eastern,N,"1,232","1,123",10,"-1,113",,,,,,,,,,"-1,026",,,,,,,,,,,,,,,
HST,07Feb2016,Eastern,N,"1,230","1,014",24,-990,,,,,,,,,,-907,,,,,,,,,,,,,,,
