BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,02Apr2020,Central,Y,,,"3,431","3,406","3,431",,,,,,,,,"3,449",-43,2.24,,,"3,486",,,,"3,486",58,"3,520",,"3,431",25,2.24,
GLHB,03Apr2020,Central,Y,,,"6,143","6,108","6,143",,,,,,,,,"3,408","2,700",2.24,,,"6,229",,,,"6,229",0,"6,194",,"6,143",35,2.24,
GLHB,04Apr2020,Central,Y,,,"3,459","3,442","3,459",,,,,,,,,"2,325","1,117",2.23,,,"3,499",,,,"3,499",0,"3,482",,"3,459",17,2.23,
GLHB,05Apr2020,Central,Y,,,"3,410","3,398","3,410",,,,,,,,,"2,394","1,004",2.23,,,"3,456",,,,"3,456",0,"3,444",,"3,410",12,2.23,
GLHB,06Apr2020,Central,Y,,,"3,725","3,704","3,725",,,,,,,,,"2,879",825,2.24,,,"3,785",,,,"3,785",0,"3,764",,"3,725",21,2.24,
GLHB,07Apr2020,Central,Y,,,"4,387","4,371","4,387",,,,,,,,,"2,901","1,470",2.24,,,"4,452",,,,"4,452",0,"4,436",,"4,387",16,2.24,
GLHB,08Apr2020,Central,Y,,,"4,707","4,685","4,707",,,,,,,,,"3,047","1,638",2.23,,,"4,771",,,,"4,771",0,"4,748",,"4,707",22,2.23,
GLHB,09Apr2020,Central,Y,,,"3,495","3,477","3,495",,,,,,,,,"3,159",318,2.23,,,"3,537",,,,"3,537",0,"3,519",,"3,495",18,2.23,
GLHB,10Apr2020,Central,Y,,,"4,568","4,546","4,568",,,,,,,,,"2,691","1,855",2.24,,,"4,633",,,,"4,633",0,"4,611",,"4,568",22,2.24,
GLHB,11Apr2020,Central,Y,,,"3,392","3,377","3,392",,,,,,,,,"2,606",771,2.24,,,"3,441",,,,"3,441",0,"3,426",,"3,392",15,2.24,
GLHB,12Apr2020,Central,Y,,,"4,731","4,711","4,731",,,,,,,,,"2,713","1,998",2.23,,,"4,796",,,,"4,796",0,"4,776",,"4,731",20,2.23,
GLHB,13Apr2020,Central,Y,,,"5,765","5,746","5,765",,,,,,,,,"2,980","2,766",2.24,,,"5,847",,,,"5,847",0,"5,828",,"5,765",19,2.24,
GLHB,14Apr2020,Central,Y,,,"6,702","6,679","6,702",,,,,,,,,"3,334","3,345",2.24,,,"6,795",,,,"6,795",0,"6,771",,"6,702",23,2.24,
GLHB,15Apr2020,Central,Y,,,"8,479","8,431","8,479",,,,,,,,,"3,572","4,859",2.24,,,"8,613",,,,"8,613",0,"8,564",,"8,479",48,2.24,
GLHB,16Apr2020,Central,Y,,,"7,362","7,333","7,362",,,,,,,,,"3,312","4,021",2.24,,,"7,483",,,,"7,483",0,"7,454",,"7,362",29,2.24,
GLHB,17Apr2020,Central,Y,,,"4,040","4,020","4,040",,,,,,,,,"3,365",655,2.24,,,"4,105",,,,"4,105",25,"4,110",,"4,040",20,2.24,
GLHB,18Apr2020,Central,Y,,,"3,354","3,332","3,354",,,,,,,,,"3,008",324,2.24,,,"3,408",,,,"3,408",0,"3,385",,"3,354",22,2.24,
GLHB,19Apr2020,Central,Y,,,"3,542","3,521","3,542",,,,,,,,,"3,063",458,2.24,,,"3,594",,,,"3,594",0,"3,573",,"3,542",21,2.24,
GLHB,20Apr2020,Central,Y,,,"4,927","4,904","4,927",,,,,,,,,"3,747","1,157",2.24,,,"4,998",,,,"4,998",49,"5,024",,"4,927",23,2.24,
GLHB,21Apr2020,Central,Y,,,"5,608","5,585","5,608",,,,,,,,,"3,758","1,827",2.23,,,"5,680",,,,"5,680",31,"5,688",,"5,608",23,2.23,
GLHB,22Apr2020,Central,Y,,,"5,982","5,959","5,982",,,,,,,,,"4,430","1,529",2.24,,,"6,082",,,,"6,082",87,"6,147",,"5,982",23,2.24,
GLHB,23Apr2020,Central,Y,,,"4,663","4,647","4,663",,,,,,,,,"3,542","1,105",2.24,,,"4,737",,,,"4,737",44,"4,765",,"4,663",16,2.24,
GLHB,24Apr2020,Central,Y,,,"4,616","4,595","4,616",,,,,,,,,"3,812",783,2.24,,,"4,693",,,,"4,693",133,"4,806",,"4,616",21,2.24,
