BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,17Jul2020,Central,Y,,,"6,092","6,052","6,092",,,,,,,,,"4,574","1,478",2.25,,,"6,205",,,,"6,205",113,"6,278",,"6,092",40,2.25,
GLHB,18Jul2020,Central,Y,,,"5,244","5,200","5,244",,,,,,,,,"4,818",382,2.25,,,"5,345",,,,"5,345",139,"5,440",,"5,244",44,2.25,
GLHB,19Jul2020,Central,Y,,,"5,143","5,103","5,143",,,,,,,,,"4,735",368,2.24,,,"5,237",,,,"5,237",118,"5,315",,"5,143",40,2.24,
GLHB,20Jul2020,Central,Y,,,"6,592","6,556","6,592",,,,,,,,,"4,478","2,078",2.25,,,"6,718",,,,"6,718",86,"6,768",,"6,592",36,2.25,
GLHB,21Jul2020,Central,Y,,,"6,619","6,580","6,619",,,,,,,,,"4,436","2,144",2.24,,,"6,740",,,,"6,740",6,"6,707",,"6,619",39,2.24,
GLHB,22Jul2020,Central,Y,,,"7,073","7,035","7,073",,,,,,,,,"4,312","2,723",2.24,,,"7,199",,,,"7,199",0,"7,160",,"7,073",38,2.24,
GLHB,23Jul2020,Central,Y,,,"6,625","6,582","6,625",,,,,,,,,"4,714","1,868",2.24,,,"6,745",,,,"6,745",43,"6,744",,"6,625",43,2.24,
GLHB,24Jul2020,Central,Y,,,"6,248","6,210","6,248",,,,,,,,,"4,558","1,652",2.24,,,"6,359",,,,"6,359",94,"6,415",,"6,248",38,2.24,
GLHB,25Jul2020,Central,Y,,,"5,995","5,950","5,995",,,,,,,,,"4,496","1,454",2.24,,,"6,104",,,,"6,104",33,"6,091",,"5,995",45,2.24,
GLHB,26Jul2020,Central,Y,,,"6,283","6,241","6,283",,,,,,,,,"4,761","1,480",2.24,,,"6,398",,,,"6,398",11,"6,366",,"6,283",42,2.24,
GLHB,27Jul2020,Central,Y,,,"6,665","6,623","6,665",,,,,,,,,"4,908","1,715",2.25,,,"6,787",,,,"6,787",53,"6,798",,"6,665",42,2.25,
GLHB,28Jul2020,Central,Y,,,"7,269","7,227","7,269",,,,,,,,,"4,780","2,447",2.25,,,"7,403",,,,"7,403",42,"7,402",,"7,269",42,2.25,
GLHB,29Jul2020,Central,Y,,,"6,983","6,941","6,983",,,,,,,,,"4,692","2,249",2.25,,,"7,114",,,,"7,114",18,"7,088",,"6,983",42,2.25,
GLHB,30Jul2020,Central,Y,,,"4,791","4,758","4,791",,,,,,,,,"4,687",71,2.25,,,"4,879",,,,"4,879",99,"4,945",,"4,791",33,2.25,
GLHB,31Jul2020,Central,Y,,,"5,506","5,464","5,506",,,,,,,,,"4,704",760,2.24,,,"5,600",,,,"5,600",83,"5,641",,"5,506",42,2.24,
GLHB,01Aug2020,Central,Y,,,"4,896","4,872","4,896",,,,,,,,,"4,248",624,2.24,,,"4,979",,,,"4,979",215,"5,170",,"4,896",24,2.24,
GLHB,02Aug2020,Central,Y,,,"4,627","4,602","4,627",,,,,,,,,"3,905",697,2.24,,,"4,704",,,,"4,704",138,"4,817",,"4,627",25,2.24,
GLHB,03Aug2020,Central,Y,,,"5,576","5,549","5,576",,,,,,,,,"4,183","1,366",2.24,,,"5,669",,,,"5,669",0,"5,641",,"5,576",27,2.24,
GLHB,04Aug2020,Central,Y,,,"5,531","5,509","5,531",,,,,,,,,"3,926","1,583",2.24,,,"5,622",,,,"5,622",75,"5,676",,"5,531",22,2.24,
GLHB,05Aug2020,Central,Y,,,"4,416","4,392","4,416",,,,,,,,,"3,920",472,2.24,,,"4,491",,,,"4,491",168,"4,635",,"4,416",24,2.24,
GLHB,06Aug2020,Central,Y,,,"4,515","4,497","4,515",,,,,,,,,"4,238",259,2.24,,,"4,590",,,,"4,590",188,"4,760",,"4,515",18,2.24,
GLHB,07Aug2020,Central,Y,,,"6,096","6,063","6,096",,,,,,,,,"4,645","1,418",2.24,,,"6,202",,,,"6,202",9,"6,178",,"6,096",33,2.24,
GLHB,08Aug2020,Central,Y,,,"6,193","6,150","6,193",,,,,,,,,"4,340","1,810",2.24,,,"6,298",,,,"6,298",14,"6,268",,"6,193",43,2.24,
GLHB,09Aug2020,Central,Y,,,"6,435","6,397","6,435",,,,,,,,,"4,448","1,949",2.24,,,"6,552",,,,"6,552",15,"6,529",,"6,435",38,2.24,
GLHB,10Aug2020,Central,Y,,,"6,489","6,444","6,489",,,,,,,,,"4,671","1,773",2.25,,,"6,608",,,,"6,608",18,"6,580",,"6,489",45,2.25,
GLHB,11Aug2020,Central,Y,,,"6,236","6,205","6,236",,,,,,,,,"2,538","3,667",2.24,,,"6,347",,,,"6,347",22,"6,337",,"6,236",31,2.24,
GLHB,12Aug2020,Central,Y,,,"6,669","6,626","6,669",,,,,,,,,"4,447","2,179",2.25,,,"6,800",,,,"6,800",20,"6,776",,"6,669",43,2.25,
GLHB,13Aug2020,Central,Y,,,"7,113","7,068","7,113",,,,,,,,,"4,493","2,575",2.25,,,"7,248",,,,"7,248",9,"7,211",,"7,113",45,2.25,
GLHB,14Aug2020,Central,Y,,,"6,642","6,602","6,642",,,,,,,,,"4,531","2,071",2.24,,,"6,758",,,,"6,758",7,"6,724",,"6,642",40,2.24,
GLHB,15Aug2020,Central,Y,,,"5,494","5,450","5,494",,,,,,,,,"4,147","1,303",2.24,,,"5,580",,,,"5,580",106,"5,642",,"5,494",44,2.24,
GLHB,16Aug2020,Central,Y,,,"5,249","5,214","5,249",,,,,,,,,"4,259",955,2.24,,,"5,328",,,,"5,328",143,"5,436",,"5,249",35,2.24,
GLHB,17Aug2020,Central,Y,,,"5,221","5,182","5,221",,,,,,,,,"4,524",658,2.24,,,"5,305",,,,"5,305",205,"5,471",,"5,221",39,2.24,
GLHB,18Aug2020,Central,Y,,,"6,001","5,960","6,001",,,,,,,,,"4,378","1,582",2.24,,,"6,095",,,,"6,095",15,"6,068",,"6,001",41,2.24,
GLHB,19Aug2020,Central,Y,,,"5,853","5,817","5,853",,,,,,,,,"3,965","1,852",2.24,,,"5,949",,,,"5,949",23,"5,935",,"5,853",36,2.24,
GLHB,20Aug2020,Central,Y,,,"6,092","6,058","6,092",,,,,,,,,"4,094","1,964",2.24,,,"6,188",,,,"6,188",20,"6,173",,"6,092",34,2.24,
GLHB,21Aug2020,Central,Y,,,"6,219","6,186","6,219",,,,,,,,,"3,816","2,370",2.24,,,"6,309",,,,"6,309",10,"6,286",,"6,219",33,2.24,
GLHB,22Aug2020,Central,Y,,,"6,090","6,057","6,090",,,,,,,,,"3,769","2,288",2.24,,,"6,186",,,,"6,186",0,"6,152",,"6,090",33,2.24,
GLHB,23Aug2020,Central,Y,,,"6,668","6,632","6,668",,,,,,,,,"3,745","2,887",2.24,,,"6,782",,,,"6,782",0,"6,745",,"6,668",36,2.24,
GLHB,24Aug2020,Central,Y,,,"7,315","7,268","7,315",,,,,,,,,"4,016","3,252",2.24,,,"7,449",,,,"7,449",1,"7,401",,"7,315",47,2.24,
GLHB,25Aug2020,Central,Y,,,"7,031","6,995","7,031",,,,,,,,,"3,923","3,072",2.25,,,"7,161",,,,"7,161",0,"7,125",,"7,031",36,2.25,
GLHB,26Aug2020,Central,Y,,,"6,802","6,771","6,802",,,,,,,,,"3,695","3,076",2.24,,,"6,927",,,,"6,927",0,"6,895",,"6,802",31,2.24,
GLHB,27Aug2020,Central,Y,,,"6,586","6,546","6,586",,,,,,,,,"4,027","2,519",2.25,,,"6,709",,,,"6,709",0,"6,668",,"6,586",40,2.25,
GLHB,28Aug2020,Central,Y,,,"6,957","6,922","6,957",,,,,,,,,"4,004","2,918",2.25,,,"7,089",,,,"7,089",0,"7,054",,"6,957",35,2.25,
GLHB,29Aug2020,Central,Y,,,"5,600","5,572","5,600",,,,,,,,,"3,849","1,723",2.24,,,"5,691",,,,"5,691",9,"5,672",,"5,600",28,2.24,
GLHB,30Aug2020,Central,Y,,,"5,487","5,461","5,487",,,,,,,,,"3,399","2,062",2.24,,,"5,573",,,,"5,573",0,"5,547",,"5,487",26,2.24,
GLHB,31Aug2020,Central,Y,,,"5,667","5,628","5,667",,,,,,,,,"3,957","1,671",2.24,,,"5,760",,,,"5,760",18,"5,738",,"5,667",39,2.24,
GLHB,01Sep2020,Central,Y,,,"4,240","4,207","4,240",,,,,,,,,"4,091",116,2.24,,,"4,305",,,,"4,305",220,"4,493",,"4,240",33,2.24,
GLHB,02Sep2020,Central,Y,,,"3,868","3,834","3,868",,,,,,,,,"4,169",-335,2.24,,,"3,930",,,,"3,930",282,"4,179",,"3,868",34,2.24,
GLHB,03Sep2020,Central,Y,,,"5,548","5,504","5,548",,,,,,,,,"4,239","1,265",2.24,,,"5,644",,,,"5,644",80,"5,680",,"5,548",44,2.24,
GLHB,04Sep2020,Central,Y,,,"5,103","5,068","5,103",,,,,,,,,"3,788","1,280",2.24,,,"5,185",,,,"5,185",19,"5,168",,"5,103",35,2.24,
GLHB,05Sep2020,Central,Y,,,"3,352","3,326","3,352",,,,,,,,,"3,024",302,2.24,,,"3,399",,,,"3,399",209,"3,583",,"3,352",26,2.24,
GLHB,06Sep2020,Central,Y,,,"3,320","3,300","3,320",,,,,,,,,"3,032",268,2.24,,,"3,371",,,,"3,371",135,"3,486",,"3,320",20,2.24,
GLHB,07Sep2020,Central,Y,,,"4,379","4,355","4,379",,,,,,,,,"3,164","1,191",2.24,,,"4,453",,,,"4,453",60,"4,489",,"4,379",24,2.24,
GLHB,08Sep2020,Central,Y,,,"5,082","5,034","5,082",,,,,,,,,"4,086",948,2.25,,,"5,183",,,,"5,183",58,"5,193",,"5,082",48,2.25,
GLHB,09Sep2020,Central,Y,,,"5,390","5,344","5,390",,,,,,,,,"4,348",996,2.25,,,"5,499",,,,"5,499",83,"5,536",,"5,390",46,2.25,
GLHB,10Sep2020,Central,Y,,,"4,827","4,788","4,827",,,,,,,,,"4,334",454,2.25,,,"4,917",,,,"4,917",166,"5,045",,"4,827",39,2.25,
GLHB,11Sep2020,Central,Y,,,"3,708","3,676","3,708",,,,,,,,,"4,156",-480,2.24,,,"3,770",,,,"3,770",278,"4,017",,"3,708",32,2.24,
GLHB,12Sep2020,Central,Y,,,"3,534","3,506","3,534",,,,,,,,,"3,935",-429,2.24,,,"3,589",,,,"3,589",440,"4,003",,"3,534",28,2.24,
GLHB,13Sep2020,Central,Y,,,"3,650","3,620","3,650",,,,,,,,,"3,901",-281,2.24,,,"3,705",,,,"3,705",454,"4,131",,"3,650",30,2.24,
GLHB,14Sep2020,Central,Y,,,"3,534","3,502","3,534",,,,,,,,,"3,532",-30,2.24,,,"3,589",,,,"3,589",122,"3,679",,"3,534",32,2.24,
GLHB,15Sep2020,Central,Y,,,"4,681","4,651","4,681",,,,,,,,,"3,283","1,368",2.23,,,"4,743",,,,"4,743",24,"4,737",,"4,681",30,2.23,
GLHB,16Sep2020,Central,Y,,,"4,692","4,669","4,692",,,,,,,,,"3,419","1,250",2.23,,,"4,755",,,,"4,755",49,"4,781",,"4,692",23,2.23,
GLHB,17Sep2020,Central,Y,,,"4,718","4,692","4,718",,,,,,,,,"3,554","1,138",2.23,,,"4,780",,,,"4,780",129,"4,883",,"4,718",26,2.23,
GLHB,18Sep2020,Central,Y,,,"3,518","3,495","3,518",,,,,,,,,"3,566",-71,2.23,,,"3,564",,,,"3,564",277,"3,819",,"3,518",23,2.23,
GLHB,19Sep2020,Central,Y,,,"2,466","2,456","2,466",,,,,,,,,"3,047",-591,2.24,,,"2,500",,,,"2,500",238,"2,730",,"2,466",10,2.24,
GLHB,20Sep2020,Central,Y,,,"2,433","2,421","2,433",,,,,,,,,"3,132",-711,2.24,,,"2,470",,,,"2,470",279,"2,738",,"2,433",12,2.24,
GLHB,21Sep2020,Central,Y,,,"3,789","3,771","3,789",,,,,,,,,"2,749","1,022",2.24,,,"3,845",,,,"3,845",96,"3,924",,"3,789",18,2.24,
GLHB,22Sep2020,Central,Y,,,"3,554","3,535","3,554",,,,,,,,,"2,624",911,2.24,,,"3,603",,,,"3,603",37,"3,621",,"3,554",19,2.24,
GLHB,23Sep2020,Central,Y,,,"3,483","3,452","3,483",,,,,,,,,"2,649",803,2.24,,,"3,531",,,,"3,531",23,"3,523",,"3,483",31,2.24,
GLHB,24Sep2020,Central,Y,,,"2,800","2,777","2,800",,,,,,,,,"2,464",313,2.24,,,"2,840",,,,"2,840",38,"2,855",,"2,800",23,2.24,
GLHB,25Sep2020,Central,Y,,,"2,991","2,965","2,991",,,,,,,,,"2,860",105,2.24,,,"3,035",,,,"3,035",68,"3,078",,"2,991",26,2.24,
GLHB,26Sep2020,Central,Y,,,"2,743","2,724","2,743",,,,,,,,,"3,068",-344,2.24,,,"2,784",,,,"2,784",217,"2,983",,"2,743",19,2.24,
GLHB,27Sep2020,Central,Y,,,"2,964","2,935","2,964",,,,,,,,,"2,978",-43,2.24,,,"3,009",,,,"3,009",57,"3,037",,"2,964",29,2.24,
GLHB,28Sep2020,Central,Y,,,"3,002","2,984","3,002",,,,,,,,,"2,652",332,2.24,,,"3,057",,,,"3,057",64,"3,103",,"3,002",18,2.24,
GLHB,29Sep2020,Central,Y,,,"3,181","3,159","3,181",,,,,,,,,"2,356",803,2.24,,,"3,231",,,,"3,231",9,"3,218",,"3,181",22,2.24,
GLHB,30Sep2020,Central,Y,,,"3,168","3,149","3,168",,,,,,,,,"2,457",692,2.24,,,"3,215",,,,"3,215",17,"3,213",,"3,168",19,2.24,
GLHB,01Oct2020,Central,Y,,,"3,776","3,760","3,776",,,,,,,,,"2,362","1,398",2.24,,,"3,829",,,,"3,829",0,"3,813",,"3,776",16,2.24,
GLHB,02Oct2020,Central,Y,,,"4,587","4,570","4,587",,,,,,,,,"2,289","2,281",2.23,,,"4,646",,,,"4,646",15,"4,644",,"4,587",17,2.23,
GLHB,03Oct2020,Central,Y,,,"3,062","3,047","3,062",,,,,,,,,"2,664",383,2.23,,,"3,098",,,,"3,098",42,"3,124",,"3,062",15,2.23,
GLHB,04Oct2020,Central,Y,,,"2,561","2,540","2,561",,,,,,,,,"2,608",-68,2.23,,,"2,589",,,,"2,589",73,"2,642",,"2,561",21,2.23,
GLHB,05Oct2020,Central,Y,,,"2,433","2,413","2,433",,,,,,,,,"3,378",-965,2.24,,,"2,472",,,,"2,472",400,"2,855",,"2,433",20,2.24,
GLHB,06Oct2020,Central,Y,,,"4,632","4,604","4,632",,,,,,,,,"3,279","1,325",2.23,,,"4,693",,,,"4,693",87,"4,753",,"4,632",28,2.23,
GLHB,07Oct2020,Central,Y,,,"4,787","4,756","4,787",,,,,,,,,"3,476","1,280",2.24,,,"4,859",,,,"4,859",89,"4,917",,"4,787",31,2.24,
GLHB,08Oct2020,Central,Y,,,"4,917","4,877","4,917",,,,,,,,,"3,835","1,042",2.24,,,"4,998",,,,"4,998",159,"5,119",,"4,917",40,2.24,
GLHB,09Oct2020,Central,Y,,,"4,528","4,494","4,528",,,,,,,,,"3,538",956,2.24,,,"4,594",,,,"4,594",172,"4,734",,"4,528",34,2.24,
GLHB,10Oct2020,Central,Y,,,"4,489","4,461","4,489",,,,,,,,,"3,293","1,168",2.24,,,"4,551",,,,"4,551",71,"4,594",,"4,489",28,2.24,
GLHB,11Oct2020,Central,Y,,,"3,939","3,915","3,939",,,,,,,,,"3,526",389,2.24,,,"4,005",,,,"4,005",204,"4,186",,"3,939",24,2.24,
GLHB,12Oct2020,Central,Y,,,"4,835","4,812","4,835",,,,,,,,,"3,005","1,807",2.24,,,"4,914",,,,"4,914",70,"4,962",,"4,835",23,2.24,
GLHB,13Oct2020,Central,Y,,,"5,533","5,500","5,533",,,,,,,,,"2,968","2,532",2.24,,,"5,624",,,,"5,624",5,"5,596",,"5,533",33,2.24,
GLHB,14Oct2020,Central,Y,,,"4,282","4,252","4,282",,,,,,,,,"3,037","1,215",2.24,,,"4,358",,,,"4,358",47,"4,375",,"4,282",30,2.24,
GLHB,15Oct2020,Central,Y,,,"3,582","3,550","3,582",,,,,,,,,"3,346",204,2.24,,,"3,637",,,,"3,637",205,"3,813",,"3,582",32,2.24,
GLHB,16Oct2020,Central,Y,,,"5,043","5,026","5,043",,,,,,,,,"3,024","2,002",2.24,,,"5,118",,,,"5,118",47,"5,148",,"5,043",17,2.24,
GLHB,17Oct2020,Central,Y,,,"2,535","2,515","2,535",,,,,,,,,"2,355",160,2.24,,,"2,576",,,,"2,576",9,"2,564",,"2,535",20,2.24,
GLHB,18Oct2020,Central,Y,,,"5,658","5,636","5,658",,,,,,,,,"2,445","3,191",2.24,,,"5,742",,,,"5,742",0,"5,720",,"5,658",22,2.24,
GLHB,19Oct2020,Central,Y,,,"8,287","8,256","8,287",,,,,,,,,"2,528","5,728",2.23,,,"8,396",,,,"8,396",0,"8,364",,"8,287",31,2.23,
GLHB,20Oct2020,Central,Y,,,"7,722","7,676","7,722",,,,,,,,,"3,000","4,676",2.24,,,"7,830",,,,"7,830",0,"7,783",,"7,722",46,2.24,
GLHB,21Oct2020,Central,Y,,,"6,183","6,142","6,183",,,,,,,,,"2,935","3,207",2.24,,,"6,278",,,,"6,278",0,"6,237",,"6,183",41,2.24,
GLHB,22Oct2020,Central,Y,,,"6,392","6,340","6,392",,,,,,,,,"2,970","3,370",2.24,,,"6,502",,,,"6,502",0,"6,450",,"6,392",52,2.24,
GLHB,23Oct2020,Central,Y,,,"6,167","6,125","6,167",,,,,,,,,"2,983","3,142",2.24,,,"6,266",,,,"6,266",0,"6,223",,"6,167",42,2.24,
GLHB,24Oct2020,Central,Y,,,"8,627","8,576","8,627",,,,,,,,,"2,384","6,192",2.24,,,"8,747",,,,"8,747",0,"8,696",,"8,627",51,2.24,
GLHB,25Oct2020,Central,Y,,,"8,444","8,392","8,444",,,,,,,,,"2,706","5,686",2.24,,,"8,565",,,,"8,565",0,"8,512",,"8,444",52,2.24,
GLHB,26Oct2020,Central,Y,,,"8,697","8,654","8,697",,,,,,,,,"2,090","6,564",2.24,,,"8,822",,,,"8,822",0,"8,778",,"8,697",43,2.24,
GLHB,27Oct2020,Central,Y,,,"9,274","9,221","9,274",,,,,,,,,"2,263","6,958",2.24,,,"9,406",,,,"9,406",0,"9,352",,"9,274",53,2.24,
GLHB,28Oct2020,Central,Y,,,"9,281","9,219","9,281",,,,,,,,,"2,713","6,506",2.24,,,"9,420",,,,"9,420",0,"9,357",,"9,281",62,2.24,
GLHB,29Oct2020,Central,Y,,,"8,032","7,977","8,032",,,,,,,,,"3,034","4,943",2.24,,,"8,163",,,,"8,163",0,"8,107",,"8,032",55,2.24,
GLHB,30Oct2020,Central,Y,,,"6,901","6,845","6,901",,,,,,,,,"3,138","3,707",2.24,,,"7,013",,,,"7,013",0,"6,956",,"6,901",56,2.24,
GLHB,31Oct2020,Central,Y,,,"5,474","5,425","5,474",,,,,,,,,"3,550","1,875",2.25,,,"5,576",,,,"5,576",0,"5,526",,"5,474",49,2.25,
GLHB,01Nov2020,Central,Y,,,"5,736","5,701","5,736",,,,,,,,,"2,953","2,748",2.24,,,"5,829",,,,"5,829",0,"5,793",,"5,736",35,2.24,
GLHB,02Nov2020,Central,Y,,,"8,448","8,394","8,448",,,,,,,,,"3,178","5,216",2.25,,,"8,607",,,,"8,607",0,"8,552",,"8,448",54,2.25,
GLHB,03Nov2020,Central,Y,,,"7,746","7,688","7,746",,,,,,,,,"2,760","4,928",2.25,,,"7,900",,,,"7,900",0,"7,840",,"7,746",58,2.25,
GLHB,04Nov2020,Central,Y,,,"7,022","6,983","7,022",,,,,,,,,"2,348","4,635",2.25,,,"7,153",,,,"7,153",0,"7,113",,"7,022",39,2.25,
GLHB,05Nov2020,Central,Y,,,"7,005","6,964","7,005",,,,,,,,,"1,993","4,971",2.24,,,"7,122",,,,"7,122",0,"7,080",,"7,005",41,2.24,
GLHB,06Nov2020,Central,Y,,,"6,472","6,430","6,472",,,,,,,,,"2,317","4,113",2.24,,,"6,589",,,,"6,589",0,"6,546",,"6,472",42,2.24,
GLHB,07Nov2020,Central,Y,,,"3,663","3,630","3,663",,,,,,,,,"2,225","1,405",2.25,,,"3,736",,,,"3,736",0,"3,703",,"3,663",33,2.25,
GLHB,08Nov2020,Central,Y,,,"4,081","4,039","4,081",,,,,,,,,"2,536","1,503",2.25,,,"4,160",,,,"4,160",0,"4,117",,"4,081",42,2.25,
GLHB,09Nov2020,Central,Y,,,"5,633","5,587","5,633",,,,,,,,,"2,691","2,896",2.25,,,"5,740",,,,"5,740",21,"5,714",,"5,633",46,2.25,
GLHB,10Nov2020,Central,Y,,,"4,474","4,445","4,474",,,,,,,,,"2,714","1,731",2.24,,,"4,548",,,,"4,548",113,"4,633",,"4,474",29,2.24,
GLHB,11Nov2020,Central,Y,,,"6,306","6,265","6,306",,,,,,,,,"3,011","3,254",2.24,,,"6,411",,,,"6,411",0,"6,369",,"6,306",41,2.24,
GLHB,12Nov2020,Central,Y,,,"6,355","6,312","6,355",,,,,,,,,"3,774","2,538",2.25,,,"6,472",,,,"6,472",60,"6,489",,"6,355",43,2.25,
GLHB,13Nov2020,Central,Y,,,"5,989","5,952","5,989",,,,,,,,,"3,359","2,593",2.24,,,"6,097",,,,"6,097",82,"6,141",,"5,989",37,2.24,
GLHB,14Nov2020,Central,Y,,,"5,261","5,231","5,261",,,,,,,,,"3,651","1,580",2.25,,,"5,363",,,,"5,363",78,"5,410",,"5,261",30,2.25,
GLHB,15Nov2020,Central,Y,,,"4,764","4,738","4,764",,,,,,,,,"3,478","1,260",2.24,,,"4,845",,,,"4,845",90,"4,910",,"4,764",26,2.24,
GLHB,16Nov2020,Central,Y,,,"8,372","8,330","8,372",,,,,,,,,"4,159","4,171",2.24,,,"8,515",,,,"8,515",0,"8,472",,"8,372",42,2.24,
GLHB,17Nov2020,Central,Y,,,"8,687","8,637","8,687",,,,,,,,,"4,333","4,304",2.25,,,"8,850",,,,"8,850",0,"8,799",,"8,687",50,2.25,
GLHB,18Nov2020,Central,Y,,,"7,956","7,902","7,956",,,,,,,,,"4,793","3,109",2.25,,,"8,131",,,,"8,131",6,"8,082",,"7,956",54,2.25,
GLHB,19Nov2020,Central,Y,,,"4,183","4,152","4,183",,,,,,,,,"3,706",446,2.25,,,"4,269",,,,"4,269",32,"4,270",,"4,183",31,2.25,
GLHB,20Nov2020,Central,Y,,,"4,983","4,954","4,983",,,,,,,,,"3,118","1,836",2.24,,,"5,068",,,,"5,068",11,"5,049",,"4,983",29,2.24,
GLHB,21Nov2020,Central,Y,,,"4,707","4,678","4,707",,,,,,,,,"2,986","1,692",2.23,,,"4,771",,,,"4,771",49,"4,791",,"4,707",29,2.23,
GLHB,22Nov2020,Central,Y,,,"3,942","3,908","3,942",,,,,,,,,"3,769",139,2.24,,,"3,997",,,,"3,997",287,"4,253",,"3,942",34,2.24,
GLHB,23Nov2020,Central,Y,,,"4,608","4,578","4,608",,,,,,,,,"3,894",684,2.24,,,"4,688",,,,"4,688",234,"4,893",,"4,608",30,2.24,
GLHB,24Nov2020,Central,Y,,,"5,452","5,415","5,452",,,,,,,,,"4,198","1,217",2.25,,,"5,558",,,,"5,558",203,"5,724",,"5,452",37,2.25,
GLHB,25Nov2020,Central,Y,,,"4,603","4,576","4,603",,,,,,,,,"3,385","1,191",2.24,,,"4,679",,,,"4,679",203,"4,854",,"4,603",27,2.24,
GLHB,26Nov2020,Central,Y,,,"2,848","2,827","2,848",,,,,,,,,"2,707",120,2.24,,,"2,889",,,,"2,889",79,"2,948",,"2,848",21,2.24,
GLHB,27Nov2020,Central,Y,,,"4,468","4,440","4,468",,,,,,,,,"2,779","1,661",2.24,,,"4,531",,,,"4,531",49,"4,552",,"4,468",28,2.24,
GLHB,28Nov2020,Central,Y,,,"2,473","2,447","2,473",,,,,,,,,"2,806",-359,2.23,,,"2,503",,,,"2,503",153,"2,631",,"2,473",26,2.23,
GLHB,29Nov2020,Central,Y,,,"2,687","2,662","2,687",,,,,,,,,"3,114",-452,2.24,,,"2,728",,,,"2,728",209,"2,914",,"2,687",25,2.24,
GLHB,30Nov2020,Central,Y,,,"6,467","6,434","6,467",,,,,,,,,"3,728","2,706",2.24,,,"6,572",,,,"6,572",30,"6,568",,"6,467",33,2.24,
GLHB,01Dec2020,Central,Y,,,"7,921","7,881","7,921",,,,,,,,,"3,927","3,954",2.25,,,"8,068",,,,"8,068",0,"8,027",,"7,921",40,2.25,
GLHB,02Dec2020,Central,Y,,,"8,437","8,390","8,437",,,,,,,,,"3,898","4,492",2.25,,,"8,605",,,,"8,605",0,"8,557",,"8,437",47,2.25,
GLHB,03Dec2020,Central,Y,,,"8,358","8,285","8,358",,,,,,,,,"4,050","4,235",2.25,,,"8,516",,,,"8,516",0,"8,442",,"8,358",73,2.25,
GLHB,04Dec2020,Central,Y,,,"8,064","8,025","8,064",,,,,,,,,"3,493","4,532",2.24,,,"8,197",,,,"8,197",0,"8,157",,"8,064",39,2.24,
GLHB,05Dec2020,Central,Y,,,"6,850","6,805","6,850",,,,,,,,,"3,674","3,131",2.24,,,"6,959",,,,"6,959",0,"6,913",,"6,850",45,2.24,
GLHB,06Dec2020,Central,Y,,,"6,496","6,465","6,496",,,,,,,,,"3,679","2,786",2.24,,,"6,599",,,,"6,599",0,"6,568",,"6,496",31,2.24,
GLHB,07Dec2020,Central,Y,,,"8,402","8,353","8,402",,,,,,,,,"4,160","4,193",2.24,,,"8,551",,,,"8,551",0,"8,501",,"8,402",49,2.24,
GLHB,08Dec2020,Central,Y,,,"7,963","7,911","7,963",,,,,,,,,"4,180","3,731",2.25,,,"8,110",,,,"8,110",14,"8,072",,"7,963",52,2.25,
GLHB,09Dec2020,Central,Y,,,"6,906","6,862","6,906",,,,,,,,,"3,684","3,178",2.24,,,"7,025",,,,"7,025",19,"7,000",,"6,906",44,2.24,
GLHB,10Dec2020,Central,Y,,,"6,359","6,318","6,359",,,,,,,,,"3,642","2,676",2.24,,,"6,465",,,,"6,465",0,"6,424",,"6,359",41,2.24,
GLHB,11Dec2020,Central,Y,,,"6,570","6,531","6,570",,,,,,,,,"3,651","2,880",2.24,,,"6,673",,,,"6,673",9,"6,642",,"6,570",39,2.24,
GLHB,12Dec2020,Central,Y,,,"5,950","5,921","5,950",,,,,,,,,"3,161","2,760",2.23,,,"6,028",,,,"6,028",39,"6,039",,"5,950",29,2.23,
GLHB,13Dec2020,Central,Y,,,"6,737","6,698","6,737",,,,,,,,,"2,891","3,807",2.23,,,"6,827",,,,"6,827",0,"6,788",,"6,737",39,2.23,
GLHB,14Dec2020,Central,Y,,,"7,867","7,822","7,867",,,,,,,,,"4,023","3,799",2.24,,,"7,989",,,,"7,989",0,"7,943",,"7,867",45,2.24,
GLHB,15Dec2020,Central,Y,,,"8,129","8,076","8,129",,,,,,,,,"4,292","3,784",2.24,,,"8,261",,,,"8,261",0,"8,207",,"8,129",53,2.24,
GLHB,16Dec2020,Central,Y,,,"9,491","9,440","9,491",,,,,,,,,"4,151","5,289",2.24,,,"9,649",,,,"9,649",0,"9,597",,"9,491",51,2.24,
GLHB,17Dec2020,Central,Y,,,"10,676","10,609","10,676",,,,,,,,,"4,763","5,846",2.25,,,"10,873",,,,"10,873",0,"10,804",,"10,676",67,2.25,
