BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,12Sep2018,Arizona,N,"42,302","41,272","40,823",-449,"18,922","13,064",,,199,"1,784","6,818",36,,"-5,585","9,233","-5,097","-2,947",,288,"3,905",-246,"1,836",59,"1,297",594,"1,849",536,"27,921","7,051",2.32,0.91,,"19,874","5,416",,59,"25,348","5,963","7,971","23,340","40,823","41,272",1.37,1.25
PNM,13Sep2018,Arizona,N,"43,116","40,990","42,108","1,118","19,909","15,325",,,192,"1,846","4,800",36,,"-3,982","8,976","-5,753","-3,034",,377,"2,963","1,571","1,897",55,"1,270",581,"1,667",545,"27,541","7,151",2.31,0.91,,"20,900","6,348",,46,"27,294","5,836","8,837","24,292","42,108","40,990",1.43,1.31
PNM,14Sep2018,Arizona,N,"41,908","40,141","41,822","1,681","19,201","15,178",,,200,"1,789","5,421",33,,"-2,950","9,134","-5,475","-2,822",,316,"2,611",867,"1,921",49,"1,230",588,"1,806",553,"26,743","7,172",2.31,0.91,,"20,139","6,272",,49,"26,460","5,071","7,926","23,605","41,822","40,141",1.39,1.30
PNM,15Sep2018,Arizona,N,"39,984","39,666","42,030","2,364","20,875","14,813",,,216,"1,765","4,326",35,,"-3,078","9,079","-2,826","-3,398",,196,"1,562",829,"1,936",48,"1,132",580,"1,764",552,"26,611","6,996",2.31,0.91,,"21,881","6,118",,42,"28,040","4,347","7,709","24,679","42,030","39,666",1.47,1.37
PNM,16Sep2018,Arizona,N,"39,893","40,245","41,831","1,586","22,735","13,142",,,216,"1,674","4,030",34,,"-4,573","8,907","-3,576","-3,082",,316,"2,797",797,"1,976",51,"1,136",579,"1,816",552,"27,000","7,109",2.31,0.91,,"23,839","5,427",,40,"29,306","5,077","8,549","25,834","41,831","40,245",1.54,1.42
PNM,17Sep2018,Arizona,N,"42,168","42,416","41,627",-789,"23,086","13,195",,,216,"1,710","3,386",34,,"-9,418","8,930","-3,774","-2,647",,377,"3,958","1,785","1,935",57,"1,291",613,"1,872",552,"28,757","7,218",2.31,0.91,,"24,233","5,437",,36,"29,705","6,500","9,575","26,630","41,627","42,416",1.57,1.38
PNM,18Sep2018,Arizona,N,"43,237","42,595","43,465",870,"23,756","13,510",,,216,"1,710","4,238",35,,"-9,581","9,146","-4,544","-2,457",,377,"4,219","3,710","1,903",62,"1,315",618,"1,806",552,"28,929","7,305",2.32,0.91,,"24,959","5,569",,41,"30,569","6,556","10,833","26,291","43,465","42,595",1.55,1.36
PNM,19Sep2018,Arizona,N,"41,423","41,775","42,431",656,"22,651","13,051",,,216,"1,315","5,178",20,,"-7,187","8,434","-5,164","-2,615",,380,"3,679","3,129","1,645",61,"1,318",616,"1,801",552,"28,622","7,093",2.33,0.92,,"23,946","5,429",,45,"29,419","6,392","9,800","26,012","42,431","41,775",1.53,1.37
PNM,20Sep2018,Arizona,N,"38,922","37,252","39,288","2,036","22,914","11,647",,,204,864,"3,625",34,,"-6,875","8,639","-3,686","-2,658",,377,"3,130","3,109","1,813",59,"1,230",609,"1,732",553,"24,596","6,618",2.33,0.92,,"24,235","4,851",,31,"29,117","5,885","10,189","24,813","39,288","37,252",1.63,1.47
PNM,21Sep2018,Arizona,N,"37,123","36,692","44,441","7,749","22,309","10,156",,,203,"1,698","10,037",38,,"-2,963","7,948","-3,941","-2,735",,346,"4,948","4,146","1,834",57,"1,192",575,"1,748",522,"24,187","6,478",2.33,0.92,,"23,588","4,243",,80,"27,910","4,566","10,507","21,970","44,441","36,692",1.38,1.32
PNM,22Sep2018,Arizona,N,"34,967","35,985","35,471",-514,"21,179","10,756",,,216,"1,780","1,498",42,,"-8,815","8,428","-1,246","-2,785",,225,"1,562","2,117","1,961",49,"1,086",564,"1,722",459,"23,545","6,473",2.33,0.92,,"22,372","4,495",,23,"26,890","5,448","8,466","23,873","35,471","35,985",1.67,1.46
PNM,23Sep2018,Arizona,N,"35,199","35,441","29,736","-5,705","10,800","12,424",,,216,"1,828","4,431",37,,"-8,903","9,367","-2,552","-2,381",,423,-748,-911,"1,941",53,"1,072",561,"1,678",461,"23,125","6,444",2.33,0.92,,"11,399","5,194",,43,"16,636","6,799","5,347","18,087","29,736","35,441",1.23,1.13
PNM,24Sep2018,Arizona,N,"37,234","37,424","33,581","-3,843","11,330","12,897",,,216,"1,701","7,399",38,,"-6,992","9,437","-4,556","-2,630",,375,"1,594","-1,071","1,964",57,"1,219",597,"1,615",487,"24,714","6,647",2.33,0.92,,"11,959","5,384",,62,"17,404","6,661","5,690","18,376","33,581","37,424",1.14,1.08
PNM,25Sep2018,Arizona,N,"38,027","37,520","33,390","-4,130","11,012","13,645",,,168,"1,372","7,160",33,,"-7,715","9,982","-5,678","-2,175",,376,"1,259",-179,"1,928",55,"1,234",597,"1,609",482,"24,892","6,600",2.33,0.92,,"11,640","5,695",,58,"17,393","6,985","6,184","18,194","33,390","37,520",1.15,1.07
PNM,26Sep2018,Arizona,N,"35,628","35,289","28,041","-7,248","11,016","12,044",,,144,"1,453","3,342",42,,"-11,316","9,740","-1,351","-2,825",,377,"1,410","-3,283","1,901",57,"1,170",595,"1,601",479,"23,055","6,301",2.33,0.92,,"11,641","5,034",,33,"16,707","8,383","6,240","18,850","28,041","35,289",1.31,1.18
PNM,27Sep2018,Arizona,N,"36,611","36,053","32,409","-3,644","10,718","10,683",,,144,"1,767","9,057",40,,"-6,426","8,205","-3,262","-2,986",,386,"2,506","-2,067","1,918",57,"1,205",592,"1,648",489,"23,542","6,470",2.33,0.92,,"11,316","4,467",,73,"15,856","7,206","5,487","17,575","32,409","36,053",1.08,1.07
PNM,28Sep2018,Arizona,N,"37,336","36,255","31,058","-5,197","10,982","10,971",,,144,"1,678","7,243",40,,"-6,953","7,703","-3,979","-2,817",,396,"2,344","-1,891","1,921",57,"1,181",587,"1,670",490,"23,778","6,450",2.33,0.92,,"11,600","4,586",,61,"16,246","7,171","5,257","18,160","31,058","36,255",1.15,1.10
PNM,29Sep2018,Arizona,N,"36,079","35,263","28,885","-6,378","11,047","11,165",,,144,"1,663","4,826",40,,"-8,408","8,392","-3,890","-2,657",,377,"1,063","-1,255","1,834",48,"1,081",581,"1,572",457,"23,237","6,361",2.33,0.92,,"11,663","4,664",,44,"16,372","7,169","5,311","18,230","28,885","35,263",1.25,1.14
PNM,30Sep2018,Arizona,N,"36,930","35,985","30,301","-5,684","10,028","11,421",,,149,"1,648","7,019",36,,"-6,695","8,263","-4,933","-2,831",,376,"1,917","-1,781","1,705",49,"1,083",575,"1,593",475,"23,874","6,577",2.33,0.92,,"10,582","4,771",,59,"15,412","7,972","5,546","17,838","30,301","35,985",1.12,1.09
