BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,01Jul2015,Arizona,N,"46,437","48,426","43,279","-5,147",,,,,,,,,,"-8,776","7,340",,"-3,434",,-309,"-4,527","4,732",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Jul2015,Arizona,N,"46,504","46,873","47,980","1,107",,,,,,,,,,"-10,451","8,129",,"-2,880",,-277,-926,"7,688",,,,,,,,,,,,,,,,,,,,,,,
PNM,03Jul2015,Arizona,N,"43,124","44,440","42,539","-1,901",,,,,,,,,,"-12,535","7,006",,"-2,656",,-347,"1,011","5,800",,,,,,,,,,,,,,,,,,,,,,,
PNM,04Jul2015,Arizona,N,"41,491","42,729","41,496","-1,233",,,,,,,,,,"-11,211","5,366",,"-2,786",,-293,"2,540","5,310",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Jul2015,Arizona,N,"41,982","42,574","46,135","3,561",,,,,,,,,,"-9,569","4,352",,"-2,500",,-49,"2,588","8,896",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Jul2015,Arizona,N,"44,920","44,713","46,232","1,519",,,,,,,,,,"-10,934","7,125",,"-2,692",,-364,"2,386","6,175",,,,,,,,,,,,,,,,,,,,,,,
PNM,07Jul2015,Arizona,N,"41,873","41,997","39,484","-2,513",,,,,,,,,,"-11,424","6,371",,"-2,736",,-324,"1,467","4,297",,,,,,,,,,,,,,,,,,,,,,,
PNM,08Jul2015,Arizona,N,"42,566","40,804","38,316","-2,488",,,,,,,,,,"-10,707","5,865",,"-2,852",,-254,820,"4,804",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Jul2015,Arizona,N,"41,567","39,228","34,533","-4,695",,,,,,,,,,"-11,768","6,410",,"-2,856",,-88,829,"2,926",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Jul2015,Arizona,N,"40,069","39,068","34,243","-4,825",,,,,,,,,,"-11,183","4,957",,"-2,578",,-90,614,"3,586",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Jul2015,Arizona,N,"39,255","38,955","33,634","-5,321",,,,,,,,,,"-12,261","6,492",,"-2,562",,-94,823,"2,444",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Jul2015,Arizona,N,"39,910","40,924","35,574","-5,350",,,,,,,,,,"-12,829","6,585",,"-2,920",,401,977,"2,600",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Jul2015,Arizona,N,"43,066","43,116","36,989","-6,127",,,,,,,,,,"-13,164","8,010",,"-2,586",,91,"-1,967","3,637",,,,,,,,,,,,,,,,,,,,,,,
PNM,14Jul2015,Arizona,N,"42,959","43,485","36,176","-7,309",,,,,,,,,,"-14,033","7,010",,"-2,674",,217,76,"2,248",,,,,,,,,,,,,,,,,,,,,,,
PNM,15Jul2015,Arizona,N,"42,931","42,986","37,956","-5,030",,,,,,,,,,"-13,502","5,302",,"-2,635",,215,642,"5,100",,,,,,,,,,,,,,,,,,,,,,,
PNM,16Jul2015,Arizona,N,"43,771","44,347","44,441",94,,,,,,,,,,"-11,704","5,585",,"-2,657",,508,"1,951","6,547",,,,,,,,,,,,,,,,,,,,,,,
PNM,17Jul2015,Arizona,N,"43,428","42,048","40,183","-1,865",,,,,,,,,,"-11,599","6,091",,"-2,537",,197,"1,036","5,089",,,,,,,,,,,,,,,,,,,,,,,
PNM,18Jul2015,Arizona,N,"42,153","43,744","39,356","-4,388",,,,,,,,,,"-12,127","5,676",,"-2,678",,-100,"1,249","3,738",,,,,,,,,,,,,,,,,,,,,,,
PNM,19Jul2015,Arizona,N,"41,642","42,693","39,940","-2,753",,,,,,,,,,"-11,374","5,697",,"-2,602",,229,"1,458","3,981",,,,,,,,,,,,,,,,,,,,,,,
PNM,20Jul2015,Arizona,N,"43,311","45,455","38,640","-6,815",,,,,,,,,,"-14,214","7,570",,"-2,873",,-126,"1,172","1,807",,,,,,,,,,,,,,,,,,,,,,,
PNM,21Jul2015,Arizona,N,"44,195","45,032","47,968","2,936",,,,,,,,,,"-10,366","7,191",,"-2,977",,-87,"3,525","5,797",,,,,,,,,,,,,,,,,,,,,,,
PNM,22Jul2015,Arizona,N,"44,880","46,349","52,960","6,611",,,,,,,,,,"-9,377","7,168",,"-2,885",,-88,"4,344","7,598",,,,,,,,,,,,,,,,,,,,,,,
PNM,23Jul2015,Arizona,N,"45,197","47,474","52,057","4,583",,,,,,,,,,"-10,317","6,539",,"-3,050",,35,"4,154","7,370",,,,,,,,,,,,,,,,,,,,,,,
PNM,24Jul2015,Arizona,N,"46,116","47,913","51,471","3,558",,,,,,,,,,"-11,044","7,168",,"-2,806",,-48,"3,789","6,658",,,,,,,,,,,,,,,,,,,,,,,
PNM,25Jul2015,Arizona,N,"46,002","46,193","45,610",-583,,,,,,,,,,"-12,591","3,570",,"-2,397",,-90,"4,514","6,579",,,,,,,,,,,,,,,,,,,,,,,
PNM,26Jul2015,Arizona,N,"45,434","45,772","42,922","-2,850",,,,,,,,,,"-12,247","2,595",,"-2,584",,389,"2,758","6,401",,,,,,,,,,,,,,,,,,,,,,,
PNM,27Jul2015,Arizona,N,"46,898","47,245","47,706",461,,,,,,,,,,"-11,953","5,792",,"-2,532",,5,"2,384","6,920",,,,,,,,,,,,,,,,,,,,,,,
PNM,28Jul2015,Arizona,N,"45,745","48,166","49,812","1,646",,,,,,,,,,"-11,225","7,077",,"-2,904",,-11,"3,092","5,767",,,,,,,,,,,,,,,,,,,,,,,
PNM,29Jul2015,Arizona,N,"43,489","44,084","47,719","3,635",,,,,,,,,,"-8,853","5,887",,"-2,987",,-87,"2,164","7,652",,,,,,,,,,,,,,,,,,,,,,,
PNM,30Jul2015,Arizona,N,"42,102","42,988","48,483","5,495",,,,,,,,,,"-8,560","7,658",,"-2,659",,-447,"1,387","8,242",,,,,,,,,,,,,,,,,,,,,,,
PNM,31Jul2015,Arizona,N,"41,143","43,299","44,211",912,,,,,,,,,,"-9,713","6,707",,"-2,635",,-39,"1,486","5,239",,,,,,,,,,,,,,,,,,,,,,,
PNM,01Aug2015,Arizona,N,"40,233","42,927","38,139","-4,788",,,,,,,,,,"-11,997","7,804",,"-2,732",,-64,-54,"2,383",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Aug2015,Arizona,N,"39,734","41,651","35,326","-6,325",,,,,,,,,,"-11,850","7,596",,"-2,787",,-324,235,938,,,,,,,,,,,,,,,,,,,,,,,
PNM,03Aug2015,Arizona,N,"41,919","45,014","44,123",-891,,,,,,,,,,"-11,031","7,872",,"-3,042",,-326,"2,274","3,498",,,,,,,,,,,,,,,,,,,,,,,
PNM,04Aug2015,Arizona,N,"44,043","46,081","43,691","-2,390",,,,,,,,,,"-13,748","8,779",,"-3,111",,-389,"5,117","1,131",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Aug2015,Arizona,N,"45,200","47,448","48,660","1,212",,,,,,,,,,"-13,933","9,565",,"-3,137",,-335,"6,287","2,947",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Aug2015,Arizona,N,"46,287","47,015","49,153","2,138",,,,,,,,,,"-12,462","10,021",,"-3,173",,-305,"3,825","4,396",,,,,,,,,,,,,,,,,,,,,,,
PNM,07Aug2015,Arizona,N,"46,648","46,288","52,011","5,723",,,,,,,,,,"-9,831","7,020",,"-3,018",,-273,"5,394","6,603",,,,,,,,,,,,,,,,,,,,,,,
PNM,08Aug2015,Arizona,N,"42,688","42,127","40,009","-2,118",,,,,,,,,,"-9,435","5,768",,"-3,146",,-269,"3,285","1,850",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Aug2015,Arizona,N,"41,270","42,966","40,616","-2,350",,,,,,,,,,"-8,360","4,378",,"-3,181",,-251,"1,269","3,975",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Aug2015,Arizona,N,"42,989","44,896","43,277","-1,619",,,,,,,,,,"-8,759","7,165",,"-3,258",,-337,-379,"4,136",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Aug2015,Arizona,N,"44,633","45,967","48,864","2,897",,,,,,,,,,"-8,313","5,609",,"-2,973",,-241,"1,444","7,501",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Aug2015,Arizona,N,"44,212","46,885","48,648","1,763",,,,,,,,,,"-8,418","7,164",,"-2,674",,-272,-438,"6,582",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Aug2015,Arizona,N,"44,804","47,091","50,225","3,134",,,,,,,,,,"-7,546","8,090",,"-2,784",,-292,"-1,477","7,299",,,,,,,,,,,,,,,,,,,,,,,
PNM,14Aug2015,Arizona,N,"45,312","48,295","50,888","2,593",,,,,,,,,,"-8,391","7,567",,"-2,900",,-337,-99,"6,902",,,,,,,,,,,,,,,,,,,,,,,
PNM,15Aug2015,Arizona,N,"44,716","47,123","54,202","7,079",,,,,,,,,,"-10,926","8,883",,"-3,293",,-157,"7,501","5,235",,,,,,,,,,,,,,,,,,,,,,,
PNM,16Aug2015,Arizona,N,"44,242","45,523","47,167","1,644",,,,,,,,,,"-10,581","7,808",,"-3,291",,-266,"4,267","3,848",,,,,,,,,,,,,,,,,,,,,,,
PNM,17Aug2015,Arizona,N,"45,195","48,104","49,382","1,278",,,,,,,,,,"-10,619","9,000",,"-3,513",,-209,"2,651","4,129",,,,,,,,,,,,,,,,,,,,,,,
PNM,18Aug2015,Arizona,N,"46,312","48,259","49,507","1,248",,,,,,,,,,"-10,351","8,179",,"-3,700",,-217,"4,033","3,485",,,,,,,,,,,,,,,,,,,,,,,
PNM,19Aug2015,Arizona,N,"43,466","45,233","53,568","8,335",,,,,,,,,,"-8,489","8,603",,"-3,256",,84,"6,695","4,886",,,,,,,,,,,,,,,,,,,,,,,
PNM,20Aug2015,Arizona,N,"43,478","45,538","48,818","3,280",,,,,,,,,,"-11,138","7,972",,"-3,107",,-351,"5,788","4,297",,,,,,,,,,,,,,,,,,,,,,,
PNM,21Aug2015,Arizona,N,"44,057","45,535","47,438","1,903",,,,,,,,,,"-11,592","7,370",,"-3,342",,-370,"5,900","4,127",,,,,,,,,,,,,,,,,,,,,,,
PNM,22Aug2015,Arizona,N,"43,122","44,896","53,192","8,296",,,,,,,,,,"-9,378","7,165",,"-2,996",,-288,"7,595","6,390",,,,,,,,,,,,,,,,,,,,,,,
PNM,23Aug2015,Arizona,N,"41,444","42,186","52,437","10,251",,,,,,,,,,"-7,232","6,918",,"-3,342",,-29,"8,519","5,595",,,,,,,,,,,,,,,,,,,,,,,
PNM,24Aug2015,Arizona,N,"42,300","45,846","52,858","7,012",,,,,,,,,,"-6,020","6,243",,"-3,277",,-330,"2,956","7,621",,,,,,,,,,,,,,,,,,,,,,,
PNM,25Aug2015,Arizona,N,"43,265","46,069","52,331","6,262",,,,,,,,,,"-5,609","4,892",,"-2,735",,-329,107,"10,089",,,,,,,,,,,,,,,,,,,,,,,
PNM,26Aug2015,Arizona,N,"42,706","43,403","52,679","9,276",,,,,,,,,,"-4,953","5,876",,"-2,849",,368,"1,085","9,885",,,,,,,,,,,,,,,,,,,,,,,
PNM,27Aug2015,Arizona,N,"42,569","44,623","54,643","10,020",,,,,,,,,,"-4,238","6,509",,"-3,336",,364,"2,406","8,445",,,,,,,,,,,,,,,,,,,,,,,
PNM,28Aug2015,Arizona,N,"42,677","44,838","54,444","9,606",,,,,,,,,,"-4,357","7,393",,"-3,255",,-374,"2,474","7,852",,,,,,,,,,,,,,,,,,,,,,,
PNM,29Aug2015,Arizona,N,"41,322","43,422","53,442","10,020",,,,,,,,,,"-4,071","6,625",,"-3,231",,52,"2,143","8,627",,,,,,,,,,,,,,,,,,,,,,,
PNM,30Aug2015,Arizona,N,"41,169","43,886","52,828","8,942",,,,,,,,,,"-6,301","6,584",,"-3,799",,375,"5,366","6,856",,,,,,,,,,,,,,,,,,,,,,,
PNM,31Aug2015,Arizona,N,"42,936","45,872","54,639","8,767",,,,,,,,,,"-8,613","7,217",,"-3,627",,500,"7,063","6,375",,,,,,,,,,,,,,,,,,,,,,,
PNM,01Sep2015,Arizona,N,"43,687","45,666","52,485","6,819",,,,,,,,,,"-9,759","6,660",,"-3,103",,426,"5,852","6,898",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Sep2015,Arizona,N,"43,576","45,044","48,940","3,896",,,,,,,,,,"-9,546","6,530",,"-2,816",,374,"3,043","6,449",,,,,,,,,,,,,,,,,,,,,,,
PNM,03Sep2015,Arizona,N,"41,751","44,848","52,258","7,410",,,,,,,,,,"-8,463","6,212",,"-2,802",,397,"3,542","8,653",,,,,,,,,,,,,,,,,,,,,,,
PNM,04Sep2015,Arizona,N,"40,440","41,970","50,207","8,237",,,,,,,,,,"-6,194","5,248",,"-2,894",,470,"2,032","9,711",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Sep2015,Arizona,N,"38,946","40,495","42,974","2,479",,,,,,,,,,"-3,122","3,525",,"-2,736",,367,"-2,203","6,797",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Sep2015,Arizona,N,"39,713","40,502","38,255","-2,247",,,,,,,,,,"-4,217","5,261",,"-3,258",,532,"-3,463","3,042",,,,,,,,,,,,,,,,,,,,,,,
PNM,07Sep2015,Arizona,N,"40,315","41,980","40,267","-1,713",,,,,,,,,,"-11,904","5,219",,"-3,677",,372,"-1,647","10,073",,,,,,,,,,,,,,,,,,,,,,,
PNM,08Sep2015,Arizona,N,"42,652","43,730","46,053","2,323",,,,,,,,,,"-9,780","4,740",,"-3,445",,-299,"-1,208","12,457",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Sep2015,Arizona,N,"44,233","44,178","50,031","5,853",,,,,,,,,,"-2,029","5,145",,"-3,571",,-203,"-1,678","8,334",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Sep2015,Arizona,N,"42,840","43,657","50,809","7,152",,,,,,,,,,"-1,910","4,635",,"-3,423",,189,"-1,220","9,020",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Sep2015,Arizona,N,"41,049","43,000","52,035","9,035",,,,,,,,,,"-1,022","5,168",,"-3,024",,169,"-1,970","9,834",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Sep2015,Arizona,N,"39,606","42,061","53,806","11,745",,,,,,,,,,-215,"5,951",,"-3,383",,-580,"2,226","7,891",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Sep2015,Arizona,N,"39,850","41,506","53,031","11,525",,,,,,,,,,-894,"4,203",,"-2,863",,193,"2,174","8,827",,,,,,,,,,,,,,,,,,,,,,,
PNM,14Sep2015,Arizona,N,"41,317","42,926","48,048","5,122",,,,,,,,,,"-5,523","3,973",,"-2,822",,334,"1,741","7,548",,,,,,,,,,,,,,,,,,,,,,,
PNM,15Sep2015,Arizona,N,"41,343","43,058","48,325","5,267",,,,,,,,,,"-6,495","4,326",,"-2,870",,367,"2,165","7,911",,,,,,,,,,,,,,,,,,,,,,,
PNM,16Sep2015,Arizona,N,"41,607","43,573","47,850","4,277",,,,,,,,,,"-8,964","5,003",,"-2,726",,445,"2,830","7,830",,,,,,,,,,,,,,,,,,,,,,,
PNM,17Sep2015,Arizona,N,"41,222","43,455","40,887","-2,568",,,,,,,,,,"-11,604","4,948",,"-2,709",,332,"2,087","4,514",,,,,,,,,,,,,,,,,,,,,,,
PNM,18Sep2015,Arizona,N,"40,906","42,729","40,648","-2,081",,,,,,,,,,"-13,017","5,117",,"-2,448",,317,"3,517","4,555",,,,,,,,,,,,,,,,,,,,,,,
PNM,19Sep2015,Arizona,N,"38,599","39,269","38,905",-364,,,,,,,,,,"-11,316","4,558",,"-2,148",,-87,"3,625","5,120",,,,,,,,,,,,,,,,,,,,,,,
PNM,20Sep2015,Arizona,N,"38,918","40,175","44,778","4,603",,,,,,,,,,"-9,041","4,761",,"-2,331",,-397,"4,527","7,188",,,,,,,,,,,,,,,,,,,,,,,
PNM,21Sep2015,Arizona,N,"40,955","40,403","44,675","4,272",,,,,,,,,,"-10,195","4,426",,"-1,977",,-502,"3,644","8,993",,,,,,,,,,,,,,,,,,,,,,,
PNM,22Sep2015,Arizona,N,"39,035","39,158","48,506","9,348",,,,,,,,,,"-9,594","4,503",,"-1,655",,-295,"4,205","12,287",,,,,,,,,,,,,,,,,,,,,,,
PNM,23Sep2015,Arizona,N,"38,521","39,260","45,101","5,841",,,,,,,,,,"-10,478","5,784",,"-1,901",,-369,"3,066","9,844",,,,,,,,,,,,,,,,,,,,,,,
PNM,24Sep2015,Arizona,N,"39,134","39,749","40,498",749,,,,,,,,,,"-11,066","5,709",,"-2,000",,-335,"2,095","6,454",,,,,,,,,,,,,,,,,,,,,,,
PNM,25Sep2015,Arizona,N,"38,705","39,571","38,058","-1,513",,,,,,,,,,"-12,155","4,695",,"-1,988",,-344,"2,352","6,033",,,,,,,,,,,,,,,,,,,,,,,
PNM,26Sep2015,Arizona,N,"37,688","38,091","38,029",-62,,,,,,,,,,"-10,205","4,239",,"-2,422",,-266,"4,296","4,397",,,,,,,,,,,,,,,,,,,,,,,
PNM,27Sep2015,Arizona,N,"37,943","38,797","37,044","-1,753",,,,,,,,,,"-10,144","2,831",,"-2,234",,-697,"3,447","5,146",,,,,,,,,,,,,,,,,,,,,,,
PNM,28Sep2015,Arizona,N,"40,456","41,258","36,774","-4,484",,,,,,,,,,"-13,285","3,185",,"-2,207",,-489,"3,640","4,788",,,,,,,,,,,,,,,,,,,,,,,
PNM,29Sep2015,Arizona,N,"41,140","41,669","37,128","-4,541",,,,,,,,,,"-13,763","3,701",,"-2,362",,434,"4,277","3,299",,,,,,,,,,,,,,,,,,,,,,,
PNM,30Sep2015,Arizona,N,"41,078","41,839","40,546","-1,293",,,,,,,,,,"-13,468","5,375",,"-2,302",,453,"5,089","3,730",,,,,,,,,,,,,,,,,,,,,,,
PNM,01Oct2015,Arizona,N,"41,623","42,468","48,939","6,471",,,,,,,,,,"-8,996","3,824",,"-2,325",,447,"5,065","8,634",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Oct2015,Arizona,N,"40,313","41,192","44,832","3,640",,,,,,,,,,"-10,763","5,209",,"-2,488",,416,"6,438","4,995",,,,,,,,,,,,,,,,,,,,,,,
PNM,03Oct2015,Arizona,N,"36,859","36,740","37,006",266,,,,,,,,,,"-8,818","6,154",,"-2,417",,369,"4,764",361,,,,,,,,,,,,,,,,,,,,,,,
PNM,04Oct2015,Arizona,N,"35,272","35,455","31,012","-4,443",,,,,,,,,,"-10,967","4,150",,"-2,389",,336,"3,523","1,069",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Oct2015,Arizona,N,"35,595","37,080","33,309","-3,771",,,,,,,,,,"-11,610","5,654",,"-2,059",,366,"2,218","1,829",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Oct2015,Arizona,N,"35,495","36,767","28,206","-8,561",,,,,,,,,,"-13,434","5,150",,"-2,337",,380,"1,980",-137,,,,,,,,,,,,,,,,,,,,,,,
PNM,07Oct2015,Arizona,N,"35,044","35,755","28,903","-6,852",,,,,,,,,,"-12,920","6,408",,"-2,315",,477,"1,198",453,,,,,,,,,,,,,,,,,,,,,,,
PNM,08Oct2015,Arizona,N,"34,989","35,996","32,346","-3,650",,,,,,,,,,"-10,740","6,240",,"-2,112",,399,"1,040","1,656",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Oct2015,Arizona,N,"34,979","37,045","36,230",-815,,,,,,,,,,"-9,701","5,446",,"-2,237",,379,"2,071","3,347",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Oct2015,Arizona,N,"33,688","34,842","37,937","3,095",,,,,,,,,,"-7,133","3,245",,"-2,226",,-43,"2,637","6,713",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Oct2015,Arizona,N,"34,302","35,224","40,176","4,952",,,,,,,,,,"-5,955","4,042",,"-2,589",,134,"3,435","5,970",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Oct2015,Arizona,N,"35,664","38,083","42,228","4,145",,,,,,,,,,"-7,639","3,671",,"-2,623",,-274,"3,202","7,918",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Oct2015,Arizona,N,"36,225","37,965","40,404","2,439",,,,,,,,,,"-8,977","6,181",,"-2,355",,-622,"1,012","7,314",,,,,,,,,,,,,,,,,,,,,,,
PNM,14Oct2015,Arizona,N,"36,497","37,912","42,385","4,473",,,,,,,,,,"-9,178","6,111",,"-2,539",,-678,"2,111","8,760",,,,,,,,,,,,,,,,,,,,,,,
PNM,15Oct2015,Arizona,N,"36,552","37,958","38,857",899,,,,,,,,,,"-10,429","3,515",,"-2,536",,-326,"3,405","7,386",,,,,,,,,,,,,,,,,,,,,,,
PNM,16Oct2015,Arizona,N,"35,066","36,552","35,487","-1,065",,,,,,,,,,"-10,630","5,719",,"-2,752",,-215,"2,250","4,675",,,,,,,,,,,,,,,,,,,,,,,
PNM,17Oct2015,Arizona,N,"33,583","35,237","33,417","-1,820",,,,,,,,,,"-11,022","5,508",,"-2,598",,355,"1,979","4,067",,,,,,,,,,,,,,,,,,,,,,,
PNM,18Oct2015,Arizona,N,"33,199","35,534","28,640","-6,894",,,,,,,,,,"-11,520","3,267",,"-3,123",,-1,"2,812","1,784",,,,,,,,,,,,,,,,,,,,,,,
PNM,19Oct2015,Arizona,N,"34,936","37,004","35,101","-1,903",,,,,,,,,,"-11,495","4,999",,"-2,259",,329,900,"5,737",,,,,,,,,,,,,,,,,,,,,,,
PNM,20Oct2015,Arizona,N,"35,179","36,347","32,170","-4,177",,,,,,,,,,"-12,405","4,612",,"-2,467",,-106,"1,872","4,437",,,,,,,,,,,,,,,,,,,,,,,
PNM,21Oct2015,Arizona,N,"34,951","36,656","31,910","-4,746",,,,,,,,,,"-12,783","4,116",,"-2,264",,-12,569,"5,748",,,,,,,,,,,,,,,,,,,,,,,
PNM,22Oct2015,Arizona,N,"34,963","35,920","32,071","-3,849",,,,,,,,,,"-12,239","4,399",,"-2,134",,-463,681,"6,029",,,,,,,,,,,,,,,,,,,,,,,
PNM,23Oct2015,Arizona,N,"35,057","35,884","32,884","-3,000",,,,,,,,,,"-10,245","5,004",,"-2,370",,-335,"1,151","3,909",,,,,,,,,,,,,,,,,,,,,,,
PNM,24Oct2015,Arizona,N,"33,872","34,539","32,307","-2,232",,,,,,,,,,"-8,711","5,889",,"-2,194",,-62,255,"2,699",,,,,,,,,,,,,,,,,,,,,,,
PNM,25Oct2015,Arizona,N,"33,406","34,375","35,043",668,,,,,,,,,,"-8,104","5,411",,"-2,420",,0,"2,565","3,332",,,,,,,,,,,,,,,,,,,,,,,
PNM,26Oct2015,Arizona,N,"34,841","36,053","40,810","4,757",,,,,,,,,,"-7,042","7,763",,"-2,720",,0,"3,676","3,196",,,,,,,,,,,,,,,,,,,,,,,
PNM,27Oct2015,Arizona,N,"34,896","36,132","42,211","6,079",,,,,,,,,,"-5,796","6,173",,"-2,642",,0,"4,268","4,190",,,,,,,,,,,,,,,,,,,,,,,
PNM,28Oct2015,Arizona,N,"34,870","36,238","41,025","4,787",,,,,,,,,,"-6,554","7,585",,"-2,637",,0,"1,839","4,675",,,,,,,,,,,,,,,,,,,,,,,
PNM,29Oct2015,Arizona,N,"34,864","37,137","39,628","2,491",,,,,,,,,,"-7,650","7,677",,"-2,649",,0,"1,040","4,201",,,,,,,,,,,,,,,,,,,,,,,
PNM,30Oct2015,Arizona,N,"34,945","37,271","38,746","1,475",,,,,,,,,,"-8,063","8,286",,"-3,023",,0,"1,393","3,019",,,,,,,,,,,,,,,,,,,,,,,
PNM,31Oct2015,Arizona,N,"34,252","35,599","35,765",166,,,,,,,,,,"-9,120","7,404",,"-2,858",,0,"2,753","2,118",,,,,,,,,,,,,,,,,,,,,,,
PNM,01Nov2015,Arizona,N,"33,783","35,381","36,742","1,361",,,,,,,,,,"-8,613","7,618",,"-1,998",,0,880,"3,600",,,,,,,,,,,,,,,,,,,,,,,
PNM,02Nov2015,Arizona,N,"34,829","36,895","38,604","1,709",,,,,,,,,,"-9,996","8,562",,"-2,329",,-9,680,"4,924",,,,,,,,,,,,,,,,,,,,,,,
PNM,03Nov2015,Arizona,N,"35,476","36,301","38,851","2,550",,,,,,,,,,"-8,653","7,808",,"-2,375",,-392,-265,"6,553",,,,,,,,,,,,,,,,,,,,,,,
PNM,04Nov2015,Arizona,N,"35,996","37,162","40,574","3,412",,,,,,,,,,"-8,569","7,740",,"-2,322",,362,-640,"6,988",,,,,,,,,,,,,,,,,,,,,,,
PNM,05Nov2015,Arizona,N,"37,045","38,411","39,251",840,,,,,,,,,,"-9,781","7,832",,"-2,439",,389,"-1,111","6,102",,,,,,,,,,,,,,,,,,,,,,,
PNM,06Nov2015,Arizona,N,"36,952","38,373","39,546","1,173",,,,,,,,,,"-10,178","6,709",,"-2,573",,408,"1,523","5,435",,,,,,,,,,,,,,,,,,,,,,,
PNM,07Nov2015,Arizona,N,"36,646","37,621","34,389","-3,232",,,,,,,,,,"-9,204","4,541",,"-3,099",,-214,"1,656","3,233",,,,,,,,,,,,,,,,,,,,,,,
PNM,08Nov2015,Arizona,N,"36,353","37,081","36,109",-972,,,,,,,,,,"-7,917","4,612",,"-3,244",,-351,"2,679","3,392",,,,,,,,,,,,,,,,,,,,,,,
PNM,09Nov2015,Arizona,N,"37,123","37,964","36,950","-1,014",,,,,,,,,,"-8,372","6,673",,"-2,749",,-326,"1,225","2,674",,,,,,,,,,,,,,,,,,,,,,,
PNM,10Nov2015,Arizona,N,"36,704","37,320","38,859","1,539",,,,,,,,,,"-7,588","7,432",,"-2,225",,-325,-28,"4,425",,,,,,,,,,,,,,,,,,,,,,,
PNM,11Nov2015,Arizona,N,"39,304","38,762","43,839","5,077",,,,,,,,,,"-7,439","7,484",,"-2,534",,"1,492","1,094","5,138",,,,,,,,,,,,,,,,,,,,,,,
PNM,12Nov2015,Arizona,N,"39,750","39,663","40,535",872,,,,,,,,,,"-9,411","5,393",,"-2,636",,679,"1,239","5,773",,,,,,,,,,,,,,,,,,,,,,,
PNM,13Nov2015,Arizona,N,"39,530","39,314","32,356","-6,958",,,,,,,,,,"-11,377","2,404",,"-3,131",,357,"1,372","3,578",,,,,,,,,,,,,,,,,,,,,,,
PNM,14Nov2015,Arizona,N,"38,613","37,655","28,161","-9,494",,,,,,,,,,"-12,322","2,079",,"-3,119",,672,"1,179","2,170",,,,,,,,,,,,,,,,,,,,,,,
PNM,15Nov2015,Arizona,N,"37,832","38,373","29,871","-8,502",,,,,,,,,,"-11,327","2,490",,"-3,311",,-326,"1,749","2,378",,,,,,,,,,,,,,,,,,,,,,,
PNM,16Nov2015,Arizona,N,"39,793","41,010","34,034","-6,976",,,,,,,,,,"-10,924","3,027",,"-3,182",,-153,899,"3,527",,,,,,,,,,,,,,,,,,,,,,,
PNM,17Nov2015,Arizona,N,"41,100","40,817","37,937","-2,880",,,,,,,,,,"-10,040","3,542",,"-2,630",,-259,"1,622","5,060",,,,,,,,,,,,,,,,,,,,,,,
PNM,18Nov2015,Arizona,N,"41,444","39,465","38,599",-866,,,,,,,,,,"-9,741","3,043",,"-2,532",,-112,"2,925","5,715",,,,,,,,,,,,,,,,,,,,,,,
