BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BANC,CISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TIDC,27Nov2017,Pacific,N,"6,266","6,279","2,529","-3,748",,,,,,,,,,-580,"-3,168",,,,,,,,,,,,,,,
TIDC,28Nov2017,Pacific,N,"6,493","6,518","2,556","-3,965",,,,,,,,,,"-1,032","-2,933",,,,,,,,,,,,,,,
TIDC,29Nov2017,Pacific,N,"6,475","6,515","2,990","-3,525",,,,,,,,,,"-1,564","-1,961",,,,,,,,,,,,,,,
TIDC,30Nov2017,Pacific,N,"6,454","6,548","3,201","-3,348",,,,,,,,,,-350,"-2,998",,,,,,,,,,,,,,,
TIDC,01Dec2017,Pacific,N,"6,334","6,388","1,420","-5,002",,,,,,,,,,"-1,185","-3,817",,,,,,,,,,,,,,,
TIDC,02Dec2017,Pacific,N,"5,701","5,736","1,673","-4,080",,,,,,,,,,-923,"-3,157",,,,,,,,,,,,,,,
TIDC,03Dec2017,Pacific,N,"5,770","5,441","1,653","-3,809",,,,,,,,,,"-1,208","-2,601",,,,,,,,,,,,,,,
TIDC,04Dec2017,Pacific,N,"6,461","6,592","2,088","-4,519",,,,,,,,,,"-2,966","-1,553",,,,,,,,,,,,,,,
TIDC,05Dec2017,Pacific,N,"6,648","6,737","1,833","-4,912",,,,,,,,,,"-2,614","-2,298",,,,,,,,,,,,,,,
TIDC,06Dec2017,Pacific,N,"6,732","6,801","1,864","-4,944",,,,,,,,,,"-2,956","-1,988",,,,,,,,,,,,,,,
TIDC,07Dec2017,Pacific,N,"6,730","6,802","2,034","-4,772",,,,,,,,,,"-3,319","-1,453",,,,,,,,,,,,,,,
TIDC,08Dec2017,Pacific,N,"6,720","6,668","2,189","-4,481",,,,,,,,,,"-2,267","-2,214",,,,,,,,,,,,,,,
TIDC,09Dec2017,Pacific,N,"5,896","5,986","2,858","-3,132",,,,,,,,,,"-2,909",-223,,,,,,,,,,,,,,,
TIDC,10Dec2017,Pacific,N,"5,562","5,770","1,821","-3,957",,,,,,,,,,"-3,013",-944,,,,,,,,,,,,,,,
TIDC,11Dec2017,Pacific,N,"6,442","6,772","2,750","-4,026",,,,,,,,,,"-1,995","-2,031",,,,,,,,,,,,,,,
TIDC,12Dec2017,Pacific,N,"6,746","6,899","2,626","-4,278",,,,,,,,,,"-2,164","-2,114",,,,,,,,,,,,,,,
TIDC,13Dec2017,Pacific,N,"6,760","6,958","1,824","-5,150",,,,,,,,,,"-2,738","-2,412",,,,,,,,,,,,,,,
TIDC,14Dec2017,Pacific,N,"6,717","6,916","2,148","-4,779",,,,,,,,,,"-2,003","-2,776",,,,,,,,,,,,,,,
TIDC,15Dec2017,Pacific,N,"6,770","6,736","1,750","-4,994",,,,,,,,,,"-2,729","-2,265",,,,,,,,,,,,,,,
TIDC,16Dec2017,Pacific,N,"6,020","5,874","2,027","-3,862",,,,,,,,,,"-3,636",-226,,,,,,,,,,,,,,,
TIDC,17Dec2017,Pacific,N,"5,757","5,695","2,406","-3,291",,,,,,,,,,"-2,750",-541,,,,,,,,,,,,,,,
TIDC,18Dec2017,Pacific,N,"6,702","2,622","3,590","-3,193",,,,,,,,,,"-2,113","-1,080",,,,,,,,,,,,,,,
TIDC,19Dec2017,Pacific,N,"6,829","4,166","5,850","-1,079",,,,,,,,,,153,"-1,232",,,,,,,,,,,,,,,
TIDC,20Dec2017,Pacific,N,"6,827","6,795","4,928","-1,864",,,,,,,,,,-9,"-1,855",,,,,,,,,,,,,,,
TIDC,21Dec2017,Pacific,N,"6,841","6,927","5,185","-1,745",,,,,,,,,,-570,"-1,175",,,,,,,,,,,,,,,
TIDC,22Dec2017,Pacific,N,"6,890","6,912","4,866","-2,046",,,,,,,,,,"-1,236",-810,,,,,,,,,,,,,,,
TIDC,23Dec2017,Pacific,N,"6,144","6,196","2,694","-3,502",,,,,,,,,,"-3,831",329,,,,,,,,,,,,,,,
TIDC,24Dec2017,Pacific,N,"5,924","5,750","2,364","-3,392",,,,,,,,,,"-2,997",-395,,,,,,,,,,,,,,,
TIDC,25Dec2017,Pacific,N,"5,576","5,350","2,426","-2,926",,,,,,,,,,"-2,317",-609,,,,,,,,,,,,,,,
TIDC,26Dec2017,Pacific,N,"6,832","6,286","2,446","-3,841",,,,,,,,,,"-2,158","-1,683",,,,,,,,,,,,,,,
TIDC,27Dec2017,Pacific,N,"6,581","6,690","2,439","-4,251",,,,,,,,,,"-2,326","-1,923",,,,,,,,,,,,,,,
TIDC,28Dec2017,Pacific,N,"6,645","6,689","2,374","-4,314",,,,,,,,,,"-2,030","-2,284",,,,,,,,,,,,,,,
TIDC,29Dec2017,Pacific,N,"6,643","6,576","2,401","-4,178",,,,,,,,,,"-1,431","-2,747",,,,,,,,,,,,,,,
TIDC,30Dec2017,Pacific,N,"6,024","6,153","2,472","-3,693",,,,,,,,,,"-2,135","-1,558",,,,,,,,,,,,,,,
TIDC,31Dec2017,Pacific,N,"5,709","5,526","2,376","-3,161",,,,,,,,,,"-1,001","-2,160",,,,,,,,,,,,,,,
TIDC,01Jan2018,Pacific,N,"5,501","5,337","2,331","-3,015",,,,,,,,,,"-2,281",-734,,,,,,,,,,,,,,,
TIDC,02Jan2018,Pacific,N,"6,600","6,375","2,365","-4,008",,,,,,,,,,"-3,277",-731,,,,,,,,,,,,,,,
TIDC,03Jan2018,Pacific,N,"6,444","6,659","2,448","-4,218",,,,,,,,,,"-4,997",779,,,,,,,,,,,,,,,
TIDC,04Jan2018,Pacific,N,"6,556","6,438","2,339","-4,106",,,,,,,,,,"-4,745",639,,,,,,,,,,,,,,,
TIDC,05Jan2018,Pacific,N,"6,443","6,320","2,409","-3,918",,,,,,,,,,"-3,692",-226,,,,,,,,,,,,,,,
TIDC,06Jan2018,Pacific,N,"5,835","5,731","2,401","-3,344",,,,,,,,,,"-4,815","1,471",,,,,,,,,,,,,,,
TIDC,07Jan2018,Pacific,N,"5,739","5,499","2,330","-3,179",,,,,,,,,,"-2,063","-1,116",,,,,,,,,,,,,,,
TIDC,08Jan2018,Pacific,N,"6,755","6,586","2,357","-4,240",,,,,,,,,,"-3,923",-317,,,,,,,,,,,,,,,
TIDC,09Jan2018,Pacific,N,"6,661","6,628","4,247","-2,388",,,,,,,,,,"-2,661",273,,,,,,,,,,,,,,,
TIDC,10Jan2018,Pacific,N,"6,586","6,631","5,495","-1,142",,,,,,,,,,678,"-1,820",,,,,,,,,,,,,,,
TIDC,11Jan2018,Pacific,N,"6,538","6,443","2,411","-4,038",,,,,,,,,,-409,"-3,629",,,,,,,,,,,,,,,
TIDC,12Jan2018,Pacific,N,"6,450","6,488","2,491","-4,008",,,,,,,,,,"-1,311","-2,697",,,,,,,,,,,,,,,
TIDC,13Jan2018,Pacific,N,"5,745","5,880","2,433","-3,458",,,,,,,,,,"-4,150",692,,,,,,,,,,,,,,,
TIDC,14Jan2018,Pacific,N,"5,495","5,445","2,359","-3,096",,,,,,,,,,"-2,801",-295,,,,,,,,,,,,,,,
TIDC,15Jan2018,Pacific,N,"6,362","6,389","2,479","-3,918",,,,,,,,,,"-2,657","-1,261",,,,,,,,,,,,,,,
TIDC,16Jan2018,Pacific,N,"6,472","6,620","2,440","-4,184",,,,,,,,,,"-4,869",685,,,,,,,,,,,,,,,
TIDC,17Jan2018,Pacific,N,"6,637","6,594","2,456","-4,146",,,,,,,,,,"-7,133","2,987",,,,,,,,,,,,,,,
TIDC,18Jan2018,Pacific,N,"6,576","6,621","2,452","-4,179",,,,,,,,,,"-7,435","3,256",,,,,,,,,,,,,,,
TIDC,19Jan2018,Pacific,N,"6,497","6,384","2,457","-3,936",,,,,,,,,,"-4,761",825,,,,,,,,,,,,,,,
TIDC,20Jan2018,Pacific,N,"5,822","5,949","2,498","-3,461",,,,,,,,,,-392,"-3,069",,,,,,,,,,,,,,,
TIDC,21Jan2018,Pacific,N,"5,651","5,712","2,393","-3,326",,,,,,,,,,-804,"-2,522",,,,,,,,,,,,,,,
TIDC,22Jan2018,Pacific,N,"6,606","6,509","2,563","-3,955",,,,,,,,,,"-2,429","-1,526",,,,,,,,,,,,,,,
TIDC,23Jan2018,Pacific,N,"6,698","6,516","2,693","-3,834",,,,,,,,,,"-2,361","-1,473",,,,,,,,,,,,,,,
TIDC,24Jan2018,Pacific,N,"6,542","6,732","2,680","-4,059",,,,,,,,,,"-3,424",-635,,,,,,,,,,,,,,,
TIDC,25Jan2018,Pacific,N,"6,567","6,506","2,579","-3,935",,,,,,,,,,"-2,340","-1,595",,,,,,,,,,,,,,,
TIDC,26Jan2018,Pacific,N,"6,502","6,517","2,587","-3,940",,,,,,,,,,"-1,937","-2,003",,,,,,,,,,,,,,,
TIDC,27Jan2018,Pacific,N,"5,904","5,803","2,474","-3,343",,,,,,,,,,-429,"-2,914",,,,,,,,,,,,,,,
TIDC,28Jan2018,Pacific,N,"5,616","5,473","2,439","-3,040",,,,,,,,,,357,"-3,397",,,,,,,,,,,,,,,
TIDC,29Jan2018,Pacific,N,"6,415","6,489","2,602","-3,900",,,,,,,,,,"-1,581","-2,319",,,,,,,,,,,,,,,
TIDC,30Jan2018,Pacific,N,"6,507","6,413","2,782","-3,637",,,,,,,,,,"-2,686",-951,,,,,,,,,,,,,,,
TIDC,31Jan2018,Pacific,N,"6,505","6,454","2,380","-4,081",,,,,,,,,,-882,"-3,199",,,,,,,,,,,,,,,
TIDC,01Feb2018,Pacific,N,"6,420","6,478","2,674","-3,814",,,,,,,,,,"-1,489","-2,325",,,,,,,,,,,,,,,
TIDC,02Feb2018,Pacific,N,"6,318","6,186","2,375","-3,821",,,,,,,,,,"-2,091","-1,730",,,,,,,,,,,,,,,
TIDC,03Feb2018,Pacific,N,"5,631","5,518","2,473","-3,056",,,,,,,,,,-198,"-2,858",,,,,,,,,,,,,,,
TIDC,04Feb2018,Pacific,N,"5,368","5,322","2,435","-2,898",,,,,,,,,,"1,497","-4,395",,,,,,,,,,,,,,,
TIDC,05Feb2018,Pacific,N,"6,222","6,304","2,568","-3,749",,,,,,,,,,"1,538","-5,287",,,,,,,,,,,,,,,
TIDC,06Feb2018,Pacific,N,"6,379","6,388","2,487","-3,916",,,,,,,,,,51,"-3,967",,,,,,,,,,,,,,,
TIDC,07Feb2018,Pacific,N,"6,447","6,527","2,512","-4,025",,,,,,,,,,428,"-4,453",,,,,,,,,,,,,,,
TIDC,08Feb2018,Pacific,N,"6,379","6,562","2,551","-4,020",,,,,,,,,,731,"-4,751",,,,,,,,,,,,,,,
TIDC,09Feb2018,Pacific,N,"6,350","6,400","2,428","-3,987",,,,,,,,,,715,"-4,702",,,,,,,,,,,,,,,
TIDC,10Feb2018,Pacific,N,"5,534","5,709","2,506","-3,213",,,,,,,,,,-114,"-3,099",,,,,,,,,,,,,,,
TIDC,11Feb2018,Pacific,N,"5,341","5,439","2,403","-3,047",,,,,,,,,,22,"-3,069",,,,,,,,,,,,,,,
TIDC,12Feb2018,Pacific,N,"6,263","6,513","2,566","-3,938",,,,,,,,,,"-1,083","-2,855",,,,,,,,,,,,,,,
TIDC,13Feb2018,Pacific,N,"6,515","6,687","2,479","-4,182",,,,,,,,,,"-1,138","-3,082",,,,,,,,,,,,,,,
TIDC,14Feb2018,Pacific,N,"6,598","6,653","2,458","-4,166",,,,,,,,,,"-2,167","-2,039",,,,,,,,,,,,,,,
TIDC,15Feb2018,Pacific,N,"6,549","6,674","3,089","-3,555",,,,,,,,,,-78,"-3,477",,,,,,,,,,,,,,,
TIDC,16Feb2018,Pacific,N,"6,367","6,590","3,299","-3,257",,,,,,,,,,-225,"-3,032",,,,,,,,,,,,,,,
TIDC,17Feb2018,Pacific,N,"5,735","5,811","1,856","-3,946",,,,,,,,,,"-1,605","-2,341",,,,,,,,,,,,,,,
TIDC,18Feb2018,Pacific,N,"5,430","5,566","1,761","-3,790",,,,,,,,,,-942,"-2,848",,,,,,,,,,,,,,,
TIDC,19Feb2018,Pacific,N,"6,075","6,722","2,329","-4,377",,,,,,,,,,-40,"-4,337",,,,,,,,,,,,,,,
TIDC,20Feb2018,Pacific,N,"6,601","7,644","3,506","-4,114",,,,,,,,,,-245,"-3,869",,,,,,,,,,,,,,,
TIDC,21Feb2018,Pacific,N,"7,197","7,223","5,051","-2,162",,,,,,,,,,-10,"-2,152",,,,,,,,,,,,,,,
TIDC,22Feb2018,Pacific,N,"7,624","7,289","5,527","-1,754",,,,,,,,,,-2,"-1,768",,,,,,,,,,,,,,,
TIDC,23Feb2018,Pacific,N,"7,121","7,388","5,613","-1,755",,,,,,,,,,"2,051","-3,806",,,,,,,,,,,,,,,
TIDC,24Feb2018,Pacific,N,"6,372","6,624","4,677","-1,925",,,,,,,,,,"1,242","-3,167",,,,,,,,,,,,,,,
TIDC,25Feb2018,Pacific,N,"6,082","5,683","3,636","-2,021",,,,,,,,,,643,"-2,700",,,,,,,,,,,,,,,
TIDC,26Feb2018,Pacific,N,"7,093","6,705","3,554","-3,098",,,,,,,,,,-677,"-2,478",,,,,,,,,,,,,,,
TIDC,27Feb2018,Pacific,N,"6,810","6,759","3,633","-3,097",,,,,,,,,,-813,"-2,320",,,,,,,,,,,,,,,
TIDC,28Feb2018,Pacific,N,"6,833","6,799","3,599","-3,172",,,,,,,,,,263,"-3,476",,,,,,,,,,,,,,,
TIDC,01Mar2018,Pacific,N,"6,920","6,852","3,657","-3,157",,,,,,,,,,"-1,893","-1,264",,,,,,,,,,,,,,,
TIDC,02Mar2018,Pacific,N,"6,501","6,457","4,020","-2,407",,,,,,,,,,157,"-2,564",,,,,,,,,,,,,,,
TIDC,03Mar2018,Pacific,N,"5,655","5,712","5,794",88,,,,,,,,,,"2,825","-2,737",,,,,,,,,,,,,,,
TIDC,04Mar2018,Pacific,N,"5,635","5,445","5,841",390,,,,,,,,,,"3,081","-2,695",,,,,,,,,,,,,,,
TIDC,05Mar2018,Pacific,N,"6,632","6,418","4,624","-1,773",,,,,,,,,,575,"-2,374",,,,,,,,,,,,,,,
TIDC,06Mar2018,Pacific,N,"6,563","6,490","3,566","-2,909",,,,,,,,,,561,"-3,489",,,,,,,,,,,,,,,
TIDC,07Mar2018,Pacific,N,"6,708","6,432","3,564","-2,872",,,,,,,,,,"-1,419","-1,453",,,,,,,,,,,,,,,
TIDC,08Mar2018,Pacific,N,"6,450","6,393","3,258","-3,139",,,,,,,,,,777,"-3,916",,,,,,,,,,,,,,,
TIDC,09Mar2018,Pacific,N,"6,334","5,980","3,207","-2,774",,,,,,,,,,249,"-3,023",,,,,,,,,,,,,,,
TIDC,10Mar2018,Pacific,N,"5,481","5,545","3,314","-2,232",,,,,,,,,,"-1,568",-664,,,,,,,,,,,,,,,
TIDC,11Mar2018,Pacific,N,"5,107","4,757","3,168","-1,790",,,,,,,,,,-203,"-1,587",,,,,,,,,,,,,,,
TIDC,12Mar2018,Pacific,N,"6,345","6,274","3,287","-2,982",,,,,,,,,,"-1,416","-1,566",,,,,,,,,,,,,,,
TIDC,13Mar2018,Pacific,N,"6,526","4,498","3,378","-3,101",,,,,,,,,,"-2,830",-271,,,,,,,,,,,,,,,
TIDC,14Mar2018,Pacific,N,"6,437","6,426","2,699","-3,722",,,,,,,,,,"-2,711","-1,011",,,,,,,,,,,,,,,
TIDC,15Mar2018,Pacific,N,"6,430","6,372","2,794","-3,575",,,,,,,,,,-273,"-3,302",,,,,,,,,,,,,,,
TIDC,16Mar2018,Pacific,N,"6,421","6,372","3,502","-2,870",,,,,,,,,,"-2,430",-440,,,,,,,,,,,,,,,
TIDC,17Mar2018,Pacific,N,"5,642","5,515","3,627","-1,887",,,,,,,,,,-51,"-1,836",,,,,,,,,,,,,,,
TIDC,18Mar2018,Pacific,N,"5,358","5,404","3,589","-1,816",,,,,,,,,,551,"-2,367",,,,,,,,,,,,,,,
TIDC,19Mar2018,Pacific,N,"6,178","6,227","3,594","-2,637",,,,,,,,,,895,"-3,532",,,,,,,,,,,,,,,
TIDC,20Mar2018,Pacific,N,"6,487","6,614","3,677","-2,937",,,,,,,,,,"-2,157",-780,,,,,,,,,,,,,,,
TIDC,21Mar2018,Pacific,N,"6,557","6,621","3,561","-3,058",,,,,,,,,,"-2,363",-695,,,,,,,,,,,,,,,
TIDC,22Mar2018,Pacific,N,"6,685","6,428","3,564","-2,866",,,,,,,,,,"-3,625",759,,,,,,,,,,,,,,,
TIDC,23Mar2018,Pacific,N,"6,314","6,054","3,479","-2,575",,,,,,,,,,-185,"-2,390",,,,,,,,,,,,,,,
TIDC,24Mar2018,Pacific,N,"5,607","5,493","3,489","-2,013",,,,,,,,,,910,"-2,923",,,,,,,,,,,,,,,
TIDC,25Mar2018,Pacific,N,"5,379","5,317","3,547","-1,769",,,,,,,,,,"1,547","-3,316",,,,,,,,,,,,,,,
TIDC,26Mar2018,Pacific,N,"6,282","6,177","3,496","-2,682",,,,,,,,,,-30,"-2,652",,,,,,,,,,,,,,,
TIDC,27Mar2018,Pacific,N,"6,241","6,184","3,537","-2,646",,,,,,,,,,"-1,420","-1,226",,,,,,,,,,,,,,,
TIDC,28Mar2018,Pacific,N,"6,280","6,236","3,524","-2,715",,,,,,,,,,"-2,164",-551,,,,,,,,,,,,,,,
TIDC,29Mar2018,Pacific,N,"6,409","6,366","3,593","-2,770",,,,,,,,,,"-1,846",-924,,,,,,,,,,,,,,,
TIDC,30Mar2018,Pacific,N,"6,535","6,219","3,403","-2,809",,,,,,,,,,-961,"-1,848",,,,,,,,,,,,,,,
TIDC,31Mar2018,Pacific,N,"5,822","5,521","3,484","-2,035",,,,,,,,,,-579,"-1,456",,,,,,,,,,,,,,,
TIDC,01Apr2018,Pacific,N,"5,379","4,996","3,421","-1,572",,,,,,,,,,586,"-2,158",,,,,,,,,,,,,,,
TIDC,02Apr2018,Pacific,N,"6,324","6,080","3,535","-2,535",,,,,,,,,,998,"-3,533",,,,,,,,,,,,,,,
TIDC,03Apr2018,Pacific,N,"6,356","6,528","3,610","-2,916",,,,,,,,,,635,"-3,551",,,,,,,,,,,,,,,
TIDC,04Apr2018,Pacific,N,"6,503","6,581","3,611","-2,960",,,,,,,,,,-916,"-2,044",,,,,,,,,,,,,,,
TIDC,05Apr2018,Pacific,N,"6,491","6,431","3,617","-2,803",,,,,,,,,,-36,"-2,767",,,,,,,,,,,,,,,
TIDC,06Apr2018,Pacific,N,"6,262","6,358","3,636","-2,712",,,,,,,,,,-427,"-2,285",,,,,,,,,,,,,,,
TIDC,07Apr2018,Pacific,N,"5,419","5,598","3,524","-2,062",,,,,,,,,,"-1,673",-389,,,,,,,,,,,,,,,
TIDC,08Apr2018,Pacific,N,"5,155","5,125","3,606","-1,509",,,,,,,,,,"-1,046",-463,,,,,,,,,,,,,,,
TIDC,09Apr2018,Pacific,N,"6,213","4,245","3,664","-2,523",,,,,,,,,,"-1,668",-855,,,,,,,,,,,,,,,
TIDC,10Apr2018,Pacific,N,"6,552","6,423","4,055","-2,358",,,,,,,,,,"-2,572",214,,,,,,,,,,,,,,,
TIDC,11Apr2018,Pacific,N,"6,326","6,238","3,792","-2,434",,,,,,,,,,-955,"-1,479",,,,,,,,,,,,,,,
TIDC,12Apr2018,Pacific,N,"6,201","6,226","3,547","-2,669",,,,,,,,,,-174,"-2,495",,,,,,,,,,,,,,,
TIDC,13Apr2018,Pacific,N,"6,141","6,237","3,592","-2,636",,,,,,,,,,"-1,026","-1,610",,,,,,,,,,,,,,,
TIDC,14Apr2018,Pacific,N,"5,517","5,634","4,039","-1,589",,,,,,,,,,15,"-1,604",,,,,,,,,,,,,,,
TIDC,15Apr2018,Pacific,N,"5,166","5,356","4,300","-1,050",,,,,,,,,,"1,638","-2,688",,,,,,,,,,,,,,,
TIDC,16Apr2018,Pacific,N,"6,070","6,234","3,589","-2,642",,,,,,,,,,512,"-3,154",,,,,,,,,,,,,,,
TIDC,17Apr2018,Pacific,N,"6,237","6,341","3,585","-2,747",,,,,,,,,,"1,286","-4,033",,,,,,,,,,,,,,,
TIDC,18Apr2018,Pacific,N,"6,186","6,485","3,628","-2,849",,,,,,,,,,"1,673","-4,522",,,,,,,,,,,,,,,
TIDC,19Apr2018,Pacific,N,"6,307","6,275","3,523","-2,739",,,,,,,,,,"1,565","-4,304",,,,,,,,,,,,,,,
TIDC,20Apr2018,Pacific,N,"6,262","6,429","3,656","-2,766",,,,,,,,,,"2,487","-5,253",,,,,,,,,,,,,,,
TIDC,21Apr2018,Pacific,N,"5,678","5,992","3,613","-2,376",,,,,,,,,,"1,977","-4,353",,,,,,,,,,,,,,,
TIDC,22Apr2018,Pacific,N,"5,743","5,981","3,601","-2,365",,,,,,,,,,"2,865","-5,230",,,,,,,,,,,,,,,
TIDC,23Apr2018,Pacific,N,"7,085","7,452","3,767","-3,680",,,,,,,,,,"3,230","-6,910",,,,,,,,,,,,,,,
TIDC,24Apr2018,Pacific,N,"7,670","7,532","3,376","-4,148",,,,,,,,,,"1,011","-5,159",,,,,,,,,,,,,,,
TIDC,25Apr2018,Pacific,N,"7,778","7,453","2,803","-4,636",,,,,,,,,,-358,"-4,278",,,,,,,,,,,,,,,
TIDC,26Apr2018,Pacific,N,"7,106","7,193","3,169","-4,015",,,,,,,,,,-107,"-3,908",,,,,,,,,,,,,,,
TIDC,27Apr2018,Pacific,N,"6,537","6,704","3,512","-3,179",,,,,,,,,,"1,197","-4,376",,,,,,,,,,,,,,,
TIDC,28Apr2018,Pacific,N,"5,680","5,779","3,531","-2,236",,,,,,,,,,"1,765","-4,001",,,,,,,,,,,,,,,
TIDC,29Apr2018,Pacific,N,"5,393","5,448","3,601","-1,839",,,,,,,,,,,,,,,,,,,,,,,,,,
TIDC,30Apr2018,Pacific,N,"6,269","6,269","3,601",,,,,,,,,,,,,,,,,,,,,,,,,,,
TIDC,01May2018,Pacific,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIDC,02May2018,Pacific,N,,,,,,,,,,,,,,"1,135","-4,606",,,,,,,,,,,,,,,
TIDC,03May2018,Pacific,N,,"7,063","3,559","-3,491",,,,,,,,,,779,"-4,270",,,,,,,,,,,,,,,
TIDC,04May2018,Pacific,N,"7,320","7,289","3,571","-3,701",,,,,,,,,,788,"-4,489",,,,,,,,,,,,,,,
TIDC,05May2018,Pacific,N,"6,536","6,528","3,569","-2,954",,,,,,,,,,-40,"-2,914",,,,,,,,,,,,,,,
TIDC,06May2018,Pacific,N,"5,927","5,799","3,513","-2,278",,,,,,,,,,-398,"-1,880",,,,,,,,,,,,,,,
TIDC,07May2018,Pacific,N,"7,345","7,236","3,608","-3,622",,,,,,,,,,"2,026","-5,648",,,,,,,,,,,,,,,
TIDC,08May2018,Pacific,N,"7,597","7,928","3,904","-4,011",,,,,,,,,,469,"-4,480",,,,,,,,,,,,,,,
TIDC,09May2018,Pacific,N,"7,473","7,646","3,609","-4,033",,,,,,,,,,13,"-4,046",,,,,,,,,,,,,,,
TIDC,10May2018,Pacific,N,"7,630","7,558","3,555","-3,991",,,,,,,,,,-545,"-3,446",,,,,,,,,,,,,,,
TIDC,11May2018,Pacific,N,"7,421","6,954","3,540","-3,714",,,,,,,,,,"1,154","-4,868",,,,,,,,,,,,,,,
TIDC,12May2018,Pacific,N,"6,548","6,634","3,639","-2,986",,,,,,,,,,"1,233","-4,219",,,,,,,,,,,,,,,
TIDC,13May2018,Pacific,N,"5,834","5,894","3,561","-2,321",,,,,,,,,,"1,411","-3,732",,,,,,,,,,,,,,,
TIDC,14May2018,Pacific,N,"7,195","7,214","3,608","-3,594",,,,,,,,,,720,"-4,314",,,,,,,,,,,,,,,
TIDC,15May2018,Pacific,N,"7,090","7,373","3,673","-3,689",,,,,,,,,,-410,"-3,279",,,,,,,,,,,,,,,
TIDC,16May2018,Pacific,N,"7,066","7,184","3,668","-3,504",,,,,,,,,,678,"-4,182",,,,,,,,,,,,,,,
TIDC,17May2018,Pacific,N,"7,310","7,299","3,594","-3,693",,,,,,,,,,488,"-4,181",,,,,,,,,,,,,,,
TIDC,18May2018,Pacific,N,"7,014","7,496","3,762","-3,722",,,,,,,,,,735,"-4,457",,,,,,,,,,,,,,,
TIDC,19May2018,Pacific,N,"6,321","6,606","3,590","-3,003",,,,,,,,,,628,"-3,631",,,,,,,,,,,,,,,
TIDC,20May2018,Pacific,N,"5,877","5,860","3,554","-2,295",,,,,,,,,,876,"-3,171",,,,,,,,,,,,,,,
TIDC,21May2018,Pacific,N,"7,180","7,311","3,712","-3,591",,,,,,,,,,"1,602","-5,193",,,,,,,,,,,,,,,
TIDC,22May2018,Pacific,N,"7,533","7,797","3,765","-4,022",,,,,,,,,,"1,293","-5,315",,,,,,,,,,,,,,,
TIDC,23May2018,Pacific,N,"7,595","7,573","3,973","-3,591",,,,,,,,,,"1,074","-4,665",,,,,,,,,,,,,,,
TIDC,24May2018,Pacific,N,"7,576","7,302","3,806","-3,484",,,,,,,,,,-471,"-3,013",,,,,,,,,,,,,,,
TIDC,25May2018,Pacific,N,"7,118","6,817","2,904","-3,907",,,,,,,,,,-413,"-3,494",,,,,,,,,,,,,,,
TIDC,26May2018,Pacific,N,"6,102","6,114","2,633","-3,472",,,,,,,,,,528,"-4,000",,,,,,,,,,,,,,,
TIDC,27May2018,Pacific,N,"6,153","6,097","2,597","-3,485",,,,,,,,,,848,"-4,333",,,,,,,,,,,,,,,
TIDC,28May2018,Pacific,N,"7,563","7,606","2,677","-4,927",,,,,,,,,,"1,074","-6,001",,,,,,,,,,,,,,,
TIDC,29May2018,Pacific,N,"9,261","9,812","3,560","-6,247",,,,,,,,,,-486,"-5,761",,,,,,,,,,,,,,,
TIDC,30May2018,Pacific,N,"8,649","8,362","2,768","-5,582",,,,,,,,,,"-2,413","-3,169",,,,,,,,,,,,,,,
TIDC,31May2018,Pacific,N,"7,470","7,344","2,895","-4,435",,,,,,,,,,"-1,062","-3,373",,,,,,,,,,,,,,,
TIDC,01Jun2018,Pacific,N,"7,366","7,546","3,316","-4,220",,,,,,,,,,328,"-4,548",,,,,,,,,,,,,,,
TIDC,02Jun2018,Pacific,N,"8,056","8,069","2,587","-5,474",,,,,,,,,,344,"-5,818",,,,,,,,,,,,,,,
TIDC,03Jun2018,Pacific,N,"8,519","8,536","3,351","-5,176",,,,,,,,,,279,"-5,455",,,,,,,,,,,,,,,
TIDC,04Jun2018,Pacific,N,"8,995","9,059","3,410","-5,637",,,,,,,,,,"-2,252","-3,385",,,,,,,,,,,,,,,
TIDC,05Jun2018,Pacific,N,"8,516","8,232","3,533","-4,692",,,,,,,,,,-481,"-4,211",,,,,,,,,,,,,,,
TIDC,06Jun2018,Pacific,N,"7,847","7,977","2,989","-4,975",,,,,,,,,,"-1,690","-3,285",,,,,,,,,,,,,,,
TIDC,07Jun2018,Pacific,N,"7,728","7,926","3,468","-4,449",,,,,,,,,,-621,"-3,828",,,,,,,,,,,,,,,
TIDC,08Jun2018,Pacific,N,"7,873","8,115","3,704","-4,329",,,,,,,,,,579,"-4,908",,,,,,,,,,,,,,,
TIDC,09Jun2018,Pacific,N,"6,786","6,881","4,326","-2,543",,,,,,,,,,523,"-3,066",,,,,,,,,,,,,,,
TIDC,10Jun2018,Pacific,N,"6,237","6,039","4,274","-1,757",,,,,,,,,,"2,291","-4,048",,,,,,,,,,,,,,,
