BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BANC,CISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
TIDC,11Aug2015,Pacific,N,"8,971","9,030","6,688","-2,349",,,,,,,,,,"1,516","-3,865",,,,,,,,,,,,,,,
TIDC,12Aug2015,Pacific,N,"9,037","9,042","6,571","-2,483",,,,,,,,,,"1,050","-3,533",,,,,,,,,,,,,,,
TIDC,13Aug2015,Pacific,N,"9,042","9,117","6,660","-2,465",,,,,,,,,,223,"-2,688",,,,,,,,,,,,,,,
TIDC,14Aug2015,Pacific,N,"9,183","8,908","6,058","-2,889",,,,,,,,,,-697,"-2,192",,,,,,,,,,,,,,,
TIDC,15Aug2015,Pacific,N,"8,893","8,752","6,262","-2,488",,,,,,,,,,-60,"-2,428",,,,,,,,,,,,,,,
TIDC,16Aug2015,Pacific,N,"9,210","8,765","6,660","-2,427",,,,,,,,,,512,"-2,939",,,,,,,,,,,,,,,
TIDC,17Aug2015,Pacific,N,"10,619","10,900","7,660","-3,113",,,,,,,,,,"1,991","-5,104",,,,,,,,,,,,,,,
TIDC,18Aug2015,Pacific,N,"10,537","10,223","7,643","-2,593",,,,,,,,,,"2,168","-4,761",,,,,,,,,,,,,,,
TIDC,19Aug2015,Pacific,N,"9,918","9,542","6,618","-2,935",,,,,,,,,,"1,857","-4,792",,,,,,,,,,,,,,,
TIDC,20Aug2015,Pacific,N,"9,359","9,191","6,441","-2,755",,,,,,,,,,-436,"-2,319",,,,,,,,,,,,,,,
TIDC,21Aug2015,Pacific,N,"9,129","9,039","6,120","-2,929",,,,,,,,,,"1,637","-4,566",,,,,,,,,,,,,,,
TIDC,22Aug2015,Pacific,N,"8,357","8,358","5,750","-2,616",,,,,,,,,,"1,221","-3,837",,,,,,,,,,,,,,,
TIDC,23Aug2015,Pacific,N,"8,014","7,808","5,638","-2,185",,,,,,,,,,67,"-2,252",,,,,,,,,,,,,,,
TIDC,24Aug2015,Pacific,N,"9,135","9,061","6,399","-2,669",,,,,,,,,,-954,"-1,715",,,,,,,,,,,,,,,
TIDC,25Aug2015,Pacific,N,"9,459","9,744","6,814","-2,939",,,,,,,,,,-41,"-2,898",,,,,,,,,,,,,,,
TIDC,26Aug2015,Pacific,N,"9,711","9,927","7,658","-2,282",,,,,,,,,,889,"-3,171",,,,,,,,,,,,,,,
TIDC,27Aug2015,Pacific,N,"10,161","10,240","6,679","-3,571",,,,,,,,,,704,"-4,275",,,,,,,,,,,,,,,
TIDC,28Aug2015,Pacific,N,"10,112","10,530","7,043","-3,496",,,,,,,,,,-38,"-3,458",,,,,,,,,,,,,,,
TIDC,29Aug2015,Pacific,N,"8,517","8,762","5,864","-2,912",,,,,,,,,,-786,"-2,126",,,,,,,,,,,,,,,
