BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,31Jul2015,Eastern,N,"125,655","160,811","121,025","-39,786",,,,,,,,,,"-12,723","-11,586",-136,710,"-13,603","-7,313","-3,448","8,312",,,,,,,,,,,,,,,
FPC,01Aug2015,Eastern,N,"119,394","141,955","106,802","-35,153",,,,,,,,,,"-8,914","-12,978",-482,449,"-14,001","-7,027","-3,411","11,211",,,,,,,,,,,,,,,
FPC,02Aug2015,Eastern,N,"128,742","137,519","102,475","-35,044",,,,,,,,,,"-7,884","-12,451",-442,479,"-13,868","-6,163","-3,329","8,614",,,,,,,,,,,,,,,
FPC,03Aug2015,Eastern,N,"125,210","144,347","108,975","-35,372",,,,,,,,,,"-10,676","-13,341",-412,595,"-13,609","-6,972","-3,444","12,487",,,,,,,,,,,,,,,
FPC,04Aug2015,Eastern,N,"128,068","166,624","129,521","-37,103",,,,,,,,,,"-11,850","-14,103",-372,610,"-14,968","-7,099","-3,400","14,079",,,,,,,,,,,,,,,
FPC,05Aug2015,Eastern,N,"132,220","182,438","137,682","-44,756",,,,,,,,,,"-13,233","-9,805",-215,549,"-17,091","-8,698","-3,477","7,214",,,,,,,,,,,,,,,
FPC,06Aug2015,Eastern,N,"135,040","182,117","137,276","-44,841",,,,,,,,,,"-13,652","-11,371",-120,622,"-16,148","-7,954","-3,528","7,310",,,,,,,,,,,,,,,
FPC,07Aug2015,Eastern,N,"136,763","173,627","127,132","-46,495",,,,,,,,,,"-12,745","-15,034",-440,540,"-18,654","-7,902","-3,742","11,482",,,,,,,,,,,,,,,
FPC,08Aug2015,Eastern,N,"132,286","157,058","115,306","-41,752",,,,,,,,,,"-11,983","-11,329",-62,633,"-16,304","-7,168","-3,537","7,998",,,,,,,,,,,,,,,
FPC,09Aug2015,Eastern,N,"131,979","170,551","125,692","-44,859",,,,,,,,,,"-10,849","-13,441",-138,579,"-17,010","-7,077","-3,497","6,574",,,,,,,,,,,,,,,
FPC,10Aug2015,Eastern,N,"141,296","180,318","132,136","-48,182",,,,,,,,,,"-14,647","-10,180",-290,557,"-16,610","-8,061","-3,702","4,751",,,,,,,,,,,,,,,
FPC,11Aug2015,Eastern,N,"143,382","186,422","136,492","-49,930",,,,,,,,,,"-14,652","-10,376",-480,559,"-17,091","-8,597","-3,551","4,258",,,,,,,,,,,,,,,
FPC,12Aug2015,Eastern,N,"142,213","188,288","138,368","-49,920",,,,,,,,,,"-13,703","-12,978",-785,719,"-17,442","-8,240","-3,690","6,199",,,,,,,,,,,,,,,
FPC,13Aug2015,Eastern,N,"130,056","168,627","122,212","-46,415",,,,,,,,,,"-12,162","-12,908",-761,621,"-17,897","-7,688","-3,695","8,076",,,,,,,,,,,,,,,
FPC,14Aug2015,Eastern,N,"126,338","163,703","120,316","-43,387",,,,,,,,,,"-10,405","-12,033",-758,676,"-16,043","-7,073","-3,362","5,611",,,,,,,,,,,,,,,
