BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,27Jul2016,Eastern,N,"150,650","202,813","151,564","-51,249",,,,,,,,,,"-10,787","-9,895",-358,574,"-16,661","-10,627","-3,743",248,,,,,,,,,,,,,,,
FPC,28Jul2016,Eastern,N,"162,569","209,207","158,803","-50,404",,,,,,,,,,"-9,392","-13,001",-308,612,"-15,654","-10,964","-3,787","2,090",,,,,,,,,,,,,,,
FPC,29Jul2016,Eastern,N,"160,630","184,945","135,528","-49,417",,,,,,,,,,"-7,978","-15,118",-466,533,"-17,025","-12,035","-3,924","6,596",,,,,,,,,,,,,,,
FPC,30Jul2016,Eastern,N,"147,005","173,037","126,452","-46,585",,,,,,,,,,"-8,286","-15,359",-339,565,"-15,559","-9,316","-3,667","5,376",,,,,,,,,,,,,,,
FPC,31Jul2016,Eastern,N,"142,549","183,461","134,960","-48,501",,,,,,,,,,"-8,740","-13,204",-273,446,"-15,552","-8,794","-3,544","1,160",,,,,,,,,,,,,,,
FPC,01Aug2016,Eastern,N,"150,912","193,702","148,434","-45,258",,,,,,,,,,"-7,590","-10,309",-272,626,"-14,138","-10,207","-3,392",24,,,,,,,,,,,,,,,
FPC,02Aug2016,Eastern,N,"151,118","191,803","147,181","-44,622",,,,,,,,,,"-9,058","-8,328",-37,284,"-15,504","-10,393","-3,689","2,103",,,,,,,,,,,,,,,
FPC,03Aug2016,Eastern,N,"148,629","185,402","140,422","-44,980",,,,,,,,,,"-7,869","-10,139",-446,440,"-15,004","-9,966","-3,703","1,707",,,,,,,,,,,,,,,
FPC,04Aug2016,Eastern,N,"140,603","171,836","125,767","-46,069",,,,,,,,,,"-10,131","-11,101",-464,399,"-18,065","-9,318","-3,388","5,999",,,,,,,,,,,,,,,
FPC,05Aug2016,Eastern,N,"130,900","169,302","129,059","-40,243",,,,,,,,,,"-11,437","-8,248",-504,584,"-13,787","-9,553","-3,295","6,001",,,,,,,,,,,,,,,
FPC,06Aug2016,Eastern,N,"127,017","155,989","117,483","-38,506",,,,,,,,,,"-10,629","-9,911",-333,819,"-11,020","-5,382","-3,274","1,224",,,,,,,,,,,,,,,
FPC,07Aug2016,Eastern,N,"124,126","151,200","113,923","-37,277",,,,,,,,,,"-8,918","-10,463",-321,676,"-14,615","-5,381","-3,316","5,061",,,,,,,,,,,,,,,
FPC,08Aug2016,Eastern,N,"128,314","156,902","116,072","-40,830",,,,,,,,,,"-11,262","-7,520",-125,591,"-14,232","-7,224","-3,270","2,212",,,,,,,,,,,,,,,
FPC,09Aug2016,Eastern,N,"128,397","157,617","112,280","-45,337",,,,,,,,,,"-12,159","-5,692",-28,600,"-12,494","-7,690","-2,965","-4,909",,,,,,,,,,,,,,,
FPC,10Aug2016,Eastern,N,"137,105","172,595","129,295","-43,300",,,,,,,,,,"-11,324","-7,209",-23,697,"-11,829","-8,757","-3,078","-1,777",,,,,,,,,,,,,,,
FPC,11Aug2016,Eastern,N,"144,762","178,374","130,370","-48,004",,,,,,,,,,"-10,885","-10,855",-61,625,"-16,044","-9,977","-3,211","2,404",,,,,,,,,,,,,,,
FPC,12Aug2016,Eastern,N,"144,932","184,208","135,931","-48,277",,,,,,,,,,"-10,088","-9,955",53,642,"-15,690","-10,340","-3,415",516,,,,,,,,,,,,,,,
FPC,13Aug2016,Eastern,N,"142,302","178,927","130,381","-48,546",,,,,,,,,,"-11,569","-10,909",29,608,"-13,658","-8,976","-3,454",-617,,,,,,,,,,,,,,,
FPC,14Aug2016,Eastern,N,"138,649","164,026","118,643","-45,383",,,,,,,,,,"-10,552","-11,777",-18,618,"-14,252","-7,727","-3,312","1,637",,,,,,,,,,,,,,,
FPC,15Aug2016,Eastern,N,"150,939","182,296","134,545","-47,751",,,,,,,,,,"-10,376","-12,702",37,747,"-15,208","-9,721","-3,643","3,115",,,,,,,,,,,,,,,
FPC,16Aug2016,Eastern,N,"151,705","176,475","129,533","-46,942",,,,,,,,,,"-13,658","-9,762",-178,858,"-15,903","-9,597","-3,736","5,034",,,,,,,,,,,,,,,
FPC,17Aug2016,Eastern,N,"149,656","184,610","135,057","-49,553",,,,,,,,,,"-15,104","-9,855",-431,691,"-15,352","-8,678","-3,658","2,834",,,,,,,,,,,,,,,
FPC,18Aug2016,Eastern,N,"148,171","182,065","133,359","-48,706",,,,,,,,,,"-14,339","-8,864",-128,750,"-15,699","-9,876","-3,506","2,956",,,,,,,,,,,,,,,
FPC,19Aug2016,Eastern,N,"151,266","185,719","137,900","-47,819",,,,,,,,,,"-12,676","-9,302",-363,585,"-16,044","-10,279","-4,029","4,289",,,,,,,,,,,,,,,
FPC,20Aug2016,Eastern,N,"144,604","182,364","135,215","-47,149",,,,,,,,,,"-10,974","-12,487",-319,594,"-14,840","-8,435","-3,784","3,096",,,,,,,,,,,,,,,
FPC,21Aug2016,Eastern,N,"145,372","187,231","139,411","-47,820",,,,,,,,,,"-11,531","-13,269",-348,466,"-15,892","-8,421","-3,781","4,956",,,,,,,,,,,,,,,
FPC,22Aug2016,Eastern,N,"153,359","198,140","148,888","-49,252",,,,,,,,,,"-12,244","-12,013",-176,631,"-15,893","-8,934","-3,807","3,184",,,,,,,,,,,,,,,
FPC,23Aug2016,Eastern,N,"155,165","200,099","150,563","-49,536",,,,,,,,,,"-12,865","-12,207",-364,646,"-15,579","-10,024","-3,583","4,440",,,,,,,,,,,,,,,
FPC,24Aug2016,Eastern,N,"150,627","187,175","142,718","-44,457",,,,,,,,,,"-12,607","-12,125",-165,820,"-14,503","-10,119","-3,836","8,083",,,,,,,,,,,,,,,
FPC,25Aug2016,Eastern,N,"147,401","188,629","143,401","-45,226",,,,,,,,,,"-13,783","-8,394",337,646,"-15,051","-10,385","-3,813","5,217",,,,,,,,,,,,,,,
FPC,26Aug2016,Eastern,N,"141,320","188,143","141,823","-46,318",,,,,,,,,,"-12,388","-8,794",502,621,"-15,632","-10,842","-3,824","4,039",,,,,,,,,,,,,,,
FPC,27Aug2016,Eastern,N,"137,963","176,341","128,657","-47,678",,,,,,,,,,"-11,191","-11,487",341,575,"-16,808","-8,149","-3,687","2,728",,,,,,,,,,,,,,,
FPC,28Aug2016,Eastern,N,"136,898","184,881","136,174","-48,699",,,,,,,,,,"-12,084","-12,594",454,600,"-15,528","-7,598","-3,540","1,591",,,,,,,,,,,,,,,
FPC,29Aug2016,Eastern,N,"139,586","175,006","127,752","-47,251",,,,,,,,,,"-14,075","-10,895",428,689,"-16,067","-8,277","-3,437","4,383",,,,,,,,,,,,,,,
FPC,30Aug2016,Eastern,N,"138,454","168,184","120,923","-47,261",,,,,,,,,,"-15,550","-10,805",72,414,"-15,240","-6,796","-3,130","3,774",,,,,,,,,,,,,,,
FPC,31Aug2016,Eastern,N,"130,720","152,177","109,939","-42,238",,,,,,,,,,"-15,178","-9,702",343,513,"-14,191","-5,860","-2,973","4,810",,,,,,,,,,,,,,,
FPC,01Sep2016,Eastern,N,"122,302","147,740","105,872","-41,867",,,,,,,,,,"-11,750","-13,676",-61,487,"-14,855","-5,102","-2,438","5,528",,,,,,,,,,,,,,,
FPC,02Sep2016,Eastern,N,"117,468","149,380","108,832","-40,354",,,,,,,,,,"-13,672","-14,548",244,569,"-12,345","-4,141","-1,427","4,966",,,,,,,,,,,,,,,
FPC,03Sep2016,Eastern,N,"122,385","150,797","113,790","-37,068",,,,,,,,,,"-10,350","-17,552",-127,437,"-16,095","-5,330","-1,970","13,919",,,,,,,,,,,,,,,
FPC,04Sep2016,Eastern,N,"123,998","159,157","119,304","-39,886",,,,,,,,,,"-10,538","-14,775",-426,377,"-16,142","-6,475","-2,515","10,608",,,,,,,,,,,,,,,
FPC,05Sep2016,Eastern,N,"131,725","155,025","112,386","-42,639",,,,,,,,,,"-12,851","-15,063",-32,453,"-14,382","-6,559","-2,388","8,183",,,,,,,,,,,,,,,
FPC,06Sep2016,Eastern,N,"135,617","163,918","121,078","-42,840",,,,,,,,,,"-13,260","-13,087",-79,469,"-13,202","-6,447","-1,805","4,571",,,,,,,,,,,,,,,
FPC,07Sep2016,Eastern,N,"142,025","169,578","119,806","-49,772",,,,,,,,,,"-15,239","-11,282",-62,586,"-15,368","-6,834","-1,318",-255,,,,,,,,,,,,,,,
FPC,08Sep2016,Eastern,N,"140,638","168,799","119,527","-49,272",,,,,,,,,,"-14,996","-12,487",-112,576,"-16,019","-7,345","-2,263","3,374",,,,,,,,,,,,,,,
FPC,09Sep2016,Eastern,N,"138,069","176,458","130,669","-45,789",,,,,,,,,,"-14,935","-11,825",-168,707,"-14,597","-6,063","-2,969","4,061",,,,,,,,,,,,,,,
FPC,10Sep2016,Eastern,N,"134,415","169,071","131,010","-47,821",,,,,,,,,,"-15,854","-14,789",-146,688,"-13,989","-6,932","-3,463","6,664",,,,,,,,,,,,,,,
FPC,11Sep2016,Eastern,N,"137,343","179,072","130,523","-48,549",,,,,,,,,,"-14,247","-14,738",14,598,"-13,883","-7,534","-3,521","4,762",,,,,,,,,,,,,,,
FPC,12Sep2016,Eastern,N,"138,280","174,041","128,769","-45,272",,,,,,,,,,"-11,147","-13,041",-221,551,"-15,219","-6,605","-3,215","3,625",,,,,,,,,,,,,,,
FPC,13Sep2016,Eastern,N,"130,354","158,775","121,234","-44,063",,,,,,,,,,"-12,607","-13,686",69,472,"-16,317","-5,512","-2,766","6,284",,,,,,,,,,,,,,,
FPC,14Sep2016,Eastern,N,"127,497","171,325","126,360","-44,965",,,,,,,,,,"-11,795","-11,372",-232,422,"-14,741","-6,410","-2,978","2,141",,,,,,,,,,,,,,,
FPC,15Sep2016,Eastern,N,"130,355","173,089","128,157","-44,932",,,,,,,,,,"-10,478","-11,970",-275,433,"-14,359","-4,471","-3,674",-138,,,,,,,,,,,,,,,
FPC,16Sep2016,Eastern,N,"135,423","174,283","133,576","-40,707",,,,,,,,,,"-12,750","-14,117",-302,506,"-14,886","-5,884","-3,752","10,478",,,,,,,,,,,,,,,
FPC,17Sep2016,Eastern,N,"138,398","164,915","138,251","-34,248",,,,,,,,,,"-9,698","-15,152",-298,537,"-14,475","-6,545","-3,799","15,182",,,,,,,,,,,,,,,
FPC,18Sep2016,Eastern,N,"135,960","174,778","140,855","-33,923",,,,,,,,,,"-9,855","-15,147",-495,490,"-14,442","-6,229","-3,770","15,525",,,,,,,,,,,,,,,
FPC,19Sep2016,Eastern,N,"136,963","179,897","145,480","-34,417",,,,,,,,,,"-11,780","-14,934",-279,387,"-14,433","-8,008","-4,156","18,786",,,,,,,,,,,,,,,
FPC,20Sep2016,Eastern,N,"136,645","170,701","140,186","-30,515",,,,,,,,,,"-11,438","-13,999",-313,433,"-14,739","-6,123","-3,944","19,608",,,,,,,,,,,,,,,
FPC,21Sep2016,Eastern,N,"135,527","174,947","144,045","-30,902",,,,,,,,,,"-11,578","-13,287",-210,459,"-15,505","-5,933","-3,919","19,071",,,,,,,,,,,,,,,
FPC,22Sep2016,Eastern,N,"136,280","178,187","146,662","-31,525",,,,,,,,,,"-7,129","-17,609",-218,449,"-15,803","-5,772","-4,003","18,560",,,,,,,,,,,,,,,
FPC,23Sep2016,Eastern,N,"138,890","176,679","143,527","-33,152",,,,,,,,,,"-8,534","-18,037",-315,399,"-15,245","-6,303","-3,996","18,879",,,,,,,,,,,,,,,
FPC,24Sep2016,Eastern,N,"131,731","173,659","141,040","-32,619",,,,,,,,,,"-10,210","-17,307",-486,421,"-14,646","-4,865","-3,546","18,020",,,,,,,,,,,,,,,
FPC,25Sep2016,Eastern,N,"131,752","170,765","138,704","-32,061",,,,,,,,,,"-10,130","-15,510",-359,459,"-13,540","-4,335","-3,442","14,794",,,,,,,,,,,,,,,
FPC,26Sep2016,Eastern,N,"135,948","170,153","140,030","-30,123",,,,,,,,,,"-10,110","-14,252",-510,554,"-14,044","-4,523","-3,414","16,176",,,,,,,,,,,,,,,
FPC,27Sep2016,Eastern,N,"132,180","164,539","131,772","-32,767",,,,,,,,,,"-9,835","-13,535",-472,602,"-13,361","-4,407","-3,338","11,579",,,,,,,,,,,,,,,
FPC,28Sep2016,Eastern,N,"127,578","166,760","132,167","-34,593",,,,,,,,,,"-9,845","-14,356",-571,565,"-13,798","-5,570","-3,566","12,551",,,,,,,,,,,,,,,
FPC,29Sep2016,Eastern,N,"127,841","158,426","122,264","-36,162",,,,,,,,,,"-9,445","-14,354",-245,609,"-12,498","-5,427","-3,770","8,968",,,,,,,,,,,,,,,
FPC,30Sep2016,Eastern,N,"121,705","162,201","123,210","-38,991",,,,,,,,,,"-10,090","-16,926",-76,453,"-13,975","-5,331","-3,403","10,357",,,,,,,,,,,,,,,
FPC,01Oct2016,Eastern,N,"121,284","156,022","118,509","-37,513",,,,,,,,,,"-8,800","-14,213",-806,478,"-14,659","-4,449","-3,112","8,048",,,,,,,,,,,,,,,
FPC,02Oct2016,Eastern,N,"115,166","156,139","118,451","-37,688",,,,,,,,,,"-7,231","-12,954",-754,430,"-14,547","-4,596","-3,193","5,157",,,,,,,,,,,,,,,
FPC,03Oct2016,Eastern,N,"122,219","154,253","118,005","-36,248",,,,,,,,,,"-7,818","-11,427",-624,497,"-15,403","-3,544","-3,172","5,243",,,,,,,,,,,,,,,
FPC,04Oct2016,Eastern,N,"127,746","158,656","122,509","-36,147",,,,,,,,,,"-7,639","-10,033",-515,485,"-16,589","-4,434","-3,326","5,904",,,,,,,,,,,,,,,
FPC,05Oct2016,Eastern,N,"131,223","165,839","124,991","-40,848",,,,,,,,,,"-8,732","-12,053",-563,505,"-16,153","-4,487","-3,378","4,013",,,,,,,,,,,,,,,
FPC,06Oct2016,Eastern,N,"126,305","157,802","118,970","-38,832",,,,,,,,,,"-9,577","-8,915",-518,465,"-13,955","-3,099","-3,034",-199,,,,,,,,,,,,,,,
FPC,07Oct2016,Eastern,N,"120,629","127,747","103,912","-29,696",,,,,,,,,,"-5,978","-9,004","-1,055",39,"-15,707","-2,894","-3,031","7,934",,,,,,,,,,,,,,,
FPC,08Oct2016,Eastern,N,"108,493","152,843","125,022","-27,821",,,,,,,,,,"-5,601","-11,111",-967,-142,"-12,975","-2,260","-2,933","8,168",,,,,,,,,,,,,,,
FPC,09Oct2016,Eastern,N,"114,041","148,661","115,730","-32,931",,,,,,,,,,"-8,846","-13,017",-966,83,"-13,336","-3,154","-2,398","8,703",,,,,,,,,,,,,,,
FPC,10Oct2016,Eastern,N,"105,748","130,531","99,445","-31,086",,,,,,,,,,"-10,115","-10,912",-826,397,"-12,229","-2,033","-2,036","6,668",,,,,,,,,,,,,,,
FPC,11Oct2016,Eastern,N,"106,202","129,714","94,723","-34,991",,,,,,,,,,"-10,839","-9,454",10,469,"-13,125","-2,424","-2,230","2,602",,,,,,,,,,,,,,,
FPC,12Oct2016,Eastern,N,"112,962","140,687","103,687","-37,000",,,,,,,,,,"-10,585","-13,802",-28,483,"-14,633","-3,512","-2,235","7,312",,,,,,,,,,,,,,,
FPC,13Oct2016,Eastern,N,"113,857","147,246","110,280","-36,966",,,,,,,,,,"-10,600","-12,678",70,454,"-14,572","-4,206","-2,473","7,039",,,,,,,,,,,,,,,
FPC,14Oct2016,Eastern,N,"117,613","146,893","112,165","-34,728",,,,,,,,,,"-9,655","-10,046",223,474,"-15,249","-4,048","-2,362","5,935",,,,,,,,,,,,,,,
FPC,15Oct2016,Eastern,N,"114,945","144,160","109,306","-34,854",,,,,,,,,,"-11,179","-11,341",320,553,"-11,610","-3,341","-2,200","3,944",,,,,,,,,,,,,,,
FPC,16Oct2016,Eastern,N,"116,366","145,495","109,988","-35,507",,,,,,,,,,"-11,074","-12,216",316,561,"-12,505","-2,883","-2,347","4,641",,,,,,,,,,,,,,,
FPC,17Oct2016,Eastern,N,"120,799","149,973","111,311","-38,662",,,,,,,,,,"-11,134","-10,832",493,543,"-12,483","-3,378","-2,439",568,,,,,,,,,,,,,,,
FPC,18Oct2016,Eastern,N,"119,756","149,729","116,252","-33,477",,,,,,,,,,"-9,852","-9,452",577,550,"-10,870","-3,956","-1,542","1,068",,,,,,,,,,,,,,,
FPC,19Oct2016,Eastern,N,"118,382","143,618","115,253","-28,365",,,,,,,,,,"-8,417","-8,469",615,570,"-10,088","-4,146","-1,844","3,414",,,,,,,,,,,,,,,
FPC,20Oct2016,Eastern,N,"117,211","145,687","119,085","-26,602",,,,,,,,,,"-9,893","-5,589",779,438,"-9,096","-4,241","-1,961","2,961",,,,,,,,,,,,,,,
FPC,21Oct2016,Eastern,N,"110,463","142,008","113,800","-28,208",,,,,,,,,,"-9,756","-8,126",576,286,"-10,131","-4,365","-1,750","5,058",,,,,,,,,,,,,,,
FPC,22Oct2016,Eastern,N,"93,816","109,068","73,169","-35,899",,,,,,,,,,"-10,159","-9,587",-409,245,"-12,204","-2,900","-1,301",416,,,,,,,,,,,,,,,
FPC,23Oct2016,Eastern,N,"89,918","107,206","70,587","-36,619",,,,,,,,,,"-8,001","-12,633",-574,35,"-12,203","-3,379","-1,400","1,536",,,,,,,,,,,,,,,
FPC,24Oct2016,Eastern,N,"94,488","115,950","82,745","-33,205",,,,,,,,,,"-6,745","-15,026",-439,-67,"-10,582","-3,224","-1,518","4,396",,,,,,,,,,,,,,,
FPC,25Oct2016,Eastern,N,"97,752","119,425","85,478","-33,947",,,,,,,,,,"-5,942","-15,260",-325,-73,"-9,847","-3,221","-1,799","2,520",,,,,,,,,,,,,,,
FPC,26Oct2016,Eastern,N,"106,117","129,567","97,856","-31,711",,,,,,,,,,"-7,212","-13,272",-262,-88,"-7,982","-3,921","-1,808","2,834",,,,,,,,,,,,,,,
FPC,27Oct2016,Eastern,N,"108,661","131,571","96,632","-34,939",,,,,,,,,,"-3,705","-16,856",-448,-120,"-10,337","-5,204","-1,708","3,439",,,,,,,,,,,,,,,
FPC,28Oct2016,Eastern,N,"107,717","131,335","95,402","-35,933",,,,,,,,,,"-8,202","-14,887",-312,-100,"-11,330","-5,155","-1,399","5,452",,,,,,,,,,,,,,,
FPC,29Oct2016,Eastern,N,"105,530","129,273","97,145","-32,128",,,,,,,,,,"-11,191","-12,220",-174,84,"-9,868","-4,029","-1,405","6,675",,,,,,,,,,,,,,,
FPC,30Oct2016,Eastern,N,"103,138","134,557","102,125","-32,432",,,,,,,,,,"-10,927","-13,700",-194,61,"-9,488","-3,219","-1,397","6,432",,,,,,,,,,,,,,,
FPC,31Oct2016,Eastern,N,"108,925","135,830","105,456","-30,374",,,,,,,,,,"-9,315","-12,760",93,18,"-10,193","-3,550","-1,268","6,601",,,,,,,,,,,,,,,
FPC,01Nov2016,Eastern,N,"109,016","134,080","103,821","-30,259",,,,,,,,,,"-14,278","-6,924",417,95,"-8,265","-2,439","-1,777","2,912",,,,,,,,,,,,,,,
FPC,02Nov2016,Eastern,N,"109,023","137,983","105,779","-32,204",,,,,,,,,,"-16,126","-5,441",-15,95,"-8,608","-3,733","-1,252","2,876",,,,,,,,,,,,,,,
FPC,03Nov2016,Eastern,N,"108,346","134,023","99,086","-34,937",,,,,,,,,,"-15,577","-7,191",68,198,"-8,754","-2,971","-1,665",955,,,,,,,,,,,,,,,
FPC,04Nov2016,Eastern,N,"102,738","132,634","95,797","-36,837",,,,,,,,,,"-14,615","-8,304",92,84,"-8,203","-1,905","-1,744","-2,242",,,,,,,,,,,,,,,
FPC,05Nov2016,Eastern,N,"93,543","121,755","87,853","-33,902",,,,,,,,,,"-11,957","-8,639",-93,62,"-9,833","-1,868","-1,900",326,,,,,,,,,,,,,,,
FPC,06Nov2016,Eastern,N,,"120,857","87,149","-34,117",,,,,,,,,,"-12,856","-8,828",-462,-19,"-9,185","-2,982","-1,566","2,190",,,,,,,,,,,,,,,
FPC,07Nov2016,Eastern,N,"99,152","119,934","91,142","-28,792",,,,,,,,,,"-12,471","-9,985",25,70,"-4,418","-2,838","-1,469","2,294",,,,,,,,,,,,,,,
FPC,08Nov2016,Eastern,N,"97,952","121,158","95,447","-25,711",,,,,,,,,,"-12,662","-6,592",39,36,"-4,081","-3,353","-1,561","2,463",,,,,,,,,,,,,,,
FPC,09Nov2016,Eastern,N,"95,038","118,731","89,693","-29,038",,,,,,,,,,"-7,473","-11,438",-215,-54,"-8,528","-3,838","-1,788","4,296",,,,,,,,,,,,,,,
FPC,10Nov2016,Eastern,N,"92,404","118,173","93,379","-24,794",,,,,,,,,,"-7,416","-11,649",-141,-11,"-5,364","-3,108","-1,263","4,158",,,,,,,,,,,,,,,
FPC,11Nov2016,Eastern,N,"91,850","112,729","87,896","-24,833",,,,,,,,,,"-6,876","-9,909",-10,99,"-5,305","-3,043","-1,101","1,312",,,,,,,,,,,,,,,
FPC,12Nov2016,Eastern,N,"85,168","107,759","80,321","-27,438",,,,,,,,,,"-9,630","-6,751",-242,83,"-6,524","-3,781","-1,362",769,,,,,,,,,,,,,,,
FPC,13Nov2016,Eastern,N,"87,288","112,988","84,074","-28,914",,,,,,,,,,"-9,017","-6,836",-303,71,"-5,556","-3,994","-1,575","-1,704",,,,,,,,,,,,,,,
FPC,14Nov2016,Eastern,N,"89,493","114,379","86,162","-28,217",,,,,,,,,,"-9,317","-3,605",-684,74,"-6,638","-4,698","-1,634","-1,715",,,,,,,,,,,,,,,
FPC,15Nov2016,Eastern,N,"91,295","112,063","83,144","-28,919",,,,,,,,,,"-11,012","-2,357",-555,61,"-7,031","-4,801","-1,620","-1,604",,,,,,,,,,,,,,,
FPC,16Nov2016,Eastern,N,"90,773","114,100","84,503","-29,597",,,,,,,,,,"-12,106",-542,-133,166,"-9,111","-4,524","-1,479","-1,868",,,,,,,,,,,,,,,
FPC,17Nov2016,Eastern,N,"91,529","116,349","88,636","-27,713",,,,,,,,,,"-11,373",989,-32,182,"-10,065","-3,750","-1,505","-2,159",,,,,,,,,,,,,,,
FPC,18Nov2016,Eastern,N,"93,012","115,559","88,793","-26,766",,,,,,,,,,"-10,458",-594,-275,42,"-11,086","-3,282","-1,431",318,,,,,,,,,,,,,,,
FPC,19Nov2016,Eastern,N,"89,309","111,258","85,141","-26,117",,,,,,,,,,"-7,911","-3,094",-573,45,"-10,549","-3,434","-1,805","1,204",,,,,,,,,,,,,,,
FPC,20Nov2016,Eastern,N,"89,175","110,056","83,357","-26,699",,,,,,,,,,"-10,765",-179,-478,73,"-8,479","-3,910","-2,364",-597,,,,,,,,,,,,,,,
FPC,21Nov2016,Eastern,N,"105,718","127,650","88,660","-38,990",,,,,,,,,,"-10,493","-3,763",292,71,"-11,626","-5,854","-2,480","-5,137",,,,,,,,,,,,,,,
FPC,22Nov2016,Eastern,N,"100,227","127,823","90,502","-37,321",,,,,,,,,,"-11,760","-5,402",144,-72,"-14,384","-6,478","-2,477","3,108",,,,,,,,,,,,,,,
FPC,23Nov2016,Eastern,N,"93,452","118,898","88,164","-30,734",,,,,,,,,,"-12,394","-6,250",199,65,"-10,110","-5,426","-2,404","5,586",,,,,,,,,,,,,,,
FPC,24Nov2016,Eastern,N,"87,003","116,092","86,382","-29,710",,,,,,,,,,"-11,484","-8,065",-128,91,"-9,672","-3,719","-2,252","5,519",,,,,,,,,,,,,,,
FPC,25Nov2016,Eastern,N,"90,168","112,633","84,820","-27,813",,,,,,,,,,"-11,362","-7,705",-33,123,"-9,263","-3,027","-1,947","5,401",,,,,,,,,,,,,,,
FPC,26Nov2016,Eastern,N,"87,953","107,826","81,012","-26,814",,,,,,,,,,"-12,129","-3,875",-225,71,"-9,546","-3,117","-1,857","3,864",,,,,,,,,,,,,,,
FPC,27Nov2016,Eastern,N,"85,639","108,519","80,358","-28,161",,,,,,,,,,"-13,557","-3,742",-215,7,"-9,850","-4,079","-1,702","4,977",,,,,,,,,,,,,,,
FPC,28Nov2016,Eastern,N,"95,052","115,222","87,202","-28,020",,,,,,,,,,"-13,510","-5,250",46,51,"-10,944","-3,837","-1,806","7,230",,,,,,,,,,,,,,,
FPC,29Nov2016,Eastern,N,"102,522","126,019","91,330","-34,689",,,,,,,,,,"-14,875","-8,459",-75,24,"-12,853","-4,013","-2,386","7,948",,,,,,,,,,,,,,,
FPC,30Nov2016,Eastern,N,"106,736","130,281","93,641","-36,640",,,,,,,,,,"-16,427","-5,676",179,1,"-13,074","-5,928","-2,642","6,927",,,,,,,,,,,,,,,
FPC,01Dec2016,Eastern,N,"99,051","129,020","93,643","-35,377",,,,,,,,,,"-17,644","-4,448",263,37,"-11,683","-4,701","-1,954","4,753",,,,,,,,,,,,,,,
FPC,02Dec2016,Eastern,N,"92,475","115,227","89,662","-25,565",,,,,,,,,,"-11,281","-5,218",580,115,"-9,880","-5,016","-1,845","6,980",,,,,,,,,,,,,,,
FPC,03Dec2016,Eastern,N,"86,022","108,808","87,004","-26,328",,,,,,,,,,"-10,688","-5,194",448,69,"-10,277","-4,045","-2,042","5,401",,,,,,,,,,,,,,,
FPC,04Dec2016,Eastern,N,"90,177","118,161","87,164","-30,997",,,,,,,,,,"-12,428","-6,070",283,51,"-12,144","-3,961","-1,881","5,153",,,,,,,,,,,,,,,
FPC,05Dec2016,Eastern,N,"106,834","134,338","96,705","-37,633",,,,,,,,,,"-14,057","-9,752",412,83,"-13,470","-5,694","-1,422","6,267",,,,,,,,,,,,,,,
FPC,06Dec2016,Eastern,N,"106,212","135,665","102,382","-33,283",,,,,,,,,,"-12,402","-8,285",549,154,"-11,907","-6,144","-1,398","6,150",,,,,,,,,,,,,,,
FPC,07Dec2016,Eastern,N,"106,212","120,326","94,193","-26,133",,,,,,,,,,"-9,021","-8,143",-307,154,"-11,262","-5,448","-1,654","9,548",,,,,,,,,,,,,,,
FPC,08Dec2016,Eastern,N,"97,279","116,079","90,440","-25,639",,,,,,,,,,"-8,895","-7,663",-479,208,"-8,803","-4,430","-1,702","6,125",,,,,,,,,,,,,,,
FPC,09Dec2016,Eastern,N,"99,361","123,374","94,494","-28,880",,,,,,,,,,"-11,680","-6,719",-676,247,"-8,855","-3,464","-1,601","3,868",,,,,,,,,,,,,,,
FPC,10Dec2016,Eastern,N,"98,833","123,827","93,860","-29,967",,,,,,,,,,"-10,909","-7,906",-534,120,"-9,555","-3,214","-2,645","4,676",,,,,,,,,,,,,,,
FPC,11Dec2016,Eastern,N,"89,302","116,552","88,576","-27,976",,,,,,,,,,"-9,661","-9,627",-391,117,"-9,788","-3,395","-2,487","7,256",,,,,,,,,,,,,,,
FPC,12Dec2016,Eastern,N,"95,734","122,857","89,749","-33,108",,,,,,,,,,"-10,989","-9,274",-439,208,"-9,432","-3,721","-2,794","3,333",,,,,,,,,,,,,,,
FPC,13Dec2016,Eastern,N,"100,463","125,492","91,763","-33,729",,,,,,,,,,"-13,343","-8,919",-334,176,"-11,255","-5,444","-1,607","6,997",,,,,,,,,,,,,,,
FPC,14Dec2016,Eastern,N,"96,941","124,984","98,726","-26,258",,,,,,,,,,"-9,074","-8,623",345,178,"-10,463","-5,070","-1,539","7,988",,,,,,,,,,,,,,,
FPC,15Dec2016,Eastern,N,"91,860","120,915","96,546","-24,369",,,,,,,,,,"-10,953","-7,736",507,345,"-10,459","-5,137","-1,461","10,525",,,,,,,,,,,,,,,
FPC,16Dec2016,Eastern,N,"92,018","118,926","92,746","-26,180",,,,,,,,,,"-9,253","-7,877",457,361,"-10,109","-5,021","-1,382","6,644",,,,,,,,,,,,,,,
