BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,30May2020,Central,N,"26,491","13,813","14,483",670,-130,"14,456",,,48,,,106,,-109,779,,0.91,,,"5,934",,1,"5,935",298,539,"5,694","14,610","13,940",0.90,0.90
AEC,31May2020,Central,N,,"13,427","13,616",189,-129,"13,591",,,48,,,103,,258,-69,,0.91,,,"5,581",,1,"5,582",359,471,"5,469","13,742","13,553",0.90,0.89
AEC,01Jun2020,Central,N,"28,126","14,023","14,220",196,-113,"14,314",,,17,,,103,,981,-784,2.23,0.90,,,"5,864",,1,"5,876",327,458,"5,745","14,445","14,248",0.90,0.89
AEC,02Jun2020,Central,N,"27,198","13,171","18,261","5,090","3,303","14,840",,,8,,,103,,"2,046","3,044",2.24,0.90,,"3,350","6,065",,1,"9,416",82,"2,727","6,771","18,254","13,164",1.14,1.13
AEC,03Jun2020,Central,N,"26,202","12,882","16,272","3,390","3,571","12,570",,,29,,,103,,899,"2,491",2.24,0.90,,"3,622","5,120",,1,"8,743",29,"1,854","6,918","16,273","12,883",1.18,1.18
AEC,04Jun2020,Central,N,"27,029","13,753","17,268","3,515","3,967","13,175",,,24,,,105,,439,"3,076",2.24,0.90,,"4,030","5,372",,1,"9,402",23,"1,923","7,502","17,271","13,756",1.20,1.20
AEC,05Jun2020,Central,N,"27,799","14,486","19,270","4,784","3,675","15,470",,,24,,,104,,523,"4,261",2.24,0.90,,"3,733","6,311",,1,"10,045",13,"2,502","7,555","19,273","14,489",1.15,1.15
AEC,06Jun2020,Central,N,"27,465","12,604","16,417","3,813","3,737","12,545",,,20,,,105,,802,"3,011",2.25,0.90,,"3,806","5,149",,1,"8,956",4,"2,088","6,872","16,407","12,594",1.20,1.20
AEC,07Jun2020,Central,N,"25,753","12,764","16,572","3,808","3,504","12,940",,,19,,,104,,895,"2,913",2.25,0.91,,"3,569","5,321",,1,"8,891",9,"2,051","6,849","16,567","12,759",1.18,1.18
AEC,08Jun2020,Central,N,"28,126","14,696","17,801","3,105","3,842","13,819",,,26,,,104,,-103,"3,208",2.25,0.90,,"3,917","5,666",,1,"9,583",251,"1,943","7,890","17,791","14,686",1.19,1.18
AEC,09Jun2020,Central,N,"29,347","14,204","18,850","4,646","3,810","14,895",,,37,,,104,,-64,"4,711",2.25,0.90,,"3,891","6,110",,1,"10,002",142,"2,615","7,530","18,846","14,199",1.17,1.17
AEC,10Jun2020,Central,N,"29,020","15,177","17,977","2,800","3,379","14,448",,,46,,,102,,-364,"3,164",2.25,0.91,,"3,453","5,946",,1,"9,400",295,"1,797","7,898","17,975","15,175",1.15,1.15
AEC,11Jun2020,Central,N,"27,971","14,639","19,240","4,601","3,532","15,222",,,377,,,103,,-763,"5,364",2.25,0.91,,"3,601","6,253",,3,"9,857",394,"2,782","7,469","19,234","14,633",1.13,1.13
AEC,12Jun2020,Central,N,"27,569","14,378","16,599","2,297","3,410","13,065",,,38,,,79,,"-1,222","3,519",2.24,0.90,,"3,470","5,359",,1,"8,830",662,"1,901","7,591","16,592","14,295",1.17,1.17
