BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,01Jul2015,Central,N,"28,581","14,183","18,905","4,722",,,,,,,,,,"1,639","3,083",,,,,,,,,,,,,,,
AEC,02Jul2015,Central,N,"27,652","13,357","18,749","5,392",,,,,,,,,,"2,846","2,546",,,,,,,,,,,,,,,
AEC,03Jul2015,Central,N,"28,933","14,857","20,380","5,523",,,,,,,,,,"2,923","2,600",,,,,,,,,,,,,,,
AEC,04Jul2015,Central,N,"26,785","13,804","19,017","5,213",,,,,,,,,,"3,028","2,185",,,,,,,,,,,,,,,
AEC,05Jul2015,Central,N,"25,204","11,258","16,394","5,136",,,,,,,,,,"2,943","2,193",,,,,,,,,,,,,,,
AEC,06Jul2015,Central,N,"25,984","13,572","18,703","5,131",,,,,,,,,,"2,739","2,392",,,,,,,,,,,,,,,
AEC,07Jul2015,Central,N,"28,452","15,066","22,231","7,165",,,,,,,,,,"2,371","4,794",,,,,,,,,,,,,,,
AEC,08Jul2015,Central,N,"29,717","15,077","21,142","6,065",,,,,,,,,,"2,219","3,846",,,,,,,,,,,,,,,
AEC,09Jul2015,Central,N,"29,923","15,002","20,856","5,854",,,,,,,,,,"2,346","3,508",,,,,,,,,,,,,,,
AEC,10Jul2015,Central,N,"30,043","15,376","22,268","6,892",,,,,,,,,,"2,351","4,541",,,,,,,,,,,,,,,
AEC,11Jul2015,Central,N,"30,486","15,982","21,938","5,956",,,,,,,,,,"3,317","2,639",,,,,,,,,,,,,,,
AEC,12Jul2015,Central,N,"31,569","16,177","20,621","4,444",,,,,,,,,,"2,686","1,758",,,,,,,,,,,,,,,
AEC,13Jul2015,Central,N,"32,251","15,959","21,235","5,276",,,,,,,,,,"2,182","3,094",,,,,,,,,,,,,,,
AEC,14Jul2015,Central,N,"32,601","16,336","24,424","8,088",,,,,,,,,,"2,320","5,768",,,,,,,,,,,,,,,
AEC,15Jul2015,Central,N,"32,804","16,798","20,334","3,536",,,,,,,,,,"2,094","1,442",,,,,,,,,,,,,,,
AEC,16Jul2015,Central,N,"32,462","16,152","22,101","5,949",,,,,,,,,,"2,080","3,869",,,,,,,,,,,,,,,
AEC,17Jul2015,Central,N,"32,824","15,875","20,750","4,875",,,,,,,,,,"2,337","2,538",,,,,,,,,,,,,,,
AEC,18Jul2015,Central,N,"32,481","16,205","18,108","1,903",,,,,,,,,,"2,134",-231,,,,,,,,,,,,,,,
AEC,19Jul2015,Central,N,"32,896","15,355","18,238","2,883",,,,,,,,,,"1,522","1,361",,,,,,,,,,,,,,,
AEC,20Jul2015,Central,N,"32,719","16,012","20,912","4,900",,,,,,,,,,"2,013","2,887",,,,,,,,,,,,,,,
AEC,21Jul2015,Central,N,"32,601","16,260","22,248","5,988",,,,,,,,,,"1,867","4,121",,,,,,,,,,,,,,,
AEC,22Jul2015,Central,N,"32,823","16,032","19,760","3,728",,,,,,,,,,"1,666","2,062",,,,,,,,,,,,,,,
AEC,23Jul2015,Central,N,"31,873","15,606","20,056","4,450",,,,,,,,,,"1,733","2,717",,,,,,,,,,,,,,,
AEC,24Jul2015,Central,N,"31,924","15,074","20,064","4,990",,,,,,,,,,"2,614","2,376",,,,,,,,,,,,,,,
AEC,25Jul2015,Central,N,"30,803","15,266","20,886","5,620",,,,,,,,,,"2,368","3,252",,,,,,,,,,,,,,,
AEC,26Jul2015,Central,N,"30,659","15,205","20,928","5,723",,,,,,,,,,"1,710","4,013",,,,,,,,,,,,,,,
AEC,27Jul2015,Central,N,"31,779","15,846","23,675","7,829",,,,,,,,,,"1,804","6,025",,,,,,,,,,,,,,,
AEC,28Jul2015,Central,N,"32,363","16,869","23,577","6,708",,,,,,,,,,"1,290","5,418",,,,,,,,,,,,,,,
AEC,29Jul2015,Central,N,"32,355","16,275","21,646","5,371",,,,,,,,,,"1,704","3,667",,,,,,,,,,,,,,,
AEC,30Jul2015,Central,N,"31,388","16,145","21,235","5,090",,,,,,,,,,"2,277","2,813",,,,,,,,,,,,,,,
AEC,31Jul2015,Central,N,,"15,465","21,177","5,712",,,,,,,,,,"2,135","3,577",,,,,,,,,,,,,,,
AEC,01Aug2015,Central,N,"29,565","15,224","20,615","5,391",,,,,,,,,,"2,959","2,432",,,,,,,,,,,,,,,
AEC,02Aug2015,Central,N,"30,232","15,491","20,344","4,853",,,,,,,,,,"2,779","2,074",,,,,,,,,,,,,,,
AEC,03Aug2015,Central,N,"31,436","16,174","20,591","4,417",,,,,,,,,,"2,572","1,845",,,,,,,,,,,,,,,
AEC,04Aug2015,Central,N,"31,964","16,207","21,644","5,437",,,,,,,,,,"2,398","3,039",,,,,,,,,,,,,,,
AEC,05Aug2015,Central,N,"31,143","14,966","20,404","5,438",,,,,,,,,,"2,944","2,494",,,,,,,,,,,,,,,
AEC,06Aug2015,Central,N,"29,770","15,418","19,395","3,977",,,,,,,,,,"3,263",714,,,,,,,,,,,,,,,
AEC,07Aug2015,Central,N,"31,181","15,696","19,504","3,808",,,,,,,,,,"2,500","1,308",,,,,,,,,,,,,,,
AEC,08Aug2015,Central,N,"31,218","14,790","18,953","4,163",,,,,,,,,,"2,315","1,848",,,,,,,,,,,,,,,
AEC,09Aug2015,Central,N,"31,543","15,639","20,287","4,648",,,,,,,,,,"2,020","2,628",,,,,,,,,,,,,,,
AEC,10Aug2015,Central,N,"31,584","16,435","20,961","4,526",,,,,,,,,,"1,642","2,884",,,,,,,,,,,,,,,
AEC,11Aug2015,Central,N,"30,259","15,819","20,475","4,656",,,,,,,,,,"1,724","2,932",,,,,,,,,,,,,,,
AEC,12Aug2015,Central,N,"30,193","16,071","21,163","5,092",,,,,,,,,,"2,219","2,873",,,,,,,,,,,,,,,
AEC,13Aug2015,Central,N,"30,199","14,910","19,755","4,845",,,,,,,,,,"2,193","2,652",,,,,,,,,,,,,,,
AEC,14Aug2015,Central,N,"29,333","14,347","16,078","1,731",,,,,,,,,,"2,480",-749,,,,,,,,,,,,,,,
AEC,15Aug2015,Central,N,"27,541","14,046","18,132","4,086",,,,,,,,,,"2,021","2,065",,,,,,,,,,,,,,,
AEC,16Aug2015,Central,N,"26,707","13,116","17,946","4,830",,,,,,,,,,"2,194","2,636",,,,,,,,,,,,,,,
AEC,17Aug2015,Central,N,"26,453","13,384","17,167","3,783",,,,,,,,,,"2,083","1,700",,,,,,,,,,,,,,,
AEC,18Aug2015,Central,N,"27,153","14,412","17,418","3,006",,,,,,,,,,"1,417","1,589",,,,,,,,,,,,,,,
AEC,19Aug2015,Central,N,"27,815","14,242","16,315","2,073",,,,,,,,,,"1,530",543,,,,,,,,,,,,,,,
AEC,20Aug2015,Central,N,"28,144","14,395","16,322","1,927",,,,,,,,,,"2,033",-106,,,,,,,,,,,,,,,
AEC,21Aug2015,Central,N,"28,000","14,676","16,307","1,631",,,,,,,,,,"1,981",-350,,,,,,,,,,,,,,,
AEC,22Aug2015,Central,N,"28,749","15,337","20,155","4,818",,,,,,,,,,"2,458","2,360",,,,,,,,,,,,,,,
AEC,23Aug2015,Central,N,"29,215","15,865","20,129","4,264",,,,,,,,,,"2,417","1,847",,,,,,,,,,,,,,,
AEC,24Aug2015,Central,N,"29,977","15,840","19,977","4,137",,,,,,,,,,"2,464","1,673",,,,,,,,,,,,,,,
AEC,25Aug2015,Central,N,"27,643","14,471","18,663","4,192",,,,,,,,,,"2,151","2,041",,,,,,,,,,,,,,,
AEC,26Aug2015,Central,N,"25,014","12,600","18,016","5,416",,,,,,,,,,"1,855","3,561",,,,,,,,,,,,,,,
AEC,27Aug2015,Central,N,"25,757","13,270","17,996","4,726",,,,,,,,,,"1,828","2,898",,,,,,,,,,,,,,,
AEC,28Aug2015,Central,N,"26,331","13,991","19,737","5,746",,,,,,,,,,"1,974","3,772",,,,,,,,,,,,,,,
AEC,29Aug2015,Central,N,"25,172","12,835","18,731","5,896",,,,,,,,,,"2,484","3,412",,,,,,,,,,,,,,,
AEC,30Aug2015,Central,N,"26,186","13,466","19,299","5,833",,,,,,,,,,"2,401","3,432",,,,,,,,,,,,,,,
AEC,31Aug2015,Central,N,,"14,365","18,558","4,193",,,,,,,,,,"1,063","3,130",,,,,,,,,,,,,,,
AEC,01Sep2015,Central,N,"28,685","14,829","18,202","3,373",,,,,,,,,,703,"2,670",,,,,,,,,,,,,,,
AEC,02Sep2015,Central,N,"29,850","15,520","21,605","6,085",,,,,,,,,,390,"5,695",,,,,,,,,,,,,,,
AEC,03Sep2015,Central,N,"29,397","14,443","18,998","4,555",,,,,,,,,,342,"4,213",,,,,,,,,,,,,,,
AEC,04Sep2015,Central,N,"29,365","14,666","20,872","6,206",,,,,,,,,,"1,036","5,170",,,,,,,,,,,,,,,
AEC,05Sep2015,Central,N,"28,216","14,595","18,350","3,755",,,,,,,,,,"1,789","1,966",,,,,,,,,,,,,,,
AEC,06Sep2015,Central,N,"26,461","13,454","16,458","3,004",,,,,,,,,,"1,643","1,361",,,,,,,,,,,,,,,
AEC,07Sep2015,Central,N,"26,691","13,718","14,399",681,,,,,,,,,,"1,240",-559,,,,,,,,,,,,,,,
AEC,08Sep2015,Central,N,"26,074","13,652","16,129","2,477",,,,,,,,,,655,"1,822",,,,,,,,,,,,,,,
AEC,09Sep2015,Central,N,"26,945","14,634","17,867","3,233",,,,,,,,,,862,"2,371",,,,,,,,,,,,,,,
AEC,10Sep2015,Central,N,"26,775","13,800","16,664","2,864",,,,,,,,,,870,"1,994",,,,,,,,,,,,,,,
AEC,11Sep2015,Central,N,"25,413","12,270","14,611","2,341",,,,,,,,,,"1,144","1,197",,,,,,,,,,,,,,,
AEC,12Sep2015,Central,N,"22,203","11,664","16,614","4,950",,,,,,,,,,"1,709","3,241",,,,,,,,,,,,,,,
AEC,13Sep2015,Central,N,"19,668","10,304","14,526","4,222",,,,,,,,,,"2,062","2,160",,,,,,,,,,,,,,,
AEC,14Sep2015,Central,N,"20,669","10,638","14,626","3,988",,,,,,,,,,"1,813","2,175",,,,,,,,,,,,,,,
AEC,15Sep2015,Central,N,"22,116","11,472","14,270","2,798",,,,,,,,,,627,"2,171",,,,,,,,,,,,,,,
AEC,16Sep2015,Central,N,"23,542","12,586","16,271","3,685",,,,,,,,,,"1,671","2,014",,,,,,,,,,,,,,,
AEC,17Sep2015,Central,N,"23,721","12,702","16,132","3,430",,,,,,,,,,378,"3,052",,,,,,,,,,,,,,,
AEC,18Sep2015,Central,N,"24,773","12,727","15,629","2,902",,,,,,,,,,641,"2,261",,,,,,,,,,,,,,,
AEC,19Sep2015,Central,N,"25,570","13,177","15,271","2,094",,,,,,,,,,"1,439",655,,,,,,,,,,,,,,,
AEC,20Sep2015,Central,N,"26,756","13,379","16,713","3,334",,,,,,,,,,"2,365",969,,,,,,,,,,,,,,,
AEC,21Sep2015,Central,N,"25,470","11,927","14,133","2,206",,,,,,,,,,"1,844",362,,,,,,,,,,,,,,,
AEC,22Sep2015,Central,N,"24,059","11,757","14,399","2,642",,,,,,,,,,"1,835",807,,,,,,,,,,,,,,,
AEC,23Sep2015,Central,N,"23,274","12,457","14,585","2,128",,,,,,,,,,"1,868",260,,,,,,,,,,,,,,,
AEC,24Sep2015,Central,N,"23,364","12,103","13,942","1,839",,,,,,,,,,"1,852",-13,,,,,,,,,,,,,,,
AEC,25Sep2015,Central,N,"20,571","11,341","16,268","4,927",,,,,,,,,,"2,353","2,574",,,,,,,,,,,,,,,
AEC,26Sep2015,Central,N,"21,640","11,003","15,767","4,764",,,,,,,,,,"2,568","2,196",,,,,,,,,,,,,,,
AEC,27Sep2015,Central,N,"22,264","11,120","15,290","4,170",,,,,,,,,,"2,221","1,949",,,,,,,,,,,,,,,
AEC,28Sep2015,Central,N,"21,659","11,129","15,135","4,006",,,,,,,,,,"2,333","1,673",,,,,,,,,,,,,,,
AEC,29Sep2015,Central,N,"23,525","12,083","16,535","4,452",,,,,,,,,,"2,279","2,173",,,,,,,,,,,,,,,
AEC,30Sep2015,Central,N,,"12,949","16,995","4,046",,,,,,,,,,"2,367","1,679",,,,,,,,,,,,,,,
AEC,01Oct2015,Central,N,"20,738","10,634","14,841","4,207",,,,,,,,,,"2,745","1,460",,,,,,,,,,,,,,,
AEC,02Oct2015,Central,N,"18,084","9,486","14,421","4,935",,,,,,,,,,"1,870","3,065",,,,,,,,,,,,,,,
AEC,03Oct2015,Central,N,"17,758","9,171","14,586","5,415",,,,,,,,,,"1,460","3,955",,,,,,,,,,,,,,,
AEC,04Oct2015,Central,N,"17,732","9,070","14,375","5,305",,,,,,,,,,"1,522","3,783",,,,,,,,,,,,,,,
AEC,05Oct2015,Central,N,"18,995","9,778","14,765","4,987",,,,,,,,,,"1,573","3,414",,,,,,,,,,,,,,,
AEC,06Oct2015,Central,N,"19,925","10,648","16,346","5,698",,,,,,,,,,"1,383","4,315",,,,,,,,,,,,,,,
AEC,07Oct2015,Central,N,"20,919","11,268","17,748","6,480",,,,,,,,,,"1,799","4,681",,,,,,,,,,,,,,,
AEC,08Oct2015,Central,N,"20,648","11,012","17,126","6,114",,,,,,,,,,"1,714","4,400",,,,,,,,,,,,,,,
AEC,09Oct2015,Central,N,"20,886","11,406","16,822","5,416",,,,,,,,,,"1,392","4,024",,,,,,,,,,,,,,,
AEC,10Oct2015,Central,N,"20,140","10,929","17,033","6,104",,,,,,,,,,"1,149","4,955",,,,,,,,,,,,,,,
AEC,11Oct2015,Central,N,"18,690","9,740","15,070","5,330",,,,,,,,,,"1,776","3,554",,,,,,,,,,,,,,,
AEC,12Oct2015,Central,N,"19,158","10,380","14,866","4,486",,,,,,,,,,995,"3,491",,,,,,,,,,,,,,,
AEC,13Oct2015,Central,N,"19,840","10,863","16,280","5,417",,,,,,,,,,475,"4,942",,,,,,,,,,,,,,,
AEC,14Oct2015,Central,N,"19,490","10,431","15,958","5,527",,,,,,,,,,532,"4,995",,,,,,,,,,,,,,,
AEC,15Oct2015,Central,N,"19,656","10,561","16,240","5,679",,,,,,,,,,592,"5,087",,,,,,,,,,,,,,,
AEC,16Oct2015,Central,N,"20,327","10,841","16,174","5,333",,,,,,,,,,720,"4,613",,,,,,,,,,,,,,,
AEC,17Oct2015,Central,N,"17,539","9,308","14,872","5,564",,,,,,,,,,432,"5,132",,,,,,,,,,,,,,,
AEC,18Oct2015,Central,N,"17,887","9,281","15,043","5,762",,,,,,,,,,-179,"5,941",,,,,,,,,,,,,,,
AEC,19Oct2015,Central,N,"18,762","9,851","14,597","4,746",,,,,,,,,,-515,"5,261",,,,,,,,,,,,,,,
AEC,20Oct2015,Central,N,"18,473","10,049","14,986","4,937",,,,,,,,,,-48,"4,985",,,,,,,,,,,,,,,
AEC,21Oct2015,Central,N,"18,734","10,259","15,261","5,002",,,,,,,,,,38,"4,964",,,,,,,,,,,,,,,
AEC,22Oct2015,Central,N,"19,944","10,706","15,837","5,131",,,,,,,,,,-338,"5,469",,,,,,,,,,,,,,,
AEC,23Oct2015,Central,N,"20,377","10,937","15,945","5,008",,,,,,,,,,-219,"5,227",,,,,,,,,,,,,,,
AEC,24Oct2015,Central,N,"20,531","10,603","16,554","5,951",,,,,,,,,,-337,"6,288",,,,,,,,,,,,,,,
AEC,25Oct2015,Central,N,"20,422","10,448","16,733","6,285",,,,,,,,,,511,"5,774",,,,,,,,,,,,,,,
AEC,26Oct2015,Central,N,"19,697","10,336","15,426","5,090",,,,,,,,,,811,"4,279",,,,,,,,,,,,,,,
AEC,27Oct2015,Central,N,"19,000","10,310","15,083","4,773",,,,,,,,,,"1,247","3,526",,,,,,,,,,,,,,,
AEC,28Oct2015,Central,N,"18,884","10,733","15,623","4,890",,,,,,,,,,"1,406","3,484",,,,,,,,,,,,,,,
AEC,29Oct2015,Central,N,"18,999","10,385","14,978","4,593",,,,,,,,,,"1,325","3,268",,,,,,,,,,,,,,,
AEC,30Oct2015,Central,N,"18,026","9,727","14,495","4,768",,,,,,,,,,789,"3,979",,,,,,,,,,,,,,,
AEC,31Oct2015,Central,N,"18,335","9,899","16,009","6,110",,,,,,,,,,"1,301","4,809",,,,,,,,,,,,,,,
AEC,01Nov2015,Central,N,"19,892","10,917","16,792","5,875",,,,,,,,,,"1,467","4,408",,,,,,,,,,,,,,,
AEC,02Nov2015,Central,N,"19,796","11,238","16,700","5,462",,,,,,,,,,920,"4,542",,,,,,,,,,,,,,,
AEC,03Nov2015,Central,N,"19,177","10,758","16,651","5,893",,,,,,,,,,"1,103","4,790",,,,,,,,,,,,,,,
AEC,04Nov2015,Central,N,"19,518","10,710","16,139","5,429",,,,,,,,,,"1,661","3,768",,,,,,,,,,,,,,,
AEC,05Nov2015,Central,N,"20,722","11,642","17,037","5,395",,,,,,,,,,"1,357","4,038",,,,,,,,,,,,,,,
AEC,06Nov2015,Central,N,"21,460","11,922","17,802","5,880",,,,,,,,,,"1,847","4,033",,,,,,,,,,,,,,,
AEC,07Nov2015,Central,N,"20,283","11,163","16,000","4,837",,,,,,,,,,"1,100","3,737",,,,,,,,,,,,,,,
AEC,08Nov2015,Central,N,"18,061","9,549","14,545","4,996",,,,,,,,,,"1,278","3,718",,,,,,,,,,,,,,,
AEC,09Nov2015,Central,N,"19,037","10,161","14,403","4,242",,,,,,,,,,933,"3,309",,,,,,,,,,,,,,,
AEC,10Nov2015,Central,N,"18,974","10,152","13,737","3,585",,,,,,,,,,883,"2,702",,,,,,,,,,,,,,,
AEC,11Nov2015,Central,N,"18,737","10,325","14,708","4,383",,,,,,,,,,"1,832","2,551",,,,,,,,,,,,,,,
AEC,12Nov2015,Central,N,"18,561","10,374","14,317","3,943",,,,,,,,,,"2,009","1,934",,,,,,,,,,,,,,,
AEC,13Nov2015,Central,N,"18,974","10,251","12,118","1,867",,,,,,,,,,"1,471",396,,,,,,,,,,,,,,,
AEC,14Nov2015,Central,N,"20,587","10,871","11,593",722,,,,,,,,,,552,170,,,,,,,,,,,,,,,
AEC,15Nov2015,Central,N,"21,192","11,045","11,555",510,,,,,,,,,,"1,363",-853,,,,,,,,,,,,,,,
AEC,16Nov2015,Central,N,"18,957","10,313","11,182",869,,,,,,,,,,-133,"1,002",,,,,,,,,,,,,,,
AEC,17Nov2015,Central,N,"18,423","10,229","11,464","1,235",,,,,,,,,,-477,"1,710",,,,,,,,,,,,,,,
AEC,18Nov2015,Central,N,"18,484","10,628","12,290","1,662",,,,,,,,,,105,"1,557",,,,,,,,,,,,,,,
AEC,19Nov2015,Central,N,"17,984","9,906","11,067","1,161",,,,,,,,,,802,359,,,,,,,,,,,,,,,
AEC,20Nov2015,Central,N,"18,434","9,920","10,765",845,,,,,,,,,,464,381,,,,,,,,,,,,,,,
AEC,21Nov2015,Central,N,"18,270","9,870","13,346","3,476",,,,,,,,,,877,"2,599",,,,,,,,,,,,,,,
AEC,22Nov2015,Central,N,"22,755","11,088","16,105","5,017",,,,,,,,,,"1,639","3,378",,,,,,,,,,,,,,,
AEC,23Nov2015,Central,N,"28,011","13,894","17,721","3,827",,,,,,,,,,988,"2,839",,,,,,,,,,,,,,,
AEC,24Nov2015,Central,N,"25,503","13,688","17,849","4,161",,,,,,,,,,624,"3,537",,,,,,,,,,,,,,,
AEC,25Nov2015,Central,N,"21,728","11,805","16,235","4,430",,,,,,,,,,"1,202","3,228",,,,,,,,,,,,,,,
AEC,26Nov2015,Central,N,"21,050","10,084","15,932","5,848",,,,,,,,,,"1,796","4,052",,,,,,,,,,,,,,,
AEC,27Nov2015,Central,N,"21,006","9,371","13,221","3,850",,,,,,,,,,"1,635","2,215",,,,,,,,,,,,,,,
AEC,28Nov2015,Central,N,"17,854","9,532","13,693","4,161",,,,,,,,,,"1,437","2,724",,,,,,,,,,,,,,,
AEC,29Nov2015,Central,N,"17,705","9,591","10,622","1,031",,,,,,,,,,"1,188",-157,,,,,,,,,,,,,,,
AEC,30Nov2015,Central,N,,"9,874","10,996","1,122",,,,,,,,,,"1,346",-224,,,,,,,,,,,,,,,
AEC,01Dec2015,Central,N,"18,417","9,896","9,696",-200,,,,,,,,,,"1,540","-1,740",,,,,,,,,,,,,,,
AEC,02Dec2015,Central,N,"18,466","9,986","9,041",-945,,,,,,,,,,"1,128","-2,073",,,,,,,,,,,,,,,
AEC,03Dec2015,Central,N,"21,877","12,418","11,973",-445,,,,,,,,,,"2,310","-2,755",,,,,,,,,,,,,,,
AEC,04Dec2015,Central,N,"23,946","12,832","11,997",-835,,,,,,,,,,"1,916","-2,751",,,,,,,,,,,,,,,
AEC,05Dec2015,Central,N,"22,474","11,630","10,842",-788,,,,,,,,,,"1,177","-1,965",,,,,,,,,,,,,,,
AEC,06Dec2015,Central,N,"20,317","10,652","10,031",-621,,,,,,,,,,306,-927,,,,,,,,,,,,,,,
AEC,07Dec2015,Central,N,"19,936","10,676","10,659",-17,,,,,,,,,,951,-968,,,,,,,,,,,,,,,
AEC,08Dec2015,Central,N,"20,809","11,386","10,714",-672,,,,,,,,,,"1,353","-2,025",,,,,,,,,,,,,,,
AEC,09Dec2015,Central,N,"20,493","11,379","10,191","-1,188",,,,,,,,,,954,"-2,142",,,,,,,,,,,,,,,
AEC,10Dec2015,Central,N,"18,918","10,411","9,680",-731,,,,,,,,,,664,"-1,395",,,,,,,,,,,,,,,
AEC,11Dec2015,Central,N,"18,132","9,771","9,537",-234,,,,,,,,,,806,"-1,040",,,,,,,,,,,,,,,
AEC,12Dec2015,Central,N,"18,002","9,572","8,898",-674,,,,,,,,,,"1,551","-2,225",,,,,,,,,,,,,,,
AEC,13Dec2015,Central,N,"18,091","9,655","8,568","-1,087",,,,,,,,,,"2,601","-3,688",,,,,,,,,,,,,,,
AEC,14Dec2015,Central,N,"18,596","9,878","8,294","-1,584",,,,,,,,,,"2,492","-4,076",,,,,,,,,,,,,,,
AEC,15Dec2015,Central,N,"19,359","10,610","10,772",162,,,,,,,,,,"3,481","-3,319",,,,,,,,,,,,,,,
AEC,16Dec2015,Central,N,"19,110","10,972","10,896",-76,,,,,,,,,,"1,749","-1,825",,,,,,,,,,,,,,,
AEC,17Dec2015,Central,N,"18,762","10,012","10,267",255,,,,,,,,,,"1,344","-1,089",,,,,,,,,,,,,,,
AEC,18Dec2015,Central,N,"23,944","12,473","14,674","2,201",,,,,,,,,,"1,752",449,,,,,,,,,,,,,,,
AEC,19Dec2015,Central,N,"27,965","14,682","17,784","3,102",,,,,,,,,,"1,297","1,805",,,,,,,,,,,,,,,
AEC,20Dec2015,Central,N,"26,034","13,716","16,510","2,794",,,,,,,,,,"1,413","1,381",,,,,,,,,,,,,,,
AEC,21Dec2015,Central,N,"20,865","10,688","13,194","2,506",,,,,,,,,,830,"1,676",,,,,,,,,,,,,,,
AEC,22Dec2015,Central,N,"18,542","9,440","12,470","3,030",,,,,,,,,,550,"2,480",,,,,,,,,,,,,,,
AEC,23Dec2015,Central,N,"18,748","9,682","12,893","3,211",,,,,,,,,,"2,232",979,,,,,,,,,,,,,,,
AEC,24Dec2015,Central,N,"19,368","10,757","13,186","2,429",,,,,,,,,,"1,881",548,,,,,,,,,,,,,,,
AEC,25Dec2015,Central,N,"19,091","10,661","14,088","3,427",,,,,,,,,,"1,306","2,121",,,,,,,,,,,,,,,
AEC,26Dec2015,Central,N,"18,900","9,833","13,687","3,854",,,,,,,,,,610,"3,244",,,,,,,,,,,,,,,
AEC,27Dec2015,Central,N,"18,843","9,590","13,625","4,035",,,,,,,,,,536,"3,499",,,,,,,,,,,,,,,
AEC,28Dec2015,Central,N,"18,795","9,569","13,492","3,923",,,,,,,,,,"1,061","2,862",,,,,,,,,,,,,,,
AEC,29Dec2015,Central,N,"18,143","9,124","13,578","4,454",,,,,,,,,,735,"3,719",,,,,,,,,,,,,,,
AEC,30Dec2015,Central,N,"18,032","9,401","13,317","3,916",,,,,,,,,,"2,134","1,782",,,,,,,,,,,,,,,
AEC,31Dec2015,Central,N,,"9,476","13,273","3,797",,,,,,,,,,"2,678","1,119",,,,,,,,,,,,,,,
AEC,01Jan2016,Central,N,"22,347","11,192","13,702","2,510",,,,,,,,,,"3,437",-927,,,,,,,,,,,,,,,
AEC,02Jan2016,Central,N,"25,477","12,937","14,556","1,619",,,,,,,,,,"3,673","-2,054",,,,,,,,,,,,,,,
AEC,03Jan2016,Central,N,"25,914","12,999","14,666","1,667",,,,,,,,,,"2,476",-809,,,,,,,,,,,,,,,
AEC,04Jan2016,Central,N,"28,149","13,893","16,060","2,167",,,,,,,,,,"1,968",199,,,,,,,,,,,,,,,
AEC,05Jan2016,Central,N,"31,931","16,078","19,978","3,900",,,,,,,,,,"1,645","2,255",,,,,,,,,,,,,,,
AEC,06Jan2016,Central,N,"29,538","14,843","17,542","2,699",,,,,,,,,,"1,350","1,349",,,,,,,,,,,,,,,
AEC,07Jan2016,Central,N,"24,273","13,014","14,615","1,601",,,,,,,,,,"2,595",-994,,,,,,,,,,,,,,,
AEC,08Jan2016,Central,N,"20,013","10,799","13,704","2,905",,,,,,,,,,"2,390",515,,,,,,,,,,,,,,,
AEC,09Jan2016,Central,N,"18,631","10,400","13,597","3,197",,,,,,,,,,"2,789",408,,,,,,,,,,,,,,,
AEC,10Jan2016,Central,N,"24,360","13,584","17,896","4,312",,,,,,,,,,"4,609",-297,,,,,,,,,,,,,,,
AEC,11Jan2016,Central,N,"32,561","17,180","21,331","4,151",,,,,,,,,,"3,513",638,,,,,,,,,,,,,,,
AEC,12Jan2016,Central,N,"30,669","15,940","19,258","3,318",,,,,,,,,,"3,182",136,,,,,,,,,,,,,,,
AEC,13Jan2016,Central,N,"28,970","14,706","16,796","2,090",,,,,,,,,,"3,314","-1,224",,,,,,,,,,,,,,,
AEC,14Jan2016,Central,N,"25,192","14,835","16,820","1,985",,,,,,,,,,"3,766","-1,629",,,,,,,,,,,,,,,
AEC,15Jan2016,Central,N,"21,777","11,916","14,039","2,123",,,,,,,,,,"3,138","-1,015",,,,,,,,,,,,,,,
AEC,16Jan2016,Central,N,"20,974","11,021","13,933","2,912",,,,,,,,,,"3,273",-361,,,,,,,,,,,,,,,
AEC,17Jan2016,Central,N,"24,971","12,698","15,599","2,901",,,,,,,,,,"3,277",-376,,,,,,,,,,,,,,,
AEC,18Jan2016,Central,N,"30,431","15,872","20,427","4,555",,,,,,,,,,"2,238","2,317",,,,,,,,,,,,,,,
AEC,19Jan2016,Central,N,"33,722","17,034","25,419","8,385",,,,,,,,,,"2,176","6,209",,,,,,,,,,,,,,,
AEC,20Jan2016,Central,N,"27,784","14,855","18,665","3,810",,,,,,,,,,"1,107","2,703",,,,,,,,,,,,,,,
AEC,21Jan2016,Central,N,"20,689","11,531","14,204","2,673",,,,,,,,,,"1,308","1,365",,,,,,,,,,,,,,,
AEC,22Jan2016,Central,N,"23,397","13,508","18,796","5,288",,,,,,,,,,"3,583","1,705",,,,,,,,,,,,,,,
AEC,23Jan2016,Central,N,"34,371","18,623","25,502","6,879",,,,,,,,,,"3,090","3,789",,,,,,,,,,,,,,,
AEC,24Jan2016,Central,N,"34,336","17,483","23,829","6,346",,,,,,,,,,"1,559","4,787",,,,,,,,,,,,,,,
AEC,25Jan2016,Central,N,"27,872","15,196","20,845","5,649",,,,,,,,,,840,"4,809",,,,,,,,,,,,,,,
AEC,26Jan2016,Central,N,"21,158","11,411","13,923","2,512",,,,,,,,,,493,"2,019",,,,,,,,,,,,,,,
