BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PGE,18Aug2015,Pacific,N,,"68,174","47,729","-32,344",,,,,,,,,,"-30,159","-2,185",,,,,,,,,,,,,,,
PGE,19Aug2015,Pacific,N,,"71,527","50,125","-34,120",,,,,,,,,,"-31,607","-2,513",,,,,,,,,,,,,,,
PGE,20Aug2015,Pacific,N,,"62,191","42,626","-31,935",,,,,,,,,,"-29,968","-1,967",,,,,,,,,,,,,,,
PGE,21Aug2015,Pacific,N,,"57,377","41,297","-27,699",,,,,,,,,,"-26,004","-1,695",,,,,,,,,,,,,,,
PGE,22Aug2015,Pacific,N,,"53,430","48,267","-18,159",,,,,,,,,,"-16,188","-1,971",,,,,,,,,,,,,,,
PGE,23Aug2015,Pacific,N,,"55,585","49,667","-18,347",,,,,,,,,,"-16,267","-2,080",,,,,,,,,,,,,,,
PGE,24Aug2015,Pacific,N,,"59,481","47,816","-23,081",,,,,,,,,,"-21,010","-2,072",,,,,,,,,,,,,,,
PGE,25Aug2015,Pacific,N,,"59,272","49,504","-21,825",,,,,,,,,,"-19,340","-2,485",,,,,,,,,,,,,,,
PGE,26Aug2015,Pacific,N,,"61,130","50,163","-23,343",,,,,,,,,,"-20,837","-2,506",,,,,,,,,,,,,,,
PGE,27Aug2015,Pacific,N,,"63,052","50,207","-24,981",,,,,,,,,,"-23,037","-1,944",,,,,,,,,,,,,,,
PGE,28Aug2015,Pacific,N,,"61,708","50,910","-22,985",,,,,,,,,,"-20,821","-2,164",,,,,,,,,,,,,,,
PGE,29Aug2015,Pacific,N,,"52,852","39,327","-19,833",,,,,,,,,,"-17,469","-2,364",,,,,,,,,,,,,,,
PGE,30Aug2015,Pacific,N,,"50,072","38,172","-19,559",,,,,,,,,,"-17,182","-2,377",,,,,,,,,,,,,,,
PGE,31Aug2015,Pacific,N,,"55,707","43,328","-23,338",,,,,,,,,,"-21,062","-2,276",,,,,,,,,,,,,,,
PGE,01Sep2015,Pacific,N,,"56,977","43,641","-24,557",,,,,,,,,,"-21,194","-3,363",,,,,,,,,,,,,,,
PGE,02Sep2015,Pacific,N,,"55,359","40,750","-25,522",,,,,,,,,,"-22,292","-3,230",,,,,,,,,,,,,,,
PGE,03Sep2015,Pacific,N,,"53,436","42,923","-20,683",,,,,,,,,,"-17,247","-3,436",,,,,,,,,,,,,,,
PGE,04Sep2015,Pacific,N,,"52,104","44,822","-17,007",,,,,,,,,,"-14,024","-2,983",,,,,,,,,,,,,,,
PGE,05Sep2015,Pacific,N,,"48,216","30,502","-24,101",,,,,,,,,,"-21,247","-2,854",,,,,,,,,,,,,,,
PGE,06Sep2015,Pacific,N,,"47,287","39,257","-18,198",,,,,,,,,,"-15,387","-2,811",,,,,,,,,,,,,,,
PGE,07Sep2015,Pacific,N,,"49,656","43,815","-15,195",,,,,,,,,,"-12,467","-2,728",,,,,,,,,,,,,,,
PGE,08Sep2015,Pacific,N,,"57,209","51,594","-15,448",,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,09Sep2015,Pacific,N,,"58,297","51,969",,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,10Sep2015,Pacific,N,"59,262","60,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,11Sep2015,Pacific,N,"61,999","62,178",,,,,,,,,,,,"-20,180","-2,314",,,,,,,,,,,,,,,
PGE,12Sep2015,Pacific,N,"56,874","59,549","47,540","-22,869",,,,,,,,,,"-19,557","-3,312",,,,,,,,,,,,,,,
PGE,13Sep2015,Pacific,N,,"51,910","35,613","-26,138",,,,,,,,,,"-23,859","-2,279",,,,,,,,,,,,,,,
PGE,14Sep2015,Pacific,N,,"53,281","42,972","-20,511",,,,,,,,,,"-18,113","-2,398",,,,,,,,,,,,,,,
PGE,15Sep2015,Pacific,N,,"53,956","45,041","-18,126",,,,,,,,,,"-14,744","-3,382",,,,,,,,,,,,,,,
PGE,16Sep2015,Pacific,N,,"54,126","47,912","-15,786",,,,,,,,,,"-12,380","-3,406",,,,,,,,,,,,,,,
PGE,17Sep2015,Pacific,N,"52,709","54,151","41,516","-22,618",,,,,,,,,,"-19,451","-3,167",,,,,,,,,,,,,,,
PGE,18Sep2015,Pacific,N,"51,701","53,547","43,421","-20,594",,,,,,,,,,"-17,706","-2,888",,,,,,,,,,,,,,,
PGE,19Sep2015,Pacific,N,"49,179","50,552","39,775","-20,157",,,,,,,,,,"-17,485","-2,672",,,,,,,,,,,,,,,
PGE,20Sep2015,Pacific,N,"49,522","51,095","37,785","-22,713",,,,,,,,,,"-20,271","-2,442",,,,,,,,,,,,,,,
PGE,21Sep2015,Pacific,N,"52,558","54,598","43,551","-21,864",,,,,,,,,,"-19,331","-2,533",,,,,,,,,,,,,,,
PGE,22Sep2015,Pacific,N,"52,481","52,738","42,335","-21,356",,,,,,,,,,"-19,090","-2,266",,,,,,,,,,,,,,,
PGE,23Sep2015,Pacific,N,"53,013","53,516","42,198","-21,749",,,,,,,,,,"-18,242","-3,507",,,,,,,,,,,,,,,
PGE,24Sep2015,Pacific,N,"53,654","53,700","44,960","-19,705",,,,,,,,,,"-16,230","-3,487",,,,,,,,,,,,,,,
PGE,25Sep2015,Pacific,N,"52,339","51,788","40,005","-22,199",,,,,,,,,,"-19,017","-3,182",,,,,,,,,,,,,,,
PGE,26Sep2015,Pacific,N,"47,290","48,044","34,730","-22,145",,,,,,,,,,"-19,358","-2,787",,,,,,,,,,,,,,,
PGE,27Sep2015,Pacific,N,"47,537","47,148","42,134","-16,303",,,,,,,,,,"-13,569","-2,734",,,,,,,,,,,,,,,
PGE,28Sep2015,Pacific,N,"53,500","52,083","43,044","-20,128",,,,,,,,,,"-17,652","-2,476",,,,,,,,,,,,,,,
PGE,29Sep2015,Pacific,N,"54,459","52,903","41,096","-22,410",,,,,,,,,,"-19,750","-2,660",,,,,,,,,,,,,,,
PGE,30Sep2015,Pacific,N,"53,369","52,872","43,722","-19,983",,,,,,,,,,"-17,706","-2,277",,,,,,,,,,,,,,,
PGE,01Oct2015,Pacific,N,"53,496","53,587","41,532","-22,948",,,,,,,,,,"-20,258","-2,690",,,,,,,,,,,,,,,
PGE,02Oct2015,Pacific,N,"51,903","52,160","36,479","-24,847",,,,,,,,,,"-21,189","-3,658",,,,,,,,,,,,,,,
PGE,03Oct2015,Pacific,N,"47,789","48,094","39,395","-18,726",,,,,,,,,,"-15,360","-3,366",,,,,,,,,,,,,,,
PGE,04Oct2015,Pacific,N,"48,162","48,372","41,219","-17,653",,,,,,,,,,"-14,002","-3,651",,,,,,,,,,,,,,,
PGE,05Oct2015,Pacific,N,"53,931","54,327","42,014","-22,992",,,,,,,,,,"-19,316","-3,676",,,,,,,,,,,,,,,
PGE,06Oct2015,Pacific,N,"53,510","53,545","42,444","-21,933",,,,,,,,,,"-18,285","-3,648",,,,,,,,,,,,,,,
PGE,07Oct2015,Pacific,N,"52,903","53,289","37,134","-24,988",,,,,,,,,,"-21,222","-3,766",,,,,,,,,,,,,,,
PGE,08Oct2015,Pacific,N,"53,698","53,655","41,611","-22,039",,,,,,,,,,"-18,285","-3,754",,,,,,,,,,,,,,,
PGE,09Oct2015,Pacific,N,"52,183","52,941","39,243","-22,593",,,,,,,,,,"-18,967","-3,626",,,,,,,,,,,,,,,
PGE,10Oct2015,Pacific,N,"49,561","49,190","33,581","-23,414",,,,,,,,,,"-20,213","-3,201",,,,,,,,,,,,,,,
PGE,11Oct2015,Pacific,N,"47,562","47,870","35,311","-21,273",,,,,,,,,,"-18,049","-3,224",,,,,,,,,,,,,,,
PGE,12Oct2015,Pacific,N,"52,547","53,369","39,826","-23,642",,,,,,,,,,"-20,201","-3,441",,,,,,,,,,,,,,,
PGE,13Oct2015,Pacific,N,"53,004","53,939","38,830","-25,741",,,,,,,,,,"-24,197","-1,544",,,,,,,,,,,,,,,
PGE,14Oct2015,Pacific,N,"53,039","53,716","42,682","-22,057",,,,,,,,,,"-20,082","-1,975",,,,,,,,,,,,,,,
PGE,15Oct2015,Pacific,N,"53,043","54,160","41,897","-22,995",,,,,,,,,,"-20,377","-2,618",,,,,,,,,,,,,,,
PGE,16Oct2015,Pacific,N,"52,550","52,834","38,486","-25,017",,,,,,,,,,"-24,210",-807,,,,,,,,,,,,,,,
PGE,17Oct2015,Pacific,N,"48,524","48,595","32,104","-25,283",,,,,,,,,,"-25,814",531,,,,,,,,,,,,,,,
PGE,18Oct2015,Pacific,N,"47,952","48,137","30,727","-26,730",,,,,,,,,,"-27,645",915,,,,,,,,,,,,,,,
PGE,19Oct2015,Pacific,N,"52,928","53,130","37,157","-25,744",,,,,,,,,,"-24,733","-1,011",,,,,,,,,,,,,,,
PGE,20Oct2015,Pacific,N,"52,471","53,444","38,628","-25,371",,,,,,,,,,"-24,131","-1,240",,,,,,,,,,,,,,,
PGE,21Oct2015,Pacific,N,"52,921","53,890","41,745","-22,706",,,,,,,,,,"-21,430","-1,276",,,,,,,,,,,,,,,
PGE,22Oct2015,Pacific,N,"52,935","53,692","41,641","-22,252",,,,,,,,,,"-20,756","-1,496",,,,,,,,,,,,,,,
PGE,23Oct2015,Pacific,N,"53,637","54,080","44,241","-20,336",,,,,,,,,,"-18,709","-1,627",,,,,,,,,,,,,,,
