BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GVL,21Aug2015,Eastern,N,,,,,,,,,,,,,,-676,"-1,896",,,,,,,,,,,,,,,
GVL,22Aug2015,Eastern,N,,"6,945","4,218","-2,731",,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,23Aug2015,Eastern,N,"6,560","6,958","4,213",,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,24Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,25Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,26Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,27Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,28Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,29Aug2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,30Aug2015,Eastern,N,,,,,,,,,,,,,,573,"-1,214",,,,,,,,,,,,,,,
GVL,31Aug2015,Eastern,N,,"6,262","5,687",-574,,,,,,,,,,666,"-1,242",,,,,,,,,,,,,,,
GVL,01Sep2015,Eastern,N,"6,434","6,440","6,072",-370,,,,,,,,,,,,,,,,,,,,,,,,,,
GVL,02Sep2015,Eastern,N,"7,207","6,466","6,100",,,,,,,,,,,,,,,,,,,,,,,,,,,
