BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,12Feb2019,Eastern,N,"448,858","467,361","401,195","-66,166",0,"141,122","128,965","5,143","77,838",0,"25,526","22,538",,"-28,949","-17,897","35,562","-54,883","37,585","50,681","17,927","29,700","29,276","58,984","8,960","26,318","147,267","16,339","44,204",,1.01,2.15,0,"64,355","5,009","1,598","70,962","39,479","7,727","102,714","401,132","467,299",0.39,0.48
NYIS,13Feb2019,Eastern,N,"432,947","448,395","379,542","-68,853",0,"122,203","127,252","4,823","77,567",0,"27,445","20,195",,"-37,073","-22,546","35,898","-45,126","34,966","48,331","18,612","29,090","27,414","54,246","8,074","25,936","141,368","14,944","45,302",,1.01,2.15,0,"55,769","4,697","1,583","62,050","39,775","7,512","94,312","379,485","448,332",0.36,0.46
NYIS,14Feb2019,Eastern,N,"432,519","437,086","368,709","-68,377",0,"120,474","127,526","1,734","76,247",0,"19,845","22,823",,"-38,933","-19,101","30,739","-41,077","33,818","47,596","16,670","28,206","26,603","52,800","8,001","25,194","139,781","14,744","43,549",,1.01,2.15,0,"55,039","1,690","1,546","58,274","36,046","6,141","88,179","368,649","437,021",0.35,0.44
NYIS,15Feb2019,Eastern,N,"15,116","423,845","366,160","-57,685",0,"105,912","125,839","8,486","77,546",0,"30,577","17,735",,"-36,166","-20,332","32,302","-33,490","32,793","45,375","16,365","27,250","25,652","52,145","7,881","24,548","134,017","14,671","43,022",,1.00,2.15,0,"48,193","8,265","1,579","58,037","33,791","6,551","85,278","366,095","423,781",0.35,0.44
NYIS,16Feb2019,Eastern,N,"397,576","399,493","345,488","-54,005",0,"94,453","125,295","2,431","83,474",0,"17,417","22,366",,"-36,637","-9,989","23,049","-30,426","31,747","44,737","15,527","25,986","24,415","47,979","7,208","23,426","122,681","14,792","40,876",,1.00,2.15,0,"42,910","2,368","1,559","46,837","30,536","4,226","73,147","345,436","399,439",0.30,0.40
NYIS,17Feb2019,Eastern,N,"399,147","403,316","334,916","-68,400",0,"101,109","127,129",720,"77,277",0,"3,252","25,369",,"-39,141","-13,439","19,540","-35,364","31,975","44,567","15,849","25,978","25,194","49,669","7,500","23,009","124,444","15,054","39,956",,1.00,2.15,0,"46,081",701,"1,461","48,244","34,453","3,873","78,823","334,856","403,260",0.32,0.43
NYIS,18Feb2019,Eastern,N,"420,117","435,976","362,325","-73,651",0,"119,883","127,672",0,"74,645",0,"7,747","32,317",,"-38,205","-19,046","27,329","-43,661","35,545","48,865","16,633","29,131","27,515","53,847","7,781","25,246","132,375","15,508","43,411",,1.00,,0,"54,571",0,"1,520","56,091","41,510","5,794","91,807","362,264","435,847",0.34,0.46
NYIS,19Feb2019,Eastern,N,"447,000","453,814","372,493","-81,321",0,"125,952","128,080","4,222","75,505",0,"10,225","28,447",,"-38,665","-15,490","22,363","-49,530","36,533","49,937","17,212","29,714","27,764","54,601","8,162","26,068","143,375","15,769","44,561",,1.00,2.15,0,"57,307","4,108","1,519","62,935","44,187","5,023","102,099","372,431","453,753",0.37,0.50
NYIS,20Feb2019,Eastern,N,"447,846","462,907","388,938","-73,969",0,"135,746","127,655","13,909","80,596",0,"10,761","20,205",,"-37,245","-22,097","27,799","-42,427","37,179","50,130","17,582","29,776","29,042","57,874","8,497","26,424","146,783","15,352","44,151",,1.01,2.15,0,"61,898","13,550","1,500","76,948","41,043","6,660","111,331","388,872","462,842",0.44,0.53
NYIS,21Feb2019,Eastern,N,"416,219","427,322","374,893","-52,429",0,"112,461","126,766",0,"79,731",0,"30,921","24,959",,"-30,323","-14,244","27,259","-35,121","33,966","46,001","16,290","27,786","26,005","51,251","7,266","24,569","137,778","14,329","41,960",,1.01,,0,"51,395",0,"1,646","53,041","31,503","5,085","79,459","374,838","427,267",0.31,0.41
NYIS,22Feb2019,Eastern,N,"415,599","421,860","362,004","-59,856",0,"112,297","126,720","2,287","89,591",0,"6,094","24,952",,"-36,591","-13,840","24,271","-33,698","32,970","45,993","15,909","27,436","25,629","51,370","7,239","23,530","134,984","14,093","42,587",,1.01,2.15,0,"51,203","2,234","1,551","54,989","33,637","4,851","83,775","361,941","421,799",0.33,0.44
NYIS,23Feb2019,Eastern,N,"385,055","400,131","328,520","-71,611",0,"92,116","125,964",0,"74,703",0,"8,533","27,145",,"-38,427","-18,193","26,076","-41,015","31,669","43,151","15,442","25,429","25,245","50,185","7,320","22,279","125,888","14,272","39,135",,1.01,,0,"42,215",0,"1,482","43,697","36,148","4,903","74,942","328,461","400,020",0.29,0.41
NYIS,24Feb2019,Eastern,N,"369,383","394,968","344,081","-50,887",0,"87,969","123,402",955,"80,298",0,"26,049","25,350",,"-20,435","-22,349","27,449","-35,551","31,689","42,666","15,835","24,859","25,161","49,654","7,340","21,610","123,497","14,123","38,419",,1.01,2.15,0,"40,246",930,"1,600","42,776","28,556","4,685","66,647","344,023","394,909",0.27,0.37
NYIS,25Feb2019,Eastern,N,"424,651","441,767","379,031","-62,736",0,"118,546","123,650","4,066","83,616",0,"25,782","23,305",,"-29,814","-21,760","32,492","-43,653","34,130","49,694","16,304","29,183","26,791","53,199","7,749","25,406","139,220","15,165","44,804",,1.01,2.15,0,"54,109","3,959","1,608","59,676","37,125","6,653","90,148","378,965","441,700",0.35,0.45
NYIS,26Feb2019,Eastern,N,"439,138","454,746","385,310","-69,436",0,"133,686","126,496","10,671","78,706",0,"17,472","18,210",,"-35,679","-18,382","38,351","-53,725","35,602","50,252","16,879","29,742","27,685","55,165","8,169","25,985","143,977","15,903","45,266",,1.00,2.15,0,"60,849","10,394","1,511","72,753","43,422","8,986","107,189","385,241","454,676",0.42,0.52
NYIS,27Feb2019,Eastern,N,"452,282","468,948","390,221","-78,727",0,"138,998","127,331","12,032","81,846",0,"3,872","26,077",,"-31,072","-18,577","35,365","-64,442","38,458","51,334","17,197","30,777","29,073","57,593","8,690","27,154","146,740","16,294","45,515",,1.00,2.15,0,"63,300","11,711","1,500","76,510","46,426","8,550","114,387","390,156","468,882",0.43,0.54
NYIS,28Feb2019,Eastern,N,"437,615","453,558","369,512","-84,046",0,"118,112","127,809","4,040","81,079",0,"1,037","37,375",,"-35,226","-18,608","36,539","-66,753","37,373","49,728","16,501","29,859","27,539","54,911","8,182","26,093","143,568","15,467","44,219",,1.00,2.14,0,"53,538","3,925","1,551","59,014","49,976","8,111","100,879","369,452","453,500",0.35,0.49
NYIS,01Mar2019,Eastern,N,"430,732","444,787","366,299","-78,488",0,"129,652","119,969",0,"77,750",0,"2,235","36,628",,"-39,355","-13,691","17,608","-43,074","35,045","46,706","16,837","27,963","27,263","56,453","8,297","24,660","144,308","14,913","42,225",,1.00,,0,"59,023",0,"1,484","60,507","40,000","3,812","96,694","366,234","444,746",0.36,0.48
NYIS,02Mar2019,Eastern,N,"398,066","413,601","343,496","-70,105",0,"108,521","115,084",0,"79,484",0,"3,161","37,182",,"-39,327","-7,622","18,254","-41,409","33,101","43,599","15,558","25,947","26,177","52,819","7,307","22,931","131,932","14,550","39,567",,1.01,,0,"49,516",0,"1,473","50,989","36,533","3,737","83,785","343,432","413,536",0.33,0.45
NYIS,03Mar2019,Eastern,N,"387,252","400,924","324,699","-76,225",0,"88,996","124,363",0,"75,904",0,"2,152","33,221",,"-39,359","-8,338","18,311","-46,836","31,571","44,032","14,907","25,625","24,756","49,585","7,271","22,579","127,285","14,208","38,983",,1.01,,0,"40,664",0,"1,478","42,142","38,602","3,518","77,226","324,636","400,858",0.29,0.42
NYIS,04Mar2019,Eastern,N,"426,805","440,819","353,142","-87,677",0,"101,499","125,397",0,"76,905",0,"13,889","35,393",,"-39,573","-12,163","17,298","-53,246","33,203","48,433","16,297","28,984","26,376","54,660","7,968","24,858","141,496","14,458","43,967",,1.00,,0,"46,195",0,"1,578","47,773","45,302","3,518","89,557","353,083","440,767",0.30,0.45
NYIS,05Mar2019,Eastern,N,"447,513","456,776","365,622","-91,154",0,"107,109","126,454","13,659","77,171",0,"15,069","26,092",,"-38,246","-17,107","17,562","-53,361","35,361","50,578","16,909","30,251","27,479","55,308","8,394","26,319","145,819","14,997","45,240",,1.00,2.15,0,"48,780","13,307","1,535","63,622","48,060","4,098","107,585","365,554","456,706",0.38,0.52
NYIS,06Mar2019,Eastern,N,"455,798","470,853","386,094","-84,759",0,"119,002","126,891","12,676","80,613",0,"18,365","28,478",,"-35,164","-15,648","16,965","-50,910","35,910","51,450","17,748","30,883","28,636","58,009","8,982","27,298","151,133","15,226","45,458",,1.01,2.15,0,"54,309","12,344","1,595","68,248","44,517","3,872","108,893","386,025","470,782",0.39,0.51
NYIS,07Mar2019,Eastern,N,"453,530","470,917","382,028","-88,889",0,"121,703","126,013","7,538","79,472",0,"14,127","33,117",,"-35,099","-20,676","15,459","-48,573","36,463","51,625","17,774","30,288","29,072","57,689","8,830","27,468","150,928","15,474","45,185",,1.01,2.15,0,"55,500","7,345","1,585","64,430","45,716","3,458","106,688","381,970","470,859",0.37,0.50
NYIS,08Mar2019,Eastern,N,"439,489","450,122","357,304","-92,818",0,"111,504","125,212","19,063","80,160",0,"10,296","10,997",,"-39,376","-18,578","15,697","-50,565","34,902","48,955","17,300","28,411","27,655","54,898","8,360","25,856","144,237","15,167","44,264",,1.01,2.15,0,"50,866","18,575","1,422","70,862","46,656","3,915","113,602","357,232","450,054",0.44,0.56
NYIS,09Mar2019,Eastern,N,"397,897","403,772","331,838","-71,934",0,"95,747","125,099","22,690","72,313",0,"10,998","4,918",,"-39,226","-13,697","17,836","-36,851","31,845","44,140","15,061","25,616","24,854","48,748","7,222","23,156","127,330","14,694","40,986",,1.01,2.15,0,"43,879","22,101","1,338","67,318","33,628","4,271","96,675","331,765","403,703",0.45,0.53
NYIS,10Mar2019,Eastern,N,"367,905","392,016","329,555","-62,461",0,"86,597","116,846","19,760","73,898",0,"27,481","4,901",,"-26,067","-18,540","16,419","-34,274","31,598","41,576","14,839","24,749","24,922","49,603","7,100","21,940","122,703","14,023","38,846",,1.01,2.15,0,"39,481","19,247","1,399","60,127","29,101","3,579","85,649","329,483","391,945",0.40,0.48
NYIS,11Mar2019,Eastern,N,"405,991","419,295","345,576","-73,719",0,"105,695","99,869","10,291","80,460",0,"32,361","16,832",,"-32,295","-13,852","13,341","-40,883","32,661","45,325","15,656","27,872","24,163","49,273","6,847","24,027","134,548","14,321","44,481",,1.00,2.15,0,"47,899","10,026","1,439","59,365","34,510","2,921","90,954","345,508","419,197",0.38,0.48
NYIS,12Mar2019,Eastern,N,"414,874","426,132","347,182","-78,950",0,"121,351","100,584",0,"81,420",0,"17,064","26,703",,"-37,535","-11,138","12,826","-43,095","32,959","46,418","16,003","27,462","25,199","51,053","7,104","24,182","137,516","14,143","43,972",,1.01,,0,"55,546",0,"1,416","56,962","35,267","2,666","89,563","347,122","426,064",0.36,0.46
NYIS,13Mar2019,Eastern,N,"410,956","424,655","352,527","-72,128",0,"133,862","100,629","5,809","81,462",0,"8,815","21,893",,"-37,135","-10,317","16,678","-41,358","32,692","45,909","15,908","27,587","25,271","51,168","6,963","24,050","137,522","14,361","43,108",,1.01,2.15,0,"61,257","5,659","1,335","68,251","32,754","3,759","97,245","352,470","424,602",0.43,0.50
NYIS,14Mar2019,Eastern,N,"397,123","403,167","328,213","-74,954",0,"108,687","99,605","4,517","75,331",0,"19,029","20,984",,"-32,948","-12,911","14,749","-43,845","30,760","42,957","15,316","25,411","23,660","48,805","6,336","22,007","132,981","13,810","41,001",,1.01,2.15,0,"49,697","4,400","1,348","55,445","31,314","3,037","83,722","328,153","403,108",0.37,0.46
NYIS,15Mar2019,Eastern,N,"388,361","394,628","315,703","-78,925",0,"105,414","88,256",0,"79,124",0,"31,342","11,509",,"-29,417","-14,115","7,945","-43,336","29,545","40,633","14,903","24,876","23,094","47,836","6,838","20,568","130,524","14,138","41,556",,1.01,,0,"48,066",0,"1,318","49,385","30,341","1,504","78,222","315,645","394,568",0.34,0.44
NYIS,16Mar2019,Eastern,N,"369,748","379,843","283,070","-96,773",0,"84,707","74,783",0,"81,089",0,"31,127","11,301",,"-21,243","-23,207","-2,785","-49,535","29,690","42,686","13,983","24,897","22,156","44,776","7,445","20,724","118,295","13,991","41,077",,1.00,,0,"38,592",0,"1,244","39,835","35,613",437,"75,012","283,007","379,777",0.31,0.44
NYIS,17Mar2019,Eastern,N,"374,595","385,942","275,713","-110,229",0,"91,364","73,912",0,"84,694",0,"15,595","10,090",,"-35,508","-18,112","-7,039","-49,573","30,336","43,683","14,286","24,628","23,405","46,065","7,813","20,942","120,153","14,678","39,828",,1.00,,0,"41,637",0,"1,156","42,792","41,108",19,"83,881","275,655","385,887",0.34,0.48
NYIS,18Mar2019,Eastern,N,"414,216","419,589","299,244","-120,345",0,"127,481","64,445",0,"88,310",0,"8,529","10,419",,"-37,120","-22,509",-417,"-60,293","31,030","46,525","15,941","27,393","24,923","50,412","8,261","22,214","134,932","14,846","42,989",,1.00,,0,"58,021",0,"1,077","59,098","48,879",829,"107,149","299,184","419,523",0.44,0.56
NYIS,19Mar2019,Eastern,N,"412,636","415,063","309,048","-106,015",0,"143,141","64,202",0,"85,992",0,"5,181","10,472",,"-32,966","-24,533","4,833","-53,348","31,498","45,479","15,766","26,855","24,769","49,878","8,189","22,647","133,841","14,162","41,858",,1.01,,0,"65,295",0,"1,040","66,335","43,523","1,513","108,345","308,988","415,002",0.47,0.58
NYIS,20Mar2019,Eastern,N,"398,947","405,318","295,658","-109,660",0,"129,548","64,141",0,"82,787",0,"8,639","10,480",,"-37,564","-25,410","8,381","-55,064","30,106","43,215","15,357","25,745","24,003","48,947","7,804","22,399","132,471","14,018","41,134",,1.00,,0,"58,985",0,"1,041","60,027","45,210","2,245","102,992","295,595","405,252",0.45,0.56
NYIS,21Mar2019,Eastern,N,"398,133","412,089","300,989","-111,100",0,"131,673","64,041",0,"84,667",0,"10,473","10,071",,"-37,083","-22,192","-2,105","-49,745","31,298","43,717","15,675","25,851","24,968","51,524","8,015","22,592","133,776","13,620","40,932",,1.00,,0,"59,826",0,"1,061","60,887","43,392",617,"103,663","300,925","412,050",0.45,0.55
NYIS,22Mar2019,Eastern,N,"393,089","415,350","297,466","-117,884",0,"123,235","61,101",0,"86,329",0,"16,500","10,241",,"-37,993","-25,295",-768,"-53,833","31,826","45,135","15,599","26,534","25,299","50,562","7,557","22,516","133,807","13,936","42,462",,1.01,,0,"56,186",0,"1,092","57,279","42,657",368,"99,568","297,406","415,295",0.42,0.53
NYIS,23Mar2019,Eastern,N,"378,515","393,653","289,465","-104,188",0,"100,202","63,426",0,"80,677",0,"34,641","10,461",,"-25,501","-23,746","-7,906","-47,035","30,512","43,245","14,829","24,744","24,079","48,306","7,565","21,939","123,832","14,116","40,364",,1.01,,0,"45,745",0,"1,187","46,932","36,155",0,"83,087","289,407","393,595",0.36,0.47
NYIS,24Mar2019,Eastern,N,"363,309","374,385","271,542","-102,843",0,"86,913","67,982",0,"81,850",0,"24,285","10,450",,"-31,753","-21,703","-5,573","-43,907","28,584","41,773","14,071","23,648","23,051","45,396","6,673","20,863","117,964","13,431","38,816",,1.00,,0,"39,570",0,"1,158","40,727","36,614",126,"77,215","271,480","374,416",0.33,0.45
NYIS,25Mar2019,Eastern,N,"395,595","398,399","284,607","-113,792",0,"121,615","64,550",0,"78,760",0,"9,539","10,089",,"-35,034","-15,280","-6,888","-56,589","29,144","44,069","14,930","25,387","23,685","48,940","7,011","21,312","129,783","13,547","40,475",,1.00,,0,"55,127",0,"1,022","56,149","41,805",74,"97,880","284,553","398,344",0.44,0.54
NYIS,26Mar2019,Eastern,N,"403,193","407,183","292,052","-115,131",0,"129,991","65,136",0,"78,359",0,"7,748","10,759",,"-37,659","-14,337","-9,130","-54,012","30,135","44,839","15,442","25,976","24,418","48,744","7,570","22,175","131,720","14,332","41,720",,1.00,,0,"59,169",0,"1,016","60,185","42,857",5,"103,037","291,993","407,131",0.45,0.56
NYIS,27Mar2019,Eastern,N,"396,980","407,059","287,088","-119,971",0,"129,109","65,484",0,"77,077",0,"4,752","10,609",,"-34,524","-21,449","-10,707","-53,290","30,043","43,995","15,423","25,777","24,636","49,193","7,582","21,836","132,901","13,903","41,652",,1.01,,0,"59,044",0,990,"60,034","42,322",13,"102,343","287,031","407,001",0.46,0.55
NYIS,28Mar2019,Eastern,N,"392,040","404,631","295,169","-109,462",0,"112,696","64,162",0,"78,562",0,"29,700","9,991",,"-33,217","-26,129","-3,114","-46,997","30,486","43,041","15,163","25,792","24,609","48,796","7,283","22,625","131,634","13,678","41,402",,1.01,,0,"51,427",0,"1,144","52,571","39,354",296,"91,630","295,111","404,568",0.39,0.50
NYIS,29Mar2019,Eastern,N,"380,851","395,234","280,902","-114,332",0,"114,870","64,138",0,"85,737",0,"6,307","9,788",,"-33,848","-21,421","1,054","-60,119","30,303","41,699","14,690","24,409","24,046","49,092","7,020","21,129","129,664","13,094","39,971",,1.00,,0,"52,358",0,"1,041","53,399","44,255",483,"97,170","280,840","395,174",0.42,0.54
NYIS,30Mar2019,Eastern,N,"352,886","356,906","263,422","-93,484",0,"94,757","55,869",0,"84,223",0,"19,057","9,458",,"-31,615","-13,055","-3,894","-44,926","27,498","38,002","13,280","22,682","21,507","43,101","6,096","19,369","115,078","13,175","37,006",,1.00,,0,"43,179",0,"1,057","44,236","31,747",84,"75,899","263,364","356,854",0.37,0.47
NYIS,31Mar2019,Eastern,N,"349,050","363,898","267,609","-96,289",0,"101,259","55,345",0,"82,893",0,"18,793","9,263",,"-30,209","-18,119",225,"-48,194","27,880","39,745","13,659","23,898","22,150","45,136","6,452","19,547","115,241","12,664","37,410",,1.00,,0,"46,122",0,"1,043","47,165","35,576",522,"82,219","267,553","363,850",0.39,0.50
NYIS,01Apr2019,Eastern,N,"389,245","404,557","290,932","-113,625",0,"119,050","61,396",0,"82,133",0,"17,635","10,656",,"-33,611","-24,033","-10,638","-45,597","30,110","44,477","14,838","26,249","24,406","48,472","7,086","22,050","131,674","13,762","41,315",,1.01,,0,"54,305",0,"1,078","55,382","42,150",0,"97,532","290,870","404,749",0.42,0.53
NYIS,02Apr2019,Eastern,N,"387,188","401,551","300,341","-101,210",0,"125,800","68,964","7,686","80,877",0,"14,216","2,721",,"-35,246","-22,314","-1,115","-42,538","30,154","43,645","15,022","25,740","24,808","48,805","6,819","21,778","131,047","13,343","40,269",,1.00,2.15,0,"57,321","7,487","1,046","65,855","38,996",421,"104,430","300,264","401,477",0.48,0.57
NYIS,03Apr2019,Eastern,N,"379,075","389,110","298,281","-90,829",0,"118,362","59,870",0,"81,421",0,"28,008","10,560",,"-30,262","-15,529","-2,657","-42,380","28,860","41,664","14,671","25,359","23,204","46,204","6,866","21,068","128,648","13,240","39,205",,1.01,,0,"53,968",0,"1,128","55,096","33,684",200,"88,580","298,221","389,049",0.41,0.50
NYIS,04Apr2019,Eastern,N,"381,457","389,377","298,681","-90,696",0,"124,807","60,470","1,120","81,776",0,"16,852","13,597",,"-28,328","-10,717","-7,448","-44,204","29,280","42,619","14,537","25,275","23,085","45,529","7,052","21,008","126,966","13,715","40,191",,1.00,2.15,0,"56,597","1,090","1,083","58,770","32,342",243,"90,868","298,622","389,319",0.43,0.51
NYIS,05Apr2019,Eastern,N,"386,858","407,645","312,813","-94,832",0,"118,853","75,235","12,965","83,295",0,"13,106","9,289",,"-28,970","-16,143","-9,373","-40,348","31,354","44,436","15,476","26,300","25,256","50,324","7,258","22,139","130,603","13,761","40,614",,1.00,2.15,0,"54,123","12,631","1,135","67,889","34,576",18,"102,446","312,743","407,577",0.48,0.55
NYIS,06Apr2019,Eastern,N,"345,803","358,681","281,907","-76,774",0,"86,313","88,012","1,171","82,466",0,"10,177","13,711",,"-31,336","-11,997",570,"-34,018","27,656","38,446","13,738","21,944","22,012","43,748","6,147","19,610","117,035","12,918","35,305",,1.00,2.15,0,"39,310","1,141","1,219","41,670","28,406",511,"69,565","281,850","358,631",0.33,0.43
NYIS,07Apr2019,Eastern,N,"332,362","342,894","263,098","-79,796",0,"81,529","87,222","2,251","75,470",0,"4,641","11,921",,"-29,856","-19,881",-576,"-29,482","26,075","36,797","12,610","21,150","20,991","41,304","5,957","17,996","112,880","12,514","34,511",,1.00,2.15,0,"37,105","2,192","1,124","40,422","27,805",273,"67,954","263,034","342,829",0.34,0.44
NYIS,08Apr2019,Eastern,N,"372,100","380,201","315,322","-64,879",0,"109,377","87,778","4,657","81,024",0,"21,327","11,096",,"-27,776","-13,939","-1,666","-21,500","28,544","39,242","14,560","23,749","23,032","45,926","6,050","19,347","128,595","12,975","38,059",,1.00,2.15,0,"49,655","4,531","1,262","55,448","24,302",322,"79,428","315,259","380,140",0.39,0.46
NYIS,09Apr2019,Eastern,N,"370,907","382,374","324,234","-58,140",0,"116,730","91,486","6,419","81,820",0,"12,592","15,124",,"-25,309","-15,339","7,695","-25,192","27,872","39,709","14,746","24,059","22,488","47,834","6,776","19,224","127,521","13,693","38,334",,1.00,2.15,0,"52,960","6,252","1,261","60,472","24,091","1,616","82,947","324,171","382,316",0.41,0.48
NYIS,10Apr2019,Eastern,N,"372,943","383,628","309,488","-74,140",0,"110,668","98,443",0,"81,217",0,"2,754","16,344",,"-29,169","-16,776","5,945","-34,143","28,071","41,300","14,531","24,948","22,439","45,066","6,821","19,930","125,957","13,782","40,662",,1.00,,0,"50,349",0,"1,247","51,595","27,290","1,196","77,689","309,426","383,569",0.37,0.45
NYIS,11Apr2019,Eastern,N,"376,876","394,846","320,353","-74,493",0,"107,116","110,576",0,"79,974",0,"5,566","17,060",,"-28,205","-24,917","4,829","-26,207","28,665","42,852","14,640","26,173","23,729","47,776","7,350","20,461","128,312","13,050","41,729",,1.00,,0,"48,790",0,"1,337","50,127","27,444","1,140","76,431","320,292","394,792",0.35,0.43
NYIS,12Apr2019,Eastern,N,"371,470","383,076","322,225","-60,851",0,"100,698","112,705",0,"67,818",0,"22,090","18,853",,"-19,147","-35,715","5,817","-11,811","27,815","39,586","14,412","24,373","23,634","47,290","7,242","19,372","127,562","12,454","39,219",,1.00,,0,"45,752",0,"1,389","47,141","23,389","1,024","69,506","322,164","383,020",0.32,0.40
NYIS,13Apr2019,Eastern,N,"342,351","345,097","311,226","-33,871",0,"85,306","115,854","5,467","63,867",0,"22,763","17,904",,"-24,395","-6,547","5,397","-8,331","24,360","34,396","13,181","20,879","21,042","43,810","6,636","16,929","118,357","11,794","33,595",,1.00,2.15,0,"38,825","5,325","1,382","45,532","13,825",903,"58,454","311,161","345,037",0.32,0.37
NYIS,14Apr2019,Eastern,N,"334,948","348,911","294,208","-54,703",0,"73,716","112,584",805,"74,872",0,"10,778","21,391",,"-17,707","-23,942","4,553","-17,609","25,791","36,789","12,987","22,466","20,760","42,561","5,990","16,629","116,481","12,177","36,171",,1.00,2.15,0,"33,559",784,"1,377","35,720","20,696",780,"55,637","294,146","348,851",0.27,0.35
NYIS,15Apr2019,Eastern,N,"370,779","384,732","324,625","-60,107",0,"86,914","113,209","4,309","75,095",0,"27,297","17,739",,"-21,377","-23,010","6,285","-22,011","28,869","41,375","13,834","25,550","22,214","46,340","6,551","18,925","127,795","12,662","40,497",,1.01,2.15,0,"39,654","4,197","1,463","45,314","23,026","1,064","67,276","324,563","384,676",0.31,0.39
NYIS,16Apr2019,Eastern,N,"370,940","378,545","326,337","-52,208",0,"85,885","113,600","7,214","84,757",0,"19,987","14,831",,"-22,074","-17,542","8,664","-21,256","28,703","40,917","13,714","24,942","21,779","44,893","6,029","18,904","125,906","12,661","39,976",,1.00,2.15,0,"39,134","7,026","1,462","47,622","21,436","1,488","67,571","326,274","378,482",0.32,0.39
NYIS,17Apr2019,Eastern,N,"366,932","353,112","334,805","-33,596",0,"86,324","118,917","7,791","85,331",0,"6,590","16,552",,"-25,097","-31,252","6,790","-21,619","26,215","37,271","13,137","23,066","20,420","42,276","5,146","16,767","120,257","11,622","36,819",,1.00,2.15,0,"39,307","7,587","1,426","48,320","26,978","1,214","74,084","321,505","392,683",0.33,0.42
NYIS,18Apr2019,Eastern,N,"370,830","377,087","315,166","-61,921",0,"74,201","111,743","9,703","75,981",0,"30,879","12,591",,"-11,891","-35,245","6,482","-21,266","28,718","38,623","14,459","23,880","22,704","47,935","5,898","18,243","126,494","12,202","37,816",,1.01,2.15,0,"33,871","9,468","1,450","44,789","23,126","1,049","66,866","315,098","377,018",0.31,0.39
NYIS,19Apr2019,Eastern,N,"353,224","366,325","295,121","-71,204",0,"73,383","112,134","6,557","74,787",0,"13,024","15,172",,"-22,588","-35,434","5,588","-18,767","27,573","37,114","14,269","22,611","22,282","45,300","5,829","17,038","125,896","11,638","36,661",,1.00,2.15,0,"33,362","6,386","1,349","41,097","26,369","1,014","66,452","295,057","366,258",0.31,0.40
NYIS,20Apr2019,Eastern,N,"336,967","347,640","288,335","-59,305",0,"82,326","114,866",0,"63,277",0,"9,638","18,169",,"-33,937","-7,568","7,435","-25,236","26,837","35,023","13,453","22,339","21,535","45,219","5,723","15,839","115,263","12,215","34,076",,1.00,,0,"37,473",0,"1,292","38,765","21,261","1,272","58,754","288,276","347,582",0.30,0.37
NYIS,21Apr2019,Eastern,N,"323,818","329,326","271,054","-58,272",0,"64,051","110,849",0,"75,083",0,"5,275","15,734",,"-20,964","-26,410","12,417","-23,314","25,004","34,512","12,559","21,009","19,918","40,755","5,306","16,212","108,480","11,462","33,990",,1.01,,0,"29,265",0,"1,298","30,563","21,766","1,887","50,442","270,992","329,263",0.25,0.34
NYIS,22Apr2019,Eastern,N,"362,462","365,800","286,165","-79,635",0,"79,014","112,780",0,"74,144",0,"2,767","17,397",,"-26,978","-25,319","3,056","-30,394","26,612","38,115","14,012","23,613","21,567","46,344","5,706","17,525","123,212","11,676","37,298",,1.00,,0,"35,916",0,"1,299","37,215","27,687",721,"64,181","286,102","365,737",0.29,0.39
NYIS,23Apr2019,Eastern,N,"366,782","367,688","285,855","-81,833",0,"75,968","111,437",0,"70,771",0,"11,657","15,965",,"-23,127","-32,947","5,623","-31,378","26,552","38,736","13,961","24,214","21,606","44,083","5,581","17,284","125,324","11,409","38,814",,1.00,,0,"34,493",0,"1,316","35,809","30,793",976,"65,625","285,798","367,627",0.28,0.39
NYIS,24Apr2019,Eastern,N,"363,595","367,934","303,193","-64,741",0,"72,613","112,103",0,"79,798",0,"21,714","16,893",,"-13,502","-25,556","3,752","-29,439","26,712","39,056","13,371","24,266","20,983","43,206","5,499","18,177","125,452","11,905","39,188",,1.00,,0,"32,922",0,"1,446","34,368","25,095",647,"58,817","303,121","367,866",0.25,0.35
NYIS,25Apr2019,Eastern,N,"354,412","360,822","284,773","-76,049",0,"78,884","111,641","1,208","75,308",0,"1,537","16,132",,"-22,028","-18,992","1,623","-36,652","26,046","37,827","13,380","23,776","21,132","43,491","5,424","17,155","121,982","11,908","38,578",,1.00,2.15,0,"35,941","1,177","1,283","38,401","27,726",565,"65,562","284,710","360,759",0.30,0.40
