BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,31Jul2015,Eastern,N,"562,695","554,313","492,898","-61,415",,,,,,,,,,"-35,777","-13,099","-4,050","-8,493",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,01Aug2015,Eastern,N,"496,615","501,813","430,603","-71,210",,,,,,,,,,"-33,225","-15,843","-9,428","-12,719",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,02Aug2015,Eastern,N,"470,088","488,285","414,976","-73,309",,,,,,,,,,"-30,924","-19,008","-5,357","-18,009",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,03Aug2015,Eastern,N,"542,019","562,275","485,730","-76,545",,,,,,,,,,"-31,409","-30,373","-5,047","-9,721",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,04Aug2015,Eastern,N,"540,693","554,786","474,564","-80,222",,,,,,,,,,"-36,748","-24,447","-2,031","-16,998",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,05Aug2015,Eastern,N,"515,659","521,197","456,774","-64,423",,,,,,,,,,"-35,215","-13,652",342,"-15,896",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,06Aug2015,Eastern,N,"487,754","491,520","425,608","-65,912",,,,,,,,,,"-31,981","-13,831","-8,872","-11,222",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,07Aug2015,Eastern,N,"472,914","489,253","430,375","-58,878",,,,,,,,,,"-30,946","-15,056","-8,647","-4,231",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,08Aug2015,Eastern,N,"435,977","443,254","392,980","-50,274",,,,,,,,,,"-30,417","-14,299","-7,915","2,353",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,09Aug2015,Eastern,N,"431,081","446,223","394,400","-51,823",,,,,,,,,,"-29,072","-16,651","-9,070","2,971",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,10Aug2015,Eastern,N,"490,767","503,906","443,977","-59,929",,,,,,,,,,"-32,788","-20,142","-4,015","-2,981",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,11Aug2015,Eastern,N,"501,712","509,197","450,079","-59,118",,,,,,,,,,"-32,349","-20,702","-2,509","-3,557",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,12Aug2015,Eastern,N,"495,067","503,833","430,836","-72,997",,,,,,,,,,"-34,464","-26,349","-3,020","-9,164",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,13Aug2015,Eastern,N,"482,211","491,658","416,463","-75,195",,,,,,,,,,"-33,546","-25,653","-4,921","-11,073",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,14Aug2015,Eastern,N,"497,475","506,376","433,182","-73,194",,,,,,,,,,"-35,014","-22,401","-7,462","-8,318",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,15Aug2015,Eastern,N,"490,604","506,654","426,979","-79,675",,,,,,,,,,"-36,046","-24,686",-90,"-18,852",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,16Aug2015,Eastern,N,"509,273","520,496","425,949","-94,547",,,,,,,,,,"-36,400","-25,241",-726,"-32,179",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,17Aug2015,Eastern,N,"581,609","597,778","512,141","-85,637",,,,,,,,,,"-39,153","-19,185","10,684","-37,983",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,18Aug2015,Eastern,N,"593,362","595,710","513,631","-82,079",,,,,,,,,,"-38,303","-20,734","17,348","-40,389",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,19Aug2015,Eastern,N,"585,678","596,482","499,204","-97,278",,,,,,,,,,"-38,427","-26,617","14,312","-46,549",,,,,,,,,,,,,,,,,,,,,,,,,,
