BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,11Aug2015,Pacific,N,"25,520","26,422","7,285","-18,823",,,,,,,,,,"-18,298","-1,897",,,,,,,,,,,,,,,
SCL,12Aug2015,Pacific,N,"25,794","25,541","6,373","-18,844",,,,,,,,,,"-18,217","-2,009",,,,,,,,,,,,,,,
SCL,13Aug2015,Pacific,N,"25,340","25,649","7,545","-17,805",,,,,,,,,,"-17,615","-1,611",,,,,,,,,,,,,,,
SCL,14Aug2015,Pacific,N,"25,460","25,051","5,565","-19,185",,,,,,,,,,"-20,303",-293,,,,,,,,,,,,,,,
SCL,15Aug2015,Pacific,N,"23,162","22,526","5,352","-16,889",,,,,,,,,,"-17,584",-590,,,,,,,,,,,,,,,
SCL,16Aug2015,Pacific,N,"23,303","22,574","6,840","-15,424",,,,,,,,,,"-15,351","-1,494",,,,,,,,,,,,,,,
SCL,17Aug2015,Pacific,N,"25,583","25,421","7,481","-17,607",,,,,,,,,,"-17,813","-1,205",,,,,,,,,,,,,,,
SCL,18Aug2015,Pacific,N,"25,676","25,510","7,152","-17,959",,,,,,,,,,"-19,222",-147,,,,,,,,,,,,,,,
SCL,19Aug2015,Pacific,N,"25,698","25,804","6,353","-19,072",,,,,,,,,,"-19,549",-948,,,,,,,,,,,,,,,
SCL,20Aug2015,Pacific,N,"24,620","24,118","4,610","-19,102",,,,,,,,,,"-20,896",397,,,,,,,,,,,,,,,
SCL,21Aug2015,Pacific,N,"24,626","24,497","4,131","-19,923",,,,,,,,,,"-21,195",-94,,,,,,,,,,,,,,,
SCL,22Aug2015,Pacific,N,"23,285","22,894","4,155","-18,293",,,,,,,,,,"-19,100",-495,,,,,,,,,,,,,,,
SCL,23Aug2015,Pacific,N,"23,590","22,965","4,999","-17,565",,,,,,,,,,"-18,177",-660,,,,,,,,,,,,,,,
SCL,24Aug2015,Pacific,N,"25,750","24,625","4,431","-19,791",,,,,,,,,,"-19,895","-1,139",,,,,,,,,,,,,,,
SCL,25Aug2015,Pacific,N,"24,680","24,839","4,809","-19,696",,,,,,,,,,"-19,617","-1,344",,,,,,,,,,,,,,,
SCL,26Aug2015,Pacific,N,"24,266","24,379","4,121","-19,900",,,,,,,,,,"-19,236","-1,937",,,,,,,,,,,,,,,
SCL,27Aug2015,Pacific,N,"24,565","24,837","4,151","-20,317",,,,,,,,,,"-19,207","-2,364",,,,,,,,,,,,,,,
SCL,28Aug2015,Pacific,N,"25,130","25,555","4,277","-20,932",,,,,,,,,,"-19,252","-2,870",,,,,,,,,,,,,,,
SCL,29Aug2015,Pacific,N,"22,989","22,609","4,560","-17,711",,,,,,,,,,"-15,620","-3,199",,,,,,,,,,,,,,,
SCL,30Aug2015,Pacific,N,"22,568","22,168","6,264","-15,569",,,,,,,,,,"-14,863","-1,764",,,,,,,,,,,,,,,
SCL,31Aug2015,Pacific,N,"23,784","24,918","7,717","-16,876",,,,,,,,,,"-15,664","-2,275",,,,,,,,,,,,,,,
SCL,01Sep2015,Pacific,N,"24,760","24,719","7,643","-16,743",,,,,,,,,,"-16,178","-1,567",,,,,,,,,,,,,,,
SCL,02Sep2015,Pacific,N,"23,520","23,438","7,060","-16,046",,,,,,,,,,"-15,667","-1,406",,,,,,,,,,,,,,,
