BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,PJM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
OVEC,19Aug2015,Eastern,N,"2,160","2,148","32,610","30,462",,,,,,,,,,"-9,459","39,921",,,,,,,,,,,,,,,
OVEC,20Aug2015,Eastern,N,"2,208","1,956","31,274","29,318",,,,,,,,,,"-3,468","32,786",,,,,,,,,,,,,,,
OVEC,21Aug2015,Eastern,N,"2,016","1,838","30,559","28,721",,,,,,,,,,"-3,207","31,928",,,,,,,,,,,,,,,
OVEC,22Aug2015,Eastern,N,"1,920","1,813","28,688","26,875",,,,,,,,,,"-1,842","28,717",,,,,,,,,,,,,,,
OVEC,23Aug2015,Eastern,N,"1,896","1,899","27,702","25,803",,,,,,,,,,"1,436","24,367",,,,,,,,,,,,,,,
OVEC,24Aug2015,Eastern,N,"1,968","2,066","32,331","30,265",,,,,,,,,,"-3,172","33,437",,,,,,,,,,,,,,,
OVEC,25Aug2015,Eastern,N,"2,136","1,405","32,825","20,351",,,,,,,,,,"-6,115","36,333",,,,,,,,,,,,,,,
OVEC,26Aug2015,Eastern,N,"1,416","1,341",,"16,500",,,,,,,,,,"-6,814","31,475",,,,,,,,,,,,,,,
OVEC,27Aug2015,Eastern,N,"1,344","1,908","24,276","22,368",,,,,,,,,,"-5,919","28,287",,,,,,,,,,,,,,,
OVEC,28Aug2015,Eastern,N,"1,968","1,988","26,160","24,172",,,,,,,,,,"-5,304","29,476",,,,,,,,,,,,,,,
OVEC,29Aug2015,Eastern,N,"2,064","1,879","25,421","23,542",,,,,,,,,,"-2,374","25,916",,,,,,,,,,,,,,,
OVEC,30Aug2015,Eastern,N,"1,944","2,184","32,457","30,273",,,,,,,,,,-982,"31,255",,,,,,,,,,,,,,,
OVEC,31Aug2015,Eastern,N,"2,256","2,395","39,268","36,873",,,,,,,,,,"-5,770","42,643",,,,,,,,,,,,,,,
