BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,IPCO,LDWP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NEVP,24Nov2017,Pacific,N,"79,079","80,841","65,185","-15,656",,,,,,,,,,"-2,372","1,481","-5,086","-17,007","-8,123","15,451",,,,,,,,,,,,,,,
NEVP,25Nov2017,Pacific,N,"80,720","81,440","66,477","-14,963",,,,,,,,,,"-1,926","2,067","-5,220","-16,637","-10,496","17,249",,,,,,,,,,,,,,,
NEVP,26Nov2017,Pacific,N,"80,152","81,558","67,345","-14,213",,,,,,,,,,"-2,143",963,"-5,550","-12,189","-9,275","13,981",,,,,,,,,,,,,,,
NEVP,27Nov2017,Pacific,N,"83,210","86,656","67,489","-19,167",,,,,,,,,,"-3,165",222,"-6,180","-12,363","-7,175","9,494",,,,,,,,,,,,,,,
NEVP,28Nov2017,Pacific,N,"84,854","86,164","66,431","-19,733",,,,,,,,,,"-3,028","-1,168","-4,783","-11,360","-7,936","8,542",,,,,,,,,,,,,,,
NEVP,29Nov2017,Pacific,N,"84,999","87,201","67,795","-19,406",,,,,,,,,,"-2,072","-1,040","-5,565","-10,892","-8,673","8,836",,,,,,,,,,,,,,,
NEVP,30Nov2017,Pacific,N,"84,306","87,270","71,316","-15,954",,,,,,,,,,"-2,465",841,"-5,295","-11,003","-8,677","10,645",,,,,,,,,,,,,,,
NEVP,01Dec2017,Pacific,N,"85,343","86,461","72,367","-14,094",,,,,,,,,,"-3,124",-335,"-5,373","-8,291","-7,667","10,696",,,,,,,,,,,,,,,
NEVP,02Dec2017,Pacific,N,"83,653","83,001","70,010","-12,991",,,,,,,,,,"-2,598","1,578","-5,521","-9,796","-7,729","11,075",,,,,,,,,,,,,,,
NEVP,03Dec2017,Pacific,N,"82,937","84,135","63,652","-20,483",,,,,,,,,,"-2,481",717,"-6,289","-12,283","-6,470","6,323",,,,,,,,,,,,,,,
NEVP,04Dec2017,Pacific,N,"88,057","90,551","70,352","-20,199",,,,,,,,,,"-2,578","-1,095","-5,242","-11,997","-4,873","5,586",,,,,,,,,,,,,,,
NEVP,05Dec2017,Pacific,N,"89,626","92,005","72,119","-19,886",,,,,,,,,,"-2,475",-121,"-5,444","-13,779","-1,876","3,809",,,,,,,,,,,,,,,
NEVP,06Dec2017,Pacific,N,"89,312","92,067","74,674","-17,393",,,,,,,,,,"-2,582",354,"-4,893","-12,037","-3,448","5,213",,,,,,,,,,,,,,,
NEVP,07Dec2017,Pacific,N,"89,695","91,880","73,939","-17,941",,,,,,,,,,-922,-244,"-5,164","-12,509","-3,049","3,947",,,,,,,,,,,,,,,
NEVP,08Dec2017,Pacific,N,"88,783","91,437","76,683","-14,754",,,,,,,,,,"-1,270","-1,603","-4,347","-9,671","-2,992","5,129",,,,,,,,,,,,,,,
NEVP,09Dec2017,Pacific,N,"85,442","88,636","72,444","-16,192",,,,,,,,,,"-2,709",-893,"-5,918","-8,831","-6,189","8,348",,,,,,,,,,,,,,,
NEVP,10Dec2017,Pacific,N,"84,827","88,381","72,445","-15,936",,,,,,,,,,"-2,047","-1,328","-4,829","-10,088","-5,933","8,289",,,,,,,,,,,,,,,
NEVP,11Dec2017,Pacific,N,"88,152","92,032","80,974","-11,058",,,,,,,,,,"-1,203",-779,"-5,652","-8,369","-5,617","10,562",,,,,,,,,,,,,,,
NEVP,12Dec2017,Pacific,N,"88,818","91,956","79,279","-12,677",,,,,,,,,,0,"-3,080","-6,713","-8,023","-4,924","10,063",,,,,,,,,,,,,,,
NEVP,13Dec2017,Pacific,N,"88,630","90,190","79,265","-10,925",,,,,,,,,,0,"-3,356","-5,650","-7,738","-3,745","9,564",,,,,,,,,,,,,,,
NEVP,14Dec2017,Pacific,N,"89,122","88,335","74,667","-13,668",,,,,,,,,,0,"-1,040","-5,691","-10,528","-5,256","8,847",,,,,,,,,,,,,,,
NEVP,15Dec2017,Pacific,N,"88,335","90,183","73,889","-16,294",,,,,,,,,,"-1,046",565,"-6,327","-11,796","-5,893","8,203",,,,,,,,,,,,,,,
NEVP,16Dec2017,Pacific,N,"86,507","88,947","77,592","-11,355",,,,,,,,,,"-2,455","1,007","-6,209","-10,072","-4,382","10,756",,,,,,,,,,,,,,,
NEVP,17Dec2017,Pacific,N,"86,757","88,659","80,933","-7,726",,,,,,,,,,"-3,015",740,"-5,308","-10,379","-3,438","13,674",,,,,,,,,,,,,,,
NEVP,18Dec2017,Pacific,N,"89,700","92,363","79,158","-13,205",,,,,,,,,,"-2,953",661,"-5,411","-17,114","-5,146","16,758",,,,,,,,,,,,,,,
NEVP,19Dec2017,Pacific,N,"88,916","92,906","76,235","-16,671",,,,,,,,,,"-2,693",328,"-5,558","-18,973","-5,411","15,636",,,,,,,,,,,,,,,
NEVP,20Dec2017,Pacific,N,"89,081","92,658","73,227","-19,431",,,,,,,,,,"-2,737","-1,784","-5,572","-19,203","-3,795","13,660",,,,,,,,,,,,,,,
NEVP,21Dec2017,Pacific,N,"92,172","96,100","76,757","-19,343",,,,,,,,,,"-3,431","-2,569","-4,055","-18,978","-2,954","12,644",,,,,,,,,,,,,,,
NEVP,22Dec2017,Pacific,N,"91,770","96,223","78,209","-18,014",,,,,,,,,,"-2,288","-1,707","-5,083","-17,848","-5,458","14,370",,,,,,,,,,,,,,,
NEVP,23Dec2017,Pacific,N,"89,196","91,483","75,954","-15,529",,,,,,,,,,"-1,954","1,240","-4,893","-17,600","-9,478","17,156",,,,,,,,,,,,,,,
NEVP,24Dec2017,Pacific,N,"86,334","88,550","68,408","-20,142",,,,,,,,,,"-2,294","1,043","-4,444","-19,292","-8,858","13,703",,,,,,,,,,,,,,,
NEVP,25Dec2017,Pacific,N,"83,286","84,944","68,486","-16,458",,,,,,,,,,"-2,121","1,006","-4,010","-17,095","-10,655","16,417",,,,,,,,,,,,,,,
NEVP,26Dec2017,Pacific,N,"86,366","89,980","70,234","-19,746",,,,,,,,,,"-2,334",961,"-4,508","-18,569","-9,839","14,543",,,,,,,,,,,,,,,
NEVP,27Dec2017,Pacific,N,"87,635","91,617","72,981","-18,636",,,,,,,,,,-588,444,"-5,163","-18,277","-8,921","13,869",,,,,,,,,,,,,,,
NEVP,28Dec2017,Pacific,N,"87,699","91,495","75,537","-15,958",,,,,,,,,,-834,993,"-5,244","-15,276","-9,510","13,913",,,,,,,,,,,,,,,
NEVP,29Dec2017,Pacific,N,"86,362","90,476","76,024","-14,452",,,,,,,,,,"-3,162","1,034","-4,326","-14,990","-7,728","14,720",,,,,,,,,,,,,,,
NEVP,30Dec2017,Pacific,N,"83,690","87,299","70,304","-16,995",,,,,,,,,,"-3,447",768,"-3,840","-16,750","-5,335","11,609",,,,,,,,,,,,,,,
NEVP,31Dec2017,Pacific,N,"86,109","86,685","72,162","-14,523",,,,,,,,,,"-2,878",483,"-2,961","-16,142","-5,682","12,657",,,,,,,,,,,,,,,
NEVP,01Jan2018,Pacific,N,"82,973","85,703","72,203","-13,500",,,,,,,,,,"-2,969",714,"-3,656","-14,967","-7,158","14,536",,,,,,,,,,,,,,,
NEVP,02Jan2018,Pacific,N,"85,798","90,340","71,867","-18,473",,,,,,,,,,"-3,345",953,"-4,775","-17,652","-7,848","14,194",,,,,,,,,,,,,,,
NEVP,03Jan2018,Pacific,N,"86,350","89,811","74,450","-15,361",,,,,,,,,,"-2,798","1,161","-4,690","-17,067","-9,150","17,183",,,,,,,,,,,,,,,
NEVP,04Jan2018,Pacific,N,"87,052","88,411","71,464","-16,947",,,,,,,,,,"-2,437",466,"-4,500","-17,479","-8,579","15,582",,,,,,,,,,,,,,,
NEVP,05Jan2018,Pacific,N,"85,994","87,650","70,120","-17,530",,,,,,,,,,"-2,003",476,"-5,274","-18,308","-7,295","14,874",,,,,,,,,,,,,,,
NEVP,06Jan2018,Pacific,N,"83,763","85,231","70,285","-14,946",,,,,,,,,,"-2,116",525,"-4,994","-16,537","-6,710","14,886",,,,,,,,,,,,,,,
NEVP,07Jan2018,Pacific,N,"83,135","84,760","75,428","-9,332",,,,,,,,,,"-1,875",255,"-4,208","-13,871","-7,197","17,564",,,,,,,,,,,,,,,
NEVP,08Jan2018,Pacific,N,"86,804","89,450","73,404","-16,046",,,,,,,,,,"-2,781","-1,420","-5,488","-15,979","-6,327","15,949",,,,,,,,,,,,,,,
NEVP,09Jan2018,Pacific,N,"86,586","89,860","69,764","-20,096",,,,,,,,,,"-1,848","1,124","-6,041","-20,355","-5,073","12,097",,,,,,,,,,,,,,,
NEVP,10Jan2018,Pacific,N,"86,419","88,461","73,484","-14,977",,,,,,,,,,"-2,059","1,101","-4,830","-18,364","-4,056","13,231",,,,,,,,,,,,,,,
NEVP,11Jan2018,Pacific,N,"87,170","88,700","76,161","-12,539",,,,,,,,,,"-2,647","1,320","-4,233","-16,837","-6,121","15,979",,,,,,,,,,,,,,,
NEVP,12Jan2018,Pacific,N,"86,531","87,994","74,329","-13,665",,,,,,,,,,"-3,069","1,203","-4,445","-17,022","-5,757","15,425",,,,,,,,,,,,,,,
NEVP,13Jan2018,Pacific,N,"83,639","84,970","69,562","-15,408",,,,,,,,,,"-2,843",829,"-5,379","-13,648","-8,592","14,225",,,,,,,,,,,,,,,
NEVP,14Jan2018,Pacific,N,"83,484","83,932","70,114","-13,818",,,,,,,,,,"-2,709",731,"-4,698","-12,572","-9,271","14,701",,,,,,,,,,,,,,,
NEVP,15Jan2018,Pacific,N,"85,080","85,355","72,188","-13,167",,,,,,,,,,"-2,897",893,"-3,919","-13,979","-8,922","15,657",,,,,,,,,,,,,,,
NEVP,16Jan2018,Pacific,N,"86,126","86,497","69,544","-16,953",,,,,,,,,,"-2,830",808,"-4,891","-15,569","-9,234","14,763",,,,,,,,,,,,,,,
NEVP,17Jan2018,Pacific,N,"85,789","86,883","67,783","-19,100",,,,,,,,,,"-2,599","1,080","-4,851","-20,990","-6,044","14,304",,,,,,,,,,,,,,,
NEVP,18Jan2018,Pacific,N,"86,073","86,718","66,950","-19,768",,,,,,,,,,"-3,605",222,"-3,748","-21,073","-4,492","12,928",,,,,,,,,,,,,,,
NEVP,19Jan2018,Pacific,N,"85,625","88,052","67,475","-20,577",,,,,,,,,,"-2,684",616,"-3,918","-22,508","-5,320","13,237",,,,,,,,,,,,,,,
NEVP,20Jan2018,Pacific,N,"85,451","87,670","66,362","-21,308",,,,,,,,,,"-1,626",367,"-3,940","-23,724","-5,972","13,587",,,,,,,,,,,,,,,
NEVP,21Jan2018,Pacific,N,"86,011","88,863","68,817","-20,046",,,,,,,,,,"-2,049",724,"-4,075","-22,441","-7,050","14,845",,,,,,,,,,,,,,,
NEVP,22Jan2018,Pacific,N,"89,114","91,977","69,932","-22,045",,,,,,,,,,"-2,514",611,"-4,661","-20,894","-6,763","12,176",,,,,,,,,,,,,,,
NEVP,23Jan2018,Pacific,N,"88,524","91,176","70,147","-21,029",,,,,,,,,,"-2,410",-321,"-4,473","-23,273","-7,233","16,681",,,,,,,,,,,,,,,
NEVP,24Jan2018,Pacific,N,"87,896","90,001","69,511","-20,490",,,,,,,,,,"-2,524","1,544","-5,010","-25,758","-7,482","18,740",,,,,,,,,,,,,,,
NEVP,25Jan2018,Pacific,N,"88,503","90,832","71,930","-18,902",,,,,,,,,,"-2,868","1,500","-4,876","-24,905","-7,930","20,177",,,,,,,,,,,,,,,
NEVP,26Jan2018,Pacific,N,"89,022","90,125","75,766","-14,359",,,,,,,,,,"-3,226",548,"-5,076","-24,894","-7,296","25,585",,,,,,,,,,,,,,,
NEVP,27Jan2018,Pacific,N,"85,562","86,844","73,458","-13,386",,,,,,,,,,"-3,086","-1,445","-3,905","-19,313","-5,541","19,904",,,,,,,,,,,,,,,
NEVP,28Jan2018,Pacific,N,"82,784","83,244","68,335","-14,909",,,,,,,,,,"-2,074",-181,"-3,753","-19,854","-5,030","15,983",,,,,,,,,,,,,,,
NEVP,29Jan2018,Pacific,N,"85,261","86,471","65,367","-21,104",,,,,,,,,,"-1,739",-268,"-4,592","-23,120","-7,906","16,521",,,,,,,,,,,,,,,
NEVP,30Jan2018,Pacific,N,"84,369","85,726","65,039","-20,687",,,,,,,,,,"-1,600",64,"-6,250","-21,158","-9,425","17,682",,,,,,,,,,,,,,,
NEVP,31Jan2018,Pacific,N,"84,157","84,339","65,956","-18,383",,,,,,,,,,"-2,552",-71,"-3,554","-21,238","-6,871","15,903",,,,,,,,,,,,,,,
NEVP,01Feb2018,Pacific,N,"83,714","84,172","64,468","-19,704",,,,,,,,,,"-2,208",-753,"-3,793","-22,991","-6,370","16,411",,,,,,,,,,,,,,,
NEVP,02Feb2018,Pacific,N,"83,440","83,990","62,588","-21,402",,,,,,,,,,"-2,052",-456,"-5,279","-22,860","-7,496","16,741",,,,,,,,,,,,,,,
NEVP,03Feb2018,Pacific,N,"80,446","80,640","58,001","-22,639",,,,,,,,,,"-2,534","-1,301","-5,528","-20,578","-6,170","13,472",,,,,,,,,,,,,,,
NEVP,04Feb2018,Pacific,N,"79,640","79,557","59,321","-20,236",,,,,,,,,,"-1,696",-761,"-4,635","-21,998","-5,811","14,665",,,,,,,,,,,,,,,
NEVP,05Feb2018,Pacific,N,"83,165","83,794","62,339","-21,455",,,,,,,,,,"-1,484","-1,269","-4,253","-20,620","-5,181","11,352",,,,,,,,,,,,,,,
NEVP,06Feb2018,Pacific,N,"82,887","84,126","64,902","-19,224",,,,,,,,,,"-2,163","-2,325","-5,264","-18,558","-3,546","12,632",,,,,,,,,,,,,,,
NEVP,07Feb2018,Pacific,N,"82,722","83,869","68,319","-15,550",,,,,,,,,,"-1,473","-1,434","-3,952","-19,903","-4,870","16,082",,,,,,,,,,,,,,,
NEVP,08Feb2018,Pacific,N,"82,555","84,258","68,839","-15,419",,,,,,,,,,"-1,667","-2,133","-4,332","-17,828","-3,929","14,470",,,,,,,,,,,,,,,
NEVP,09Feb2018,Pacific,N,"82,191","83,646","69,201","-14,445",,,,,,,,,,"-1,802",-232,"-4,485","-19,480","-2,836","14,390",,,,,,,,,,,,,,,
NEVP,10Feb2018,Pacific,N,"80,372","81,461","66,677","-14,784",,,,,,,,,,"-2,045",-24,"-4,776","-20,261","-1,331","13,653",,,,,,,,,,,,,,,
NEVP,11Feb2018,Pacific,N,"80,531","82,838","69,153","-13,685",,,,,,,,,,"-2,576",142,"-4,006","-17,003","-3,990","13,748",,,,,,,,,,,,,,,
NEVP,12Feb2018,Pacific,N,"84,553","87,494","72,705","-14,789",,,,,,,,,,"-1,492",-51,"-5,011","-17,570","-3,336","12,671",,,,,,,,,,,,,,,
NEVP,13Feb2018,Pacific,N,"85,046","85,809","73,611","-12,198",,,,,,,,,,"-1,734",320,"-3,991","-16,018","-5,427","14,652",,,,,,,,,,,,,,,
NEVP,14Feb2018,Pacific,N,"84,970","86,596","71,068","-15,528",,,,,,,,,,"-3,421",-478,"-5,358","-15,678","-5,701","15,108",,,,,,,,,,,,,,,
NEVP,15Feb2018,Pacific,N,"84,606","86,473","69,309","-17,164",,,,,,,,,,"-2,696",-983,"-4,823","-15,413","-4,493","11,244",,,,,,,,,,,,,,,
NEVP,16Feb2018,Pacific,N,"84,743","86,852","71,746","-15,106",,,,,,,,,,"-2,673",-675,"-4,661","-16,474","-6,086","15,463",,,,,,,,,,,,,,,
NEVP,17Feb2018,Pacific,N,"80,742","83,614","70,524","-13,090",,,,,,,,,,"-3,132",205,"-4,843","-18,468","-6,214","19,362",,,,,,,,,,,,,,,
NEVP,18Feb2018,Pacific,N,"79,593","82,489","66,094","-16,395",,,,,,,,,,"-2,948",-552,"-4,852","-18,342","-4,934","15,233",,,,,,,,,,,,,,,
NEVP,19Feb2018,Pacific,N,"85,223","89,575","73,354","-16,221",,,,,,,,,,"-3,071","-1,085","-5,195","-22,295","-3,027","18,452",,,,,,,,,,,,,,,
NEVP,20Feb2018,Pacific,N,"88,339","92,347","73,476","-18,871",,,,,,,,,,"-3,093","-2,319","-5,549","-21,087","-4,352","17,529",,,,,,,,,,,,,,,
NEVP,21Feb2018,Pacific,N,"89,942","91,408","70,493","-20,915",,,,,,,,,,"-3,067","-1,866","-5,990","-22,633","-6,333","18,974",,,,,,,,,,,,,,,
NEVP,22Feb2018,Pacific,N,"89,623","92,973","68,785","-24,188",,,,,,,,,,"-3,621","-2,178","-5,884","-22,842","-5,953","16,290",,,,,,,,,,,,,,,
NEVP,23Feb2018,Pacific,N,"89,187","93,009","72,659","-20,350",,,,,,,,,,"-3,258","-1,865","-5,955","-21,480","-6,219","18,427",,,,,,,,,,,,,,,
NEVP,24Feb2018,Pacific,N,"85,931","90,289","70,520","-19,769",,,,,,,,,,"-3,427","-2,514","-5,782","-19,047","-4,143","15,144",,,,,,,,,,,,,,,
NEVP,25Feb2018,Pacific,N,"84,054","86,370","68,427","-17,943",,,,,,,,,,"-3,198","-2,244","-5,942","-19,830","-4,292","17,563",,,,,,,,,,,,,,,
NEVP,26Feb2018,Pacific,N,"87,169","90,613","74,160","-16,453",,,,,,,,,,"-3,035","-1,480","-5,595","-19,303","-4,693","17,653",,,,,,,,,,,,,,,
NEVP,27Feb2018,Pacific,N,"87,952","90,168","73,735","-16,433",,,,,,,,,,"-2,632","-1,636","-5,572","-20,497","-4,889","18,793",,,,,,,,,,,,,,,
NEVP,28Feb2018,Pacific,N,"86,857","89,361","76,909","-12,452",,,,,,,,,,"-3,110","-1,888","-3,737","-17,333","-4,432","18,048",,,,,,,,,,,,,,,
NEVP,01Mar2018,Pacific,N,"86,064","88,575","74,151","-14,424",,,,,,,,,,"-3,114","-3,196","-1,229","-15,562","-3,956","12,633",,,,,,,,,,,,,,,
NEVP,02Mar2018,Pacific,N,"85,441","86,602","72,077","-14,525",,,,,,,,,,"-1,941","-3,553",0,"-16,045","-3,964","10,978",,,,,,,,,,,,,,,
NEVP,03Mar2018,Pacific,N,"83,717","83,708","69,913","-13,795",,,,,,,,,,"-2,252","-3,419",0,"-15,188","-3,306","10,370",,,,,,,,,,,,,,,
NEVP,04Mar2018,Pacific,N,"84,147","83,909","66,008","-17,901",,,,,,,,,,"-2,824","-3,200",0,"-19,477","-3,061","10,661",,,,,,,,,,,,,,,
NEVP,05Mar2018,Pacific,N,"86,202","87,544","68,077","-19,467",,,,,,,,,,"-2,789","-3,060",0,"-18,553","-4,479","9,414",,,,,,,,,,,,,,,
NEVP,06Mar2018,Pacific,N,"83,980","86,584","69,047","-17,537",,,,,,,,,,"-2,509","-3,578",0,"-17,160","-4,763","10,473",,,,,,,,,,,,,,,
NEVP,07Mar2018,Pacific,N,"83,404","87,061","68,745","-18,316",,,,,,,,,,"-2,652","-4,530",0,"-11,432","-8,152","8,450",,,,,,,,,,,,,,,
NEVP,08Mar2018,Pacific,N,"81,330","85,554","64,828","-20,726",,,,,,,,,,"-2,787","-4,377",0,"-13,905","-4,573","4,916",,,,,,,,,,,,,,,
NEVP,09Mar2018,Pacific,N,"81,596","83,983","65,143","-18,840",,,,,,,,,,"-1,992","-4,064",0,"-13,975","-3,778","4,969",,,,,,,,,,,,,,,
NEVP,10Mar2018,Pacific,N,"82,706","82,460","67,403","-14,526",,,,,,,,,,"-3,222","-4,404",0,"-10,609","-7,466","10,670",,,,,,,,,,,,,,,
NEVP,11Mar2018,Pacific,N,,"78,043","65,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEVP,12Mar2018,Pacific,N,"83,682","83,159","70,708","-12,451",,,,,,,,,,"-2,752","-3,988",0,"-16,650","-1,950","12,889",,,,,,,,,,,,,,,
NEVP,13Mar2018,Pacific,N,"80,997","83,951","71,479","-12,472",,,,,,,,,,"-2,180","-3,784",0,"-16,240","-5,000","14,732",,,,,,,,,,,,,,,
NEVP,14Mar2018,Pacific,N,"83,138","84,093","67,653","-16,440",,,,,,,,,,"-1,666","-3,468",0,"-18,501","-2,472","9,667",,,,,,,,,,,,,,,
NEVP,15Mar2018,Pacific,N,"81,616","85,059","66,691","-18,368",,,,,,,,,,"-1,628","-4,366",0,"-15,596","-2,620","5,842",,,,,,,,,,,,,,,
NEVP,16Mar2018,Pacific,N,"81,849","85,734","69,935","-15,799",,,,,,,,,,"-3,347","-3,481",0,"-12,402","-5,735","9,166",,,,,,,,,,,,,,,
NEVP,17Mar2018,Pacific,N,"82,711","83,486","68,450","-15,036",,,,,,,,,,"-3,270","-3,300",0,"-12,325","-4,777","8,636",,,,,,,,,,,,,,,
NEVP,18Mar2018,Pacific,N,"81,013","81,906","66,058","-15,848",,,,,,,,,,"-2,843","-3,465",0,"-12,057","-5,452","7,969",,,,,,,,,,,,,,,
NEVP,19Mar2018,Pacific,N,"83,350","84,242","68,023","-16,219",,,,,,,,,,"-2,888","-4,040",0,"-12,458","-6,105","9,272",,,,,,,,,,,,,,,
NEVP,20Mar2018,Pacific,N,"81,173","84,953","70,136","-14,817",,,,,,,,,,"-3,488",994,0,"-18,529","-8,902","15,108",,,,,,,,,,,,,,,
NEVP,21Mar2018,Pacific,N,"82,033","84,398","68,545","-15,853",,,,,,,,,,"-2,509",19,0,"-18,511","-7,509","12,657",,,,,,,,,,,,,,,
NEVP,22Mar2018,Pacific,N,"85,247","85,307","69,587","-15,720",,,,,,,,,,"-3,463",-460,0,"-15,614","-3,142","6,959",,,,,,,,,,,,,,,
NEVP,23Mar2018,Pacific,N,"80,330","84,052","63,690","-20,362",,,,,,,,,,"-2,624","-1,069",0,"-19,131",-640,"3,102",,,,,,,,,,,,,,,
NEVP,24Mar2018,Pacific,N,"78,560","80,668","63,520","-17,148",,,,,,,,,,"-3,255","-1,278",0,"-19,751",971,"6,165",,,,,,,,,,,,,,,
NEVP,25Mar2018,Pacific,N,"81,235","80,219","63,596","-16,623",,,,,,,,,,"-2,874",-408,0,"-21,212","1,893","5,978",,,,,,,,,,,,,,,
NEVP,26Mar2018,Pacific,N,"84,170","83,842","67,593","-16,249",,,,,,,,,,"-3,610",-671,0,"-21,777","1,697","8,112",,,,,,,,,,,,,,,
NEVP,27Mar2018,Pacific,N,"80,204","83,739","68,985","-14,754",,,,,,,,,,"-3,250",-95,0,"-18,267","-1,693","8,551",,,,,,,,,,,,,,,
NEVP,28Mar2018,Pacific,N,"80,756","83,690","68,021","-15,669",,,,,,,,,,"-2,198",-732,0,"-18,502","-2,605","8,368",,,,,,,,,,,,,,,
NEVP,29Mar2018,Pacific,N,"82,905","83,532","67,133","-16,399",,,,,,,,,,"-2,316",-655,0,"-20,298","-4,516","11,386",,,,,,,,,,,,,,,
NEVP,30Mar2018,Pacific,N,"81,747","83,446","68,689","-14,757",,,,,,,,,,"-2,608",-756,0,"-18,649","-3,657","10,913",,,,,,,,,,,,,,,
NEVP,31Mar2018,Pacific,N,"79,918","82,705","66,192","-16,513",,,,,,,,,,"-2,481","-1,213",0,"-17,552","-4,698","9,431",,,,,,,,,,,,,,,
NEVP,01Apr2018,Pacific,N,"79,242","83,050","64,089","-18,961",,,,,,,,,,"-2,070","-1,851",0,"-20,171","-3,401","8,532",,,,,,,,,,,,,,,
NEVP,02Apr2018,Pacific,N,"81,863","87,386","67,359","-20,027",,,,,,,,,,"-2,687","-1,698",0,"-20,228","-1,887","6,473",,,,,,,,,,,,,,,
NEVP,03Apr2018,Pacific,N,"79,281","84,717","70,505","-14,212",,,,,,,,,,"-2,845",-454,0,"-19,951","-3,548","12,586",,,,,,,,,,,,,,,
NEVP,04Apr2018,Pacific,N,"84,245","84,063","66,265","-17,798",,,,,,,,,,"-3,244","-1,120",0,"-19,534","-3,417","9,517",,,,,,,,,,,,,,,
NEVP,05Apr2018,Pacific,N,"84,633","88,577","68,221","-20,356",,,,,,,,,,"-2,583","-1,324",0,"-22,354","-3,698","9,603",,,,,,,,,,,,,,,
NEVP,06Apr2018,Pacific,N,"91,905","92,503","72,830","-19,673",,,,,,,,,,"-3,193",-649,"-1,259","-22,259","-5,007","12,694",,,,,,,,,,,,,,,
NEVP,07Apr2018,Pacific,N,"89,287","92,495","68,970","-23,525",,,,,,,,,,"-3,443","-1,730","-4,737","-22,451","-4,194","13,030",,,,,,,,,,,,,,,
NEVP,08Apr2018,Pacific,N,"81,384","85,519","62,681","-22,838",,,,,,,,,,"-3,565","-1,293","-5,755","-18,929","-6,630","13,334",,,,,,,,,,,,,,,
NEVP,09Apr2018,Pacific,N,"85,276","87,263","69,791","-17,472",,,,,,,,,,"-3,628","-2,631","-3,684","-17,427","-5,365","15,263",,,,,,,,,,,,,,,
NEVP,10Apr2018,Pacific,N,"90,996","90,257","68,558","-21,699",,,,,,,,,,"-3,399","-4,001","-4,382","-17,994","-6,098","14,175",,,,,,,,,,,,,,,
NEVP,11Apr2018,Pacific,N,"90,450","95,600","69,534","-26,066",,,,,,,,,,"-2,300","-3,727","-3,505","-20,491","-6,723","10,680",,,,,,,,,,,,,,,
NEVP,12Apr2018,Pacific,N,"82,074","86,021","67,239","-18,782",,,,,,,,,,"-2,909","-3,314","-5,235","-15,500","-5,501","13,677",,,,,,,,,,,,,,,
NEVP,13Apr2018,Pacific,N,"81,535","82,964","67,609","-15,355",,,,,,,,,,"-3,724","-2,944","-6,186","-12,490","-4,459","14,448",,,,,,,,,,,,,,,
NEVP,14Apr2018,Pacific,N,"78,571","81,131","62,348","-18,783",,,,,,,,,,"-2,605","-3,442","-3,662","-10,392","-6,767","8,085",,,,,,,,,,,,,,,
NEVP,15Apr2018,Pacific,N,"80,974","81,854","64,339","-17,515",,,,,,,,,,"-3,189","-2,412","-3,886","-11,251","-6,729","9,952",,,,,,,,,,,,,,,
NEVP,16Apr2018,Pacific,N,"85,563","86,698","69,363","-17,335",,,,,,,,,,"-3,190","-3,503","-7,048","-10,027","-5,298","11,731",,,,,,,,,,,,,,,
NEVP,17Apr2018,Pacific,N,"80,109","83,568","63,761","-19,807",,,,,,,,,,"-3,869","-3,622","-7,229","-10,392","-5,191","10,496",,,,,,,,,,,,,,,
NEVP,18Apr2018,Pacific,N,"81,499","84,399","67,384","-17,015",,,,,,,,,,"-3,959","-2,260","-6,080","-12,646","-4,101","12,031",,,,,,,,,,,,,,,
NEVP,19Apr2018,Pacific,N,"79,370","83,435","64,933","-18,502",,,,,,,,,,"-3,767","-2,344","-6,080","-12,898","-2,214","8,801",,,,,,,,,,,,,,,
NEVP,20Apr2018,Pacific,N,"80,179","84,849","63,158","-21,691",,,,,,,,,,"-3,378","-2,477","-5,675","-15,445",-559,"5,843",,,,,,,,,,,,,,,
NEVP,21Apr2018,Pacific,N,"81,100","85,588","66,596","-18,992",,,,,,,,,,"-2,822","-2,179","-5,680","-13,253","-4,327","9,269",,,,,,,,,,,,,,,
NEVP,22Apr2018,Pacific,N,"88,111","89,178","71,785","-17,393",,,,,,,,,,"-3,234","-2,212","-4,673","-11,696","-5,750","10,172",,,,,,,,,,,,,,,
NEVP,23Apr2018,Pacific,N,"95,701","97,479","73,009","-24,470",,,,,,,,,,"-3,393","-2,462","-5,953","-13,849","-5,276","6,463",,,,,,,,,,,,,,,
NEVP,24Apr2018,Pacific,N,"92,359","96,628","72,890","-23,738",,,,,,,,,,"-3,730","-4,017","-5,943","-13,230","-3,475","6,657",,,,,,,,,,,,,,,
NEVP,25Apr2018,Pacific,N,"94,777","97,583","70,047","-27,536",,,,,,,,,,"-3,357","-3,870","-6,432","-14,622","-4,598","5,343",,,,,,,,,,,,,,,
