BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,IPCO,LDWP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NEVP,02Aug2015,Pacific,N,"124,620","122,702","112,598","-10,016",,,,,,,,,,"-3,512","-5,182",763,"-6,525","-5,016","9,456",,,,,,,,,,,,,,,
NEVP,03Aug2015,Pacific,N,"130,687","132,455","116,323","-16,032",,,,,,,,,,"-4,173","-5,993",62,"-6,658","-6,793","7,523",,,,,,,,,,,,,,,
NEVP,04Aug2015,Pacific,N,"130,921","131,113","118,647","-12,368",,,,,,,,,,"-3,390","-6,522",-466,"-5,536","-6,575","10,121",,,,,,,,,,,,,,,
NEVP,05Aug2015,Pacific,N,"132,028","132,873","120,523","-12,250",,,,,,,,,,"-1,689","-6,992",-589,"-5,400","-6,618","9,038",,,,,,,,,,,,,,,
NEVP,06Aug2015,Pacific,N,"132,565","128,210","116,819","-11,281",,,,,,,,,,"-1,630","-6,711",-880,"-4,191","-5,885","8,016",,,,,,,,,,,,,,,
NEVP,07Aug2015,Pacific,N,"125,728","120,246","106,666","-13,477",,,,,,,,,,"-1,532","-7,355",-898,"-5,522","-5,140","6,970",,,,,,,,,,,,,,,
NEVP,08Aug2015,Pacific,N,"116,637","115,857","103,246","-12,483",,,,,,,,,,-719,"-5,934","-1,514","-6,027","-6,898","8,609",,,,,,,,,,,,,,,
NEVP,09Aug2015,Pacific,N,"117,377","117,890","104,217","-13,561",,,,,,,,,,-855,"-6,451","-1,674","-7,833","-5,549","8,801",,,,,,,,,,,,,,,
NEVP,10Aug2015,Pacific,N,"123,643","128,546","115,616","-12,801",,,,,,,,,,-431,"-7,477","-1,059","-7,789","-2,647","6,602",,,,,,,,,,,,,,,
NEVP,11Aug2015,Pacific,N,"127,187","127,186","114,917","-12,157",,,,,,,,,,-330,"-6,467",-71,"-9,382","-1,714","5,807",,,,,,,,,,,,,,,
NEVP,12Aug2015,Pacific,N,"127,275","130,446","116,090","-14,237",,,,,,,,,,111,"-6,168",157,"-10,250","-2,629","4,542",,,,,,,,,,,,,,,
