BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GRMA,18Aug2015,Arizona,Y,,,"27,248","27,248",,,,,,,,,,"35,189",,,,,,,,,,,,,,,
GRMA,19Aug2015,Arizona,Y,,,"31,907","31,907",,,,,,,,,,"31,907",,,,,,,,,,,,,,,
GRMA,20Aug2015,Arizona,Y,,,"27,084","27,084",,,,,,,,,,"27,084",,,,,,,,,,,,,,,
GRMA,21Aug2015,Arizona,Y,,,"30,535","30,535",,,,,,,,,,"30,535",,,,,,,,,,,,,,,
GRMA,22Aug2015,Arizona,Y,,,"28,244","28,244",,,,,,,,,,"28,244",,,,,,,,,,,,,,,
GRMA,23Aug2015,Arizona,Y,,,"22,619","22,619",,,,,,,,,,"22,619",,,,,,,,,,,,,,,
GRMA,24Aug2015,Arizona,Y,,,"29,656","29,656",,,,,,,,,,"29,656",,,,,,,,,,,,,,,
GRMA,25Aug2015,Arizona,Y,,,"27,647","27,647",,,,,,,,,,"27,647",,,,,,,,,,,,,,,
GRMA,26Aug2015,Arizona,Y,,,"30,020","30,020",,,,,,,,,,"30,020",,,,,,,,,,,,,,,
GRMA,27Aug2015,Arizona,Y,,,"30,235","30,235",,,,,,,,,,"30,235",,,,,,,,,,,,,,,
GRMA,28Aug2015,Arizona,Y,,,"29,293","29,293",,,,,,,,,,"29,293",,,,,,,,,,,,,,,
GRMA,29Aug2015,Arizona,Y,,,"25,259","25,259",,,,,,,,,,"25,259",,,,,,,,,,,,,,,
GRMA,30Aug2015,Arizona,Y,,,"25,308","25,308",,,,,,,,,,"25,308",,,,,,,,,,,,,,,
GRMA,31Aug2015,Arizona,Y,,,"25,185","25,185",,,,,,,,,,"25,185",,,,,,,,,,,,,,,
GRMA,01Sep2015,Arizona,Y,,,"22,778","22,778",,,,,,,,,,"22,778",,,,,,,,,,,,,,,
GRMA,02Sep2015,Arizona,Y,,,"22,073","22,073",,,,,,,,,,"22,073",,,,,,,,,,,,,,,
GRMA,03Sep2015,Arizona,Y,,,"15,393","15,393",,,,,,,,,,"15,393",,,,,,,,,,,,,,,
GRMA,04Sep2015,Arizona,Y,,,"17,924","17,924",,,,,,,,,,"17,924",,,,,,,,,,,,,,,
GRMA,05Sep2015,Arizona,Y,,,"16,434","16,434",,,,,,,,,,"16,434",,,,,,,,,,,,,,,
GRMA,06Sep2015,Arizona,Y,,,"18,636","18,636",,,,,,,,,,"18,636",,,,,,,,,,,,,,,
GRMA,07Sep2015,Arizona,Y,,,"20,457","20,457",,,,,,,,,,"20,457",,,,,,,,,,,,,,,
GRMA,08Sep2015,Arizona,Y,,,"27,953","27,953",,,,,,,,,,"27,953",,,,,,,,,,,,,,,
GRMA,09Sep2015,Arizona,Y,,,"28,793","28,793",,,,,,,,,,"28,793",,,,,,,,,,,,,,,
GRMA,10Sep2015,Arizona,Y,,,"29,027","29,027",,,,,,,,,,"29,027",,,,,,,,,,,,,,,
GRMA,11Sep2015,Arizona,Y,,,"25,435","25,435",,,,,,,,,,"25,435",,,,,,,,,,,,,,,
GRMA,12Sep2015,Arizona,Y,,,"25,044","25,044",,,,,,,,,,"25,044",,,,,,,,,,,,,,,
GRMA,13Sep2015,Arizona,Y,,,"20,300","20,300",,,,,,,,,,"20,300",,,,,,,,,,,,,,,
GRMA,14Sep2015,Arizona,Y,,,"20,098","20,098",,,,,,,,,,"20,098",,,,,,,,,,,,,,,
GRMA,15Sep2015,Arizona,Y,,,"19,713","19,713",,,,,,,,,,"19,713",,,,,,,,,,,,,,,
GRMA,16Sep2015,Arizona,Y,,,"20,527","20,527",,,,,,,,,,"20,527",,,,,,,,,,,,,,,
GRMA,17Sep2015,Arizona,Y,,,"21,422","21,422",,,,,,,,,,"21,422",,,,,,,,,,,,,,,
GRMA,18Sep2015,Arizona,Y,,,"20,554","20,554",,,,,,,,,,"20,554",,,,,,,,,,,,,,,
GRMA,19Sep2015,Arizona,Y,,,"20,753","20,753",,,,,,,,,,"20,753",,,,,,,,,,,,,,,
GRMA,20Sep2015,Arizona,Y,,,"22,191","22,191",,,,,,,,,,"22,191",,,,,,,,,,,,,,,
GRMA,21Sep2015,Arizona,Y,,,"21,900","21,900",,,,,,,,,,"21,900",,,,,,,,,,,,,,,
GRMA,22Sep2015,Arizona,Y,,,"18,086","18,086",,,,,,,,,,"18,086",,,,,,,,,,,,,,,
GRMA,23Sep2015,Arizona,Y,,,"18,417","18,417",,,,,,,,,,"18,417",,,,,,,,,,,,,,,
GRMA,24Sep2015,Arizona,Y,,,"22,377","22,377",,,,,,,,,,"22,377",,,,,,,,,,,,,,,
GRMA,25Sep2015,Arizona,Y,,,"21,784","21,784",,,,,,,,,,"21,784",,,,,,,,,,,,,,,
GRMA,26Sep2015,Arizona,Y,,,"22,542","22,542",,,,,,,,,,"22,542",,,,,,,,,,,,,,,
GRMA,27Sep2015,Arizona,Y,,,"22,106","22,106",,,,,,,,,,"22,106",,,,,,,,,,,,,,,
GRMA,28Sep2015,Arizona,Y,,,"22,336","22,336",,,,,,,,,,"22,336",,,,,,,,,,,,,,,
GRMA,29Sep2015,Arizona,Y,,,"22,551","22,551",,,,,,,,,,"22,551",,,,,,,,,,,,,,,
GRMA,30Sep2015,Arizona,Y,,,"26,073","26,073",,,,,,,,,,"26,073",,,,,,,,,,,,,,,
GRMA,01Oct2015,Arizona,Y,,,"19,833","19,833",,,,,,,,,,"19,833",,,,,,,,,,,,,,,
GRMA,02Oct2015,Arizona,Y,,,"13,845","13,845",,,,,,,,,,"13,845",,,,,,,,,,,,,,,
GRMA,03Oct2015,Arizona,Y,,,"12,122","12,122",,,,,,,,,,"12,122",,,,,,,,,,,,,,,
GRMA,04Oct2015,Arizona,Y,,,"11,118","11,118",,,,,,,,,,"11,118",,,,,,,,,,,,,,,
GRMA,05Oct2015,Arizona,Y,,,"13,741","13,741",,,,,,,,,,"13,741",,,,,,,,,,,,,,,
GRMA,06Oct2015,Arizona,Y,,,"16,868","16,868",,,,,,,,,,"16,868",,,,,,,,,,,,,,,
GRMA,07Oct2015,Arizona,Y,,,"17,423","17,423",,,,,,,,,,"17,423",,,,,,,,,,,,,,,
GRMA,08Oct2015,Arizona,Y,,,"19,029","19,029",,,,,,,,,,"19,029",,,,,,,,,,,,,,,
GRMA,09Oct2015,Arizona,Y,,,"20,647","20,647",,,,,,,,,,"20,647",,,,,,,,,,,,,,,
GRMA,10Oct2015,Arizona,Y,,,"20,293","20,293",,,,,,,,,,"20,293",,,,,,,,,,,,,,,
GRMA,11Oct2015,Arizona,Y,,,"17,095","17,095",,,,,,,,,,"17,095",,,,,,,,,,,,,,,
GRMA,12Oct2015,Arizona,Y,,,"20,861","20,861",,,,,,,,,,"20,861",,,,,,,,,,,,,,,
GRMA,13Oct2015,Arizona,Y,,,"16,336","16,336",,,,,,,,,,"16,336",,,,,,,,,,,,,,,
GRMA,14Oct2015,Arizona,Y,,,"16,469","16,469",,,,,,,,,,"16,469",,,,,,,,,,,,,,,
GRMA,15Oct2015,Arizona,Y,,,"18,775","18,775",,,,,,,,,,"18,775",,,,,,,,,,,,,,,
GRMA,16Oct2015,Arizona,Y,,,"18,301","18,301",,,,,,,,,,"18,301",,,,,,,,,,,,,,,
GRMA,17Oct2015,Arizona,Y,,,"15,610","15,610",,,,,,,,,,"15,610",,,,,,,,,,,,,,,
GRMA,18Oct2015,Arizona,Y,,,"12,092","12,092",,,,,,,,,,"12,092",,,,,,,,,,,,,,,
GRMA,19Oct2015,Arizona,Y,,,"12,325","12,325",,,,,,,,,,"12,325",,,,,,,,,,,,,,,
GRMA,20Oct2015,Arizona,Y,,,"12,710","12,710",,,,,,,,,,"12,710",,,,,,,,,,,,,,,
GRMA,21Oct2015,Arizona,Y,,,"15,356","15,356",,,,,,,,,,"15,356",,,,,,,,,,,,,,,
GRMA,22Oct2015,Arizona,Y,,,"10,751","10,751",,,,,,,,,,"10,751",,,,,,,,,,,,,,,
GRMA,23Oct2015,Arizona,Y,,,"12,166","12,166",,,,,,,,,,"12,166",,,,,,,,,,,,,,,
GRMA,24Oct2015,Arizona,Y,,,"10,721","10,721",,,,,,,,,,"10,721",,,,,,,,,,,,,,,
GRMA,25Oct2015,Arizona,Y,,,"10,774","10,774",,,,,,,,,,"10,774",,,,,,,,,,,,,,,
GRMA,26Oct2015,Arizona,Y,,,"12,431","12,431",,,,,,,,,,"12,431",,,,,,,,,,,,,,,
GRMA,27Oct2015,Arizona,Y,,,"14,754","14,754",,,,,,,,,,"14,754",,,,,,,,,,,,,,,
GRMA,28Oct2015,Arizona,Y,,,"17,995","17,995",,,,,,,,,,"17,995",,,,,,,,,,,,,,,
GRMA,29Oct2015,Arizona,Y,,,"13,211","13,211",,,,,,,,,,"13,211",,,,,,,,,,,,,,,
GRMA,30Oct2015,Arizona,Y,,,"13,738","13,738",,,,,,,,,,"13,738",,,,,,,,,,,,,,,
GRMA,31Oct2015,Arizona,Y,,,"13,754","13,754",,,,,,,,,,"13,754",,,,,,,,,,,,,,,
GRMA,01Nov2015,Arizona,Y,,,"3,735","3,732",,,,,,,,,,"3,732",,,,,,,,,,,,,,,
GRMA,02Nov2015,Arizona,Y,,,"7,406","7,406",,,,,,,,,,"7,406",,,,,,,,,,,,,,,
GRMA,03Nov2015,Arizona,Y,,,"8,571","8,571",,,,,,,,,,"8,571",,,,,,,,,,,,,,,
GRMA,04Nov2015,Arizona,Y,,,"8,878","8,878",,,,,,,,,,"8,878",,,,,,,,,,,,,,,
GRMA,05Nov2015,Arizona,Y,,,"8,869","8,869",,,,,,,,,,"8,869",,,,,,,,,,,,,,,
GRMA,06Nov2015,Arizona,Y,,,"9,229","9,229",,,,,,,,,,"9,229",,,,,,,,,,,,,,,
GRMA,07Nov2015,Arizona,Y,,,"6,489","6,489",,,,,,,,,,"6,489",,,,,,,,,,,,,,,
GRMA,08Nov2015,Arizona,Y,,,"6,062","6,062",,,,,,,,,,"6,062",,,,,,,,,,,,,,,
GRMA,09Nov2015,Arizona,Y,,,"6,020","6,020",,,,,,,,,,"6,020",,,,,,,,,,,,,,,
GRMA,10Nov2015,Arizona,Y,,,"7,897","7,897",,,,,,,,,,"7,897",,,,,,,,,,,,,,,
GRMA,11Nov2015,Arizona,Y,,,"11,669","11,669",,,,,,,,,,"11,669",,,,,,,,,,,,,,,
GRMA,12Nov2015,Arizona,Y,,,"14,164","14,164",,,,,,,,,,"14,164",,,,,,,,,,,,,,,
GRMA,13Nov2015,Arizona,Y,,,"14,911","14,911",,,,,,,,,,"14,911",,,,,,,,,,,,,,,
GRMA,14Nov2015,Arizona,Y,,,"14,337","14,337",,,,,,,,,,"14,337",,,,,,,,,,,,,,,
GRMA,15Nov2015,Arizona,Y,,,"12,089","12,089",,,,,,,,,,"12,089",,,,,,,,,,,,,,,
GRMA,16Nov2015,Arizona,Y,,,"15,066","15,066",,,,,,,,,,"15,066",,,,,,,,,,,,,,,
GRMA,17Nov2015,Arizona,Y,,,"15,788","15,788",,,,,,,,,,"15,788",,,,,,,,,,,,,,,
GRMA,18Nov2015,Arizona,Y,,,"16,701","16,701",,,,,,,,,,"16,701",,,,,,,,,,,,,,,
GRMA,19Nov2015,Arizona,Y,,,"17,352","17,352",,,,,,,,,,"17,352",,,,,,,,,,,,,,,
GRMA,20Nov2015,Arizona,Y,,,"18,615","18,615",,,,,,,,,,"18,615",,,,,,,,,,,,,,,
GRMA,21Nov2015,Arizona,Y,,,"20,435","20,435",,,,,,,,,,"20,435",,,,,,,,,,,,,,,
GRMA,22Nov2015,Arizona,Y,,,"19,655","19,655",,,,,,,,,,"19,655",,,,,,,,,,,,,,,
GRMA,23Nov2015,Arizona,Y,,,"20,494","20,494",,,,,,,,,,"20,494",,,,,,,,,,,,,,,
GRMA,24Nov2015,Arizona,Y,,,"20,111","20,111",,,,,,,,,,"20,111",,,,,,,,,,,,,,,
GRMA,25Nov2015,Arizona,Y,,,"20,465","20,465",,,,,,,,,,"20,465",,,,,,,,,,,,,,,
GRMA,26Nov2015,Arizona,Y,,,"11,463","11,463",,,,,,,,,,"11,463",,,,,,,,,,,,,,,
GRMA,27Nov2015,Arizona,Y,,,"15,514","15,514",,,,,,,,,,"15,514",,,,,,,,,,,,,,,
GRMA,28Nov2015,Arizona,Y,,,"11,230","11,230",,,,,,,,,,"11,230",,,,,,,,,,,,,,,
GRMA,29Nov2015,Arizona,Y,,,"9,146","9,146",,,,,,,,,,"9,146",,,,,,,,,,,,,,,
GRMA,30Nov2015,Arizona,Y,,,"16,446","16,446",,,,,,,,,,"16,446",,,,,,,,,,,,,,,
GRMA,01Dec2015,Arizona,Y,,,"11,912","11,912",,,,,,,,,,"11,912",,,,,,,,,,,,,,,
GRMA,02Dec2015,Arizona,Y,,,"9,022","9,022",,,,,,,,,,"9,022",,,,,,,,,,,,,,,
GRMA,03Dec2015,Arizona,Y,,,"15,989","15,989",,,,,,,,,,"15,989",,,,,,,,,,,,,,,
GRMA,04Dec2015,Arizona,Y,,,"17,319","17,319",,,,,,,,,,"17,319",,,,,,,,,,,,,,,
GRMA,05Dec2015,Arizona,Y,,,"14,689","14,689",,,,,,,,,,"14,689",,,,,,,,,,,,,,,
GRMA,06Dec2015,Arizona,Y,,,"8,703","8,703",,,,,,,,,,"8,703",,,,,,,,,,,,,,,
GRMA,07Dec2015,Arizona,Y,,,"10,775","10,775",,,,,,,,,,"10,775",,,,,,,,,,,,,,,
GRMA,08Dec2015,Arizona,Y,,,"15,408","15,408",,,,,,,,,,"15,408",,,,,,,,,,,,,,,
GRMA,09Dec2015,Arizona,Y,,,"18,516","18,516",,,,,,,,,,"18,516",,,,,,,,,,,,,,,
GRMA,10Dec2015,Arizona,Y,,,"17,441","17,441",,,,,,,,,,"17,441",,,,,,,,,,,,,,,
GRMA,11Dec2015,Arizona,Y,,,"18,016","18,016",,,,,,,,,,"18,016",,,,,,,,,,,,,,,
GRMA,12Dec2015,Arizona,Y,,,"20,507","20,507",,,,,,,,,,"20,507",,,,,,,,,,,,,,,
GRMA,13Dec2015,Arizona,Y,,,"18,113","18,113",,,,,,,,,,"18,113",,,,,,,,,,,,,,,
GRMA,14Dec2015,Arizona,Y,,,"17,486","17,486",,,,,,,,,,"17,486",,,,,,,,,,,,,,,
GRMA,15Dec2015,Arizona,Y,,,"16,157","16,157",,,,,,,,,,"16,157",,,,,,,,,,,,,,,
GRMA,16Dec2015,Arizona,Y,,,"11,655","11,655",,,,,,,,,,"11,655",,,,,,,,,,,,,,,
GRMA,17Dec2015,Arizona,Y,,,"15,361","15,361",,,,,,,,,,"15,361",,,,,,,,,,,,,,,
GRMA,18Dec2015,Arizona,Y,,,"13,055","13,055",,,,,,,,,,"13,055",,,,,,,,,,,,,,,
GRMA,19Dec2015,Arizona,Y,,,"16,340","16,340",,,,,,,,,,"16,340",,,,,,,,,,,,,,,
GRMA,20Dec2015,Arizona,Y,,,"16,660","16,660",,,,,,,,,,"16,660",,,,,,,,,,,,,,,
GRMA,21Dec2015,Arizona,Y,,,"11,878","11,878",,,,,,,,,,"11,878",,,,,,,,,,,,,,,
GRMA,22Dec2015,Arizona,Y,,,"20,916","20,916",,,,,,,,,,"20,916",,,,,,,,,,,,,,,
GRMA,23Dec2015,Arizona,Y,,,"19,428","19,428",,,,,,,,,,"19,428",,,,,,,,,,,,,,,
GRMA,24Dec2015,Arizona,Y,,,"12,290","12,290",,,,,,,,,,"12,290",,,,,,,,,,,,,,,
GRMA,25Dec2015,Arizona,Y,,,"15,076","15,076",,,,,,,,,,"15,076",,,,,,,,,,,,,,,
GRMA,26Dec2015,Arizona,Y,,,"20,491","20,491",,,,,,,,,,"20,491",,,,,,,,,,,,,,,
GRMA,27Dec2015,Arizona,Y,,,"15,806","15,806",,,,,,,,,,"15,806",,,,,,,,,,,,,,,
GRMA,28Dec2015,Arizona,Y,,,"18,778","18,778",,,,,,,,,,"18,778",,,,,,,,,,,,,,,
GRMA,29Dec2015,Arizona,Y,,,"17,759","17,759",,,,,,,,,,"17,759",,,,,,,,,,,,,,,
GRMA,30Dec2015,Arizona,Y,,,"17,577","17,577",,,,,,,,,,"17,577",,,,,,,,,,,,,,,
GRMA,31Dec2015,Arizona,Y,,,"20,571","20,571",,,,,,,,,,"20,571",,,,,,,,,,,,,,,
GRMA,01Jan2016,Arizona,Y,,,"17,669","17,669",,,,,,,,,,"17,669",,,,,,,,,,,,,,,
GRMA,02Jan2016,Arizona,Y,,,"19,711","19,711",,,,,,,,,,"19,711",,,,,,,,,,,,,,,
GRMA,03Jan2016,Arizona,Y,,,"17,791","17,791",,,,,,,,,,"17,791",,,,,,,,,,,,,,,
GRMA,04Jan2016,Arizona,Y,,,"20,395","20,395",,,,,,,,,,"20,395",,,,,,,,,,,,,,,
GRMA,05Jan2016,Arizona,Y,,,"19,817","19,817",,,,,,,,,,"19,817",,,,,,,,,,,,,,,
GRMA,06Jan2016,Arizona,Y,,,"15,825","15,825",,,,,,,,,,"15,825",,,,,,,,,,,,,,,
GRMA,07Jan2016,Arizona,Y,,,"20,430","20,430",,,,,,,,,,"20,430",,,,,,,,,,,,,,,
GRMA,08Jan2016,Arizona,Y,,,"15,672","15,672",,,,,,,,,,"15,672",,,,,,,,,,,,,,,
GRMA,09Jan2016,Arizona,Y,,,"18,380","18,380",,,,,,,,,,"18,380",,,,,,,,,,,,,,,
GRMA,10Jan2016,Arizona,Y,,,"18,016","18,016",,,,,,,,,,"18,016",,,,,,,,,,,,,,,
GRMA,11Jan2016,Arizona,Y,,,"15,700","15,700",,,,,,,,,,"15,700",,,,,,,,,,,,,,,
GRMA,12Jan2016,Arizona,Y,,,"14,077","14,077",,,,,,,,,,"14,077",,,,,,,,,,,,,,,
GRMA,13Jan2016,Arizona,Y,,,"17,171","17,171",,,,,,,,,,"17,171",,,,,,,,,,,,,,,
GRMA,14Jan2016,Arizona,Y,,,"18,191","18,191",,,,,,,,,,"18,191",,,,,,,,,,,,,,,
GRMA,15Jan2016,Arizona,Y,,,"19,545","19,545",,,,,,,,,,"19,545",,,,,,,,,,,,,,,
GRMA,16Jan2016,Arizona,Y,,,"20,896","20,896",,,,,,,,,,"20,896",,,,,,,,,,,,,,,
GRMA,17Jan2016,Arizona,Y,,,"14,896","14,896",,,,,,,,,,"14,896",,,,,,,,,,,,,,,
GRMA,18Jan2016,Arizona,Y,,,"15,131","15,131",,,,,,,,,,"15,131",,,,,,,,,,,,,,,
GRMA,19Jan2016,Arizona,Y,,,"17,816","17,816",,,,,,,,,,"17,816",,,,,,,,,,,,,,,
GRMA,20Jan2016,Arizona,Y,,,"15,842","15,842",,,,,,,,,,"15,842",,,,,,,,,,,,,,,
GRMA,21Jan2016,Arizona,Y,,,"13,325","13,325",,,,,,,,,,"13,325",,,,,,,,,,,,,,,
GRMA,22Jan2016,Arizona,Y,,,"17,375","17,375",,,,,,,,,,"17,375",,,,,,,,,,,,,,,
GRMA,23Jan2016,Arizona,Y,,,"19,438","19,438",,,,,,,,,,"19,438",,,,,,,,,,,,,,,
GRMA,24Jan2016,Arizona,Y,,,"15,307","15,307",,,,,,,,,,"15,307",,,,,,,,,,,,,,,
GRMA,25Jan2016,Arizona,Y,,,"18,016","18,016",,,,,,,,,,"18,016",,,,,,,,,,,,,,,
GRMA,26Jan2016,Arizona,Y,,,"18,819","18,819",,,,,,,,,,"18,819",,,,,,,,,,,,,,,
GRMA,27Jan2016,Arizona,Y,,,"19,506","19,506",,,,,,,,,,"19,506",,,,,,,,,,,,,,,
GRMA,28Jan2016,Arizona,Y,,,"20,382","20,382",,,,,,,,,,"20,382",,,,,,,,,,,,,,,
GRMA,29Jan2016,Arizona,Y,,,"15,660","15,660",,,,,,,,,,"15,660",,,,,,,,,,,,,,,
GRMA,30Jan2016,Arizona,Y,,,"13,388","13,388",,,,,,,,,,"13,388",,,,,,,,,,,,,,,
